Datum von;Datum bis;Biomasse [MWh] Originalauflösungen;Wasserkraft [MWh] Originalauflösungen;Wind Offshore [MWh] Originalauflösungen;Wind Onshore [MWh] Originalauflösungen;Photovoltaik [MWh] Originalauflösungen;Sonstige Erneuerbare [MWh] Originalauflösungen;Kernenergie [MWh] Originalauflösungen;Braunkohle [MWh] Originalauflösungen;Steinkohle [MWh] Originalauflösungen;Erdgas [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Sonstige Konventionelle [MWh] Originalauflösungen
28.08.2025 00:00;28.08.2025 00:15;932,50;436,75;127,00;1.469,00;0,00;24,00;-;2.190,50;940,25;1.921,75;35,00;367,75
28.08.2025 00:15;28.08.2025 00:30;928,50;437,75;138,50;1.439,75;0,00;24,00;-;2.176,00;938,00;1.912,25;4,00;371,75
28.08.2025 00:30;28.08.2025 00:45;927,75;439,50;161,00;1.444,75;0,00;24,00;-;2.175,00;936,75;1.825,75;4,00;374,75
28.08.2025 00:45;28.08.2025 01:00;928,50;443,75;178,50;1.392,00;0,00;24,00;-;2.181,00;929,75;1.749,50;5,75;366,50
28.08.2025 01:00;28.08.2025 01:15;926,75;452,75;180,75;1.289,25;0,00;24,00;-;2.184,25;918,75;1.793,00;8,75;362,00
28.08.2025 01:15;28.08.2025 01:30;918,75;440,25;199,50;1.218,25;0,00;24,00;-;2.178,25;904,25;1.823,75;4,25;356,50
28.08.2025 01:30;28.08.2025 01:45;924,50;441,50;210,50;1.185,25;0,00;24,75;-;2.180,75;900,00;1.847,50;5,75;352,50
28.08.2025 01:45;28.08.2025 02:00;932,00;439,00;218,00;1.158,00;0,00;24,75;-;2.179,50;901,50;1.851,00;5,25;358,75
28.08.2025 02:00;28.08.2025 02:15;935,50;438,00;224,75;1.145,25;0,00;24,75;-;2.184,25;901,50;1.891,00;5,25;361,25
28.08.2025 02:15;28.08.2025 02:30;933,75;436,50;225,50;1.137,25;0,00;24,75;-;2.188,00;901,00;1.877,75;5,25;358,75
28.08.2025 02:30;28.08.2025 02:45;934,75;438,25;215,75;1.112,25;0,00;24,75;-;2.184,25;900,25;1.875,00;4,50;363,25
28.08.2025 02:45;28.08.2025 03:00;930,00;436,25;220,00;1.101,75;0,00;24,75;-;2.176,50;899,50;1.865,00;3,50;362,50
28.08.2025 03:00;28.08.2025 03:15;928,75;433,25;234,50;1.035,75;0,00;24,75;-;2.189,75;899,00;1.850,25;4,25;372,75
28.08.2025 03:15;28.08.2025 03:30;927,75;434,00;269,50;997,75;0,00;24,75;-;2.184,25;899,50;1.855,50;4,75;376,25
28.08.2025 03:30;28.08.2025 03:45;927,00;431,75;261,75;979,50;0,00;24,75;-;2.185,75;901,25;1.870,50;3,00;372,25
28.08.2025 03:45;28.08.2025 04:00;930,50;435,25;271,50;933,75;0,00;24,75;-;2.189,50;901,25;1.876,00;35,25;372,75
28.08.2025 04:00;28.08.2025 04:15;932,75;436,50;306,75;929,50;0,00;24,75;-;2.193,75;901,50;1.886,50;20,75;372,00
28.08.2025 04:15;28.08.2025 04:30;932,25;429,75;341,00;969,75;0,00;24,75;-;2.194,00;903,25;1.894,25;2,50;370,50
28.08.2025 04:30;28.08.2025 04:45;931,75;428,75;387,25;964,75;0,00;24,75;-;2.198,50;901,50;1.892,75;3,25;372,75
28.08.2025 04:45;28.08.2025 05:00;924,00;429,00;377,00;1.007,00;0,00;24,75;-;2.224,00;899,50;1.876,25;3,25;374,25
28.08.2025 05:00;28.08.2025 05:15;922,25;424,50;318,75;1.022,75;0,00;24,75;-;2.239,50;895,00;1.838,50;5,25;368,50
28.08.2025 05:15;28.08.2025 05:30;924,25;426,00;265,00;1.051,50;0,00;24,75;-;2.246,50;901,75;1.821,75;3,25;362,25
28.08.2025 05:30;28.08.2025 05:45;925,00;430,50;238,25;1.108,75;0,00;24,75;-;2.251,75;918,00;1.912,50;30,00;349,25
28.08.2025 05:45;28.08.2025 06:00;917,75;446,50;237,75;1.105,25;0,00;24,75;-;2.273,00;945,75;1.947,50;52,50;352,75
28.08.2025 06:00;28.08.2025 06:15;920,50;448,50;226,00;1.073,00;0,50;24,75;-;2.291,00;976,75;2.032,25;24,00;348,75
28.08.2025 06:15;28.08.2025 06:30;919,00;451,75;216,75;1.074,25;8,25;24,75;-;2.287,75;992,25;2.117,00;66,75;347,50
28.08.2025 06:30;28.08.2025 06:45;916,50;462,75;200,00;1.146,25;59,25;24,75;-;2.287,50;995,75;2.126,50;170,00;347,25
28.08.2025 06:45;28.08.2025 07:00;910,00;531,25;210,75;1.162,75;173,50;24,75;-;2.288,00;995,00;2.135,25;239,25;345,75
28.08.2025 07:00;28.08.2025 07:15;911,50;515,75;254,50;1.122,00;321,00;24,75;-;2.296,75;995,25;2.157,75;545,00;344,50
28.08.2025 07:15;28.08.2025 07:30;912,00;520,25;262,75;1.097,50;498,00;24,75;-;2.299,00;996,75;2.167,75;579,25;344,25
28.08.2025 07:30;28.08.2025 07:45;911,00;524,00;265,00;1.124,75;703,00;24,75;-;2.298,25;999,25;2.162,00;548,50;345,00
28.08.2025 07:45;28.08.2025 08:00;909,75;512,50;270,50;1.117,50;909,00;24,75;-;2.301,75;999,00;2.160,25;506,50;345,00
28.08.2025 08:00;28.08.2025 08:15;907,75;524,25;269,50;1.120,50;1.124,00;24,75;-;2.299,25;1.001,00;2.165,50;515,50;344,00
28.08.2025 08:15;28.08.2025 08:30;909,00;534,75;237,50;1.108,25;1.368,75;24,75;-;2.297,25;999,25;2.150,25;592,75;344,00
28.08.2025 08:30;28.08.2025 08:45;907,75;530,00;199,75;1.038,25;1.652,75;24,75;-;2.292,75;999,25;2.139,25;488,25;342,75
28.08.2025 08:45;28.08.2025 09:00;911,50;532,50;189,00;977,75;1.936,50;24,75;-;2.252,25;1.001,00;2.137,50;393,50;344,00
28.08.2025 09:00;28.08.2025 09:15;909,75;504,00;184,50;944,75;2.252,00;24,75;-;2.204,25;1.002,25;2.144,25;340,00;346,25
28.08.2025 09:15;28.08.2025 09:30;907,75;500,75;168,00;924,50;2.586,50;24,75;-;2.178,50;1.000,00;2.132,75;258,50;333,75
28.08.2025 09:30;28.08.2025 09:45;930,25;491,50;149,50;896,50;2.911,25;24,75;-;2.160,75;997,00;2.132,50;123,50;334,50
28.08.2025 09:45;28.08.2025 10:00;951,50;480,75;159,25;873,00;3.185,50;24,75;-;2.118,25;995,00;2.117,25;86,50;335,25
28.08.2025 10:00;28.08.2025 10:15;946,00;487,75;180,25;798,75;3.463,50;24,75;-;2.069,50;981,75;2.084,00;139,50;336,75
28.08.2025 10:15;28.08.2025 10:30;948,25;460,50;185,00;752,75;3.705,50;24,75;-;2.072,50;976,25;2.059,25;64,00;336,50
