Datum von;Datum bis;Netzlast [MWh] Originalauflösungen;Netzlast inkl. Pumpspeicher [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen
28.08.2025 00:00;28.08.2025 00:15;11.423,75;11.662,50;238,75;9.827,75
28.08.2025 00:15;28.08.2025 00:30;11.219,25;11.475,25;256,00;9.641,00
28.08.2025 00:30;28.08.2025 00:45;11.189,50;11.540,00;350,50;9.583,75
28.08.2025 00:45;28.08.2025 01:00;11.256,25;11.637,50;381,25;9.685,75
28.08.2025 01:00;28.08.2025 01:15;11.041,25;11.576,25;535,00;9.571,25
28.08.2025 01:15;28.08.2025 01:30;10.940,50;11.469,75;529,25;9.522,75
28.08.2025 01:30;28.08.2025 01:45;10.835,50;11.468,25;632,75;9.439,75
28.08.2025 01:45;28.08.2025 02:00;10.853,00;11.523,75;670,75;9.477,00
28.08.2025 02:00;28.08.2025 02:15;10.751,00;11.476,00;725,00;9.381,00
28.08.2025 02:15;28.08.2025 02:30;10.691,00;11.406,50;715,50;9.328,25
28.08.2025 02:30;28.08.2025 02:45;10.654,25;11.362,00;707,75;9.326,25
28.08.2025 02:45;28.08.2025 03:00;10.666,50;11.401,50;735,00;9.344,75
28.08.2025 03:00;28.08.2025 03:15;10.624,50;11.351,75;727,25;9.354,25
28.08.2025 03:15;28.08.2025 03:30;10.620,50;11.255,00;634,50;9.353,25
28.08.2025 03:30;28.08.2025 03:45;10.646,25;11.279,50;633,25;9.405,00
28.08.2025 03:45;28.08.2025 04:00;10.650,75;11.283,25;632,50;9.445,50
28.08.2025 04:00;28.08.2025 04:15;10.785,25;11.244,00;458,75;9.549,00
28.08.2025 04:15;28.08.2025 04:30;10.778,75;11.313,75;535,00;9.468,00
28.08.2025 04:30;28.08.2025 04:45;10.917,50;11.375,25;457,75;9.565,50
28.08.2025 04:45;28.08.2025 05:00;11.024,00;11.415,75;391,75;9.640,00
28.08.2025 05:00;28.08.2025 05:15;11.426,75;11.672,75;246,00;10.085,25
28.08.2025 05:15;28.08.2025 05:30;11.490,75;11.630,50;139,75;10.174,25
28.08.2025 05:30;28.08.2025 05:45;11.714,75;11.826,50;111,75;10.367,75
28.08.2025 05:45;28.08.2025 06:00;12.201,50;12.259,50;58,00;10.858,50
28.08.2025 06:00;28.08.2025 06:15;12.842,75;12.863,50;20,75;11.543,25
28.08.2025 06:15;28.08.2025 06:30;13.235,50;13.241,75;6,25;11.936,25
28.08.2025 06:30;28.08.2025 06:45;13.431,75;13.435,50;3,75;12.026,25
28.08.2025 06:45;28.08.2025 07:00;13.630,00;13.633,00;3,00;12.083,00
28.08.2025 07:00;28.08.2025 07:15;13.942,75;13.945,00;2,25;12.245,25
28.08.2025 07:15;28.08.2025 07:30;14.241,50;14.243,25;1,75;12.383,25
28.08.2025 07:30;28.08.2025 07:45;14.455,00;14.456,75;1,75;12.362,25
28.08.2025 07:45;28.08.2025 08:00;14.656,75;14.658,50;1,75;12.359,75
28.08.2025 08:00;28.08.2025 08:15;14.849,75;14.851,50;1,75;12.335,75
28.08.2025 08:15;28.08.2025 08:30;15.048,75;15.050,50;1,75;12.334,25
28.08.2025 08:30;28.08.2025 08:45;15.157,75;15.159,50;1,75;12.267,00
28.08.2025 08:45;28.08.2025 09:00;15.310,25;15.312,00;1,75;12.207,00
28.08.2025 09:00;28.08.2025 09:15;15.395,25;15.397,00;1,75;12.014,00
28.08.2025 09:15;28.08.2025 09:30;15.520,25;15.523,75;3,50;11.841,25
28.08.2025 09:30;28.08.2025 09:45;15.653,00;15.656,25;3,25;11.695,75
28.08.2025 09:45;28.08.2025 10:00;15.868,50;15.871,50;3,00;11.650,75
28.08.2025 10:00;28.08.2025 10:15;15.938,50;15.942,00;3,50;11.496,00
28.08.2025 10:15;28.08.2025 10:30;16.059,25;16.102,50;43,25;11.416,00
28.08.2025 10:30;28.08.2025 10:45;16.122,50;16.251,25;128,75;11.270,00
28.08.2025 10:45;28.08.2025 11:00;16.150,75;16.309,00;158,25;11.164,75
28.08.2025 11:00;28.08.2025 11:15;16.100,00;16.209,50;109,50;10.853,25
28.08.2025 11:15;28.08.2025 11:30;16.211,00;16.311,50;100,50;10.770,75
28.08.2025 11:30;28.08.2025 11:45;16.190,75;16.486,75;296,00;10.561,00
28.08.2025 11:45;28.08.2025 12:00;16.280,25;16.566,75;286,50;10.526,75
28.08.2025 12:00;28.08.2025 12:15;16.299,25;16.514,25;215,00;10.498,25
28.08.2025 12:15;28.08.2025 12:30;16.256,00;16.559,50;303,50;10.444,25
28.08.2025 12:30;28.08.2025 12:45;16.273,00;16.580,75;307,75;10.525,50
28.08.2025 12:45;28.08.2025 13:00;16.261,25;16.527,00;265,75;10.607,00
28.08.2025 13:00;28.08.2025 13:15;16.035,50;16.345,75;310,25;10.482,75
28.08.2025 13:15;28.08.2025 13:30;15.898,75;16.226,50;327,75;10.440,00
28.08.2025 13:30;28.08.2025 13:45;15.605,75;15.872,75;267,00;10.197,50
28.08.2025 13:45;28.08.2025 14:00;15.355,50;15.668,50;313,00;9.939,50
28.08.2025 14:00;28.08.2025 14:15;15.438,00;15.740,50;302,50;10.142,00
28.08.2025 14:15;28.08.2025 14:30;15.457,00;15.808,75;351,75;10.272,75
28.08.2025 14:30;28.08.2025 14:45;15.302,50;15.626,00;323,50;10.184,00
