timestamp,Austria,Belgium,Czech Republic,Denmark,France,Luxembourg,Netherlands,Norway,Poland,Sweden,Switzerland,sum,deprecated
2024-12-31 23:00:00+00:00,-2.677,-0.993,-1.287,-0.104,0.925,-0.265,1.147,-1.017,-1.935,-0.506,-3.263,-9.975,False
2024-12-31 23:15:00+00:00,-2.885,-0.994,-1.329,-0.186,0.925,-0.271,1.138,-1.12,-2.051,-0.506,-2.985,-10.263,False
2024-12-31 23:30:00+00:00,-2.567,-0.994,-1.435,-0.11,0.925,-0.246,1.079,-1.12,-2.141,-0.506,-2.77,-9.885,False
2024-12-31 23:45:00+00:00,-2.528,-0.975,-1.435,-0.21,0.925,-0.228,1.246,-1.12,-2.001,-0.506,-3.059,-9.892,False
2025-01-01 00:00:00+00:00,-2.765,-0.781,-1.593,-0.961,0.941,-0.242,1.12,-1.12,-2.227,-0.506,-3.392,-11.526,False
2025-01-01 00:15:00+00:00,-2.752,-0.761,-1.527,-1.063,0.941,-0.234,1.169,-1.12,-2.196,-0.506,-3.382,-11.431,False
2025-01-01 00:30:00+00:00,-2.516,-0.761,-1.545,-1.027,0.941,-0.234,1.212,-1.12,-2.156,-0.506,-3.436,-11.147,False
2025-01-01 00:45:00+00:00,-2.506,-0.74,-1.539,-0.79,0.941,-0.239,1.138,-1.068,-2.218,-0.506,-3.447,-10.975,False
2025-01-01 01:00:00+00:00,-2.76,-0.527,-1.578,-0.04,0.916,-0.188,1.009,-0.867,-2.233,-0.506,-3.386,-10.16,False
2025-01-01 01:15:00+00:00,-2.824,-0.504,-1.606,0.15,0.916,-0.155,1.158,-0.818,-2.225,-0.506,-3.43,-9.842,False
2025-01-01 01:30:00+00:00,-2.712,-0.501,-1.593,0.152,0.916,-0.161,1.139,-0.819,-2.247,-0.506,-3.344,-9.677,False
2025-01-01 01:45:00+00:00,-2.777,-0.422,-1.651,0.065,0.916,-0.172,1.278,-0.818,-2.199,-0.506,-3.449,-9.734,False
2025-01-01 02:00:00+00:00,-2.864,0.087,-1.59,0.331,1.122,-0.24,1.361,-0.814,-2.079,-0.506,-3.589,-8.78,False
2025-01-01 02:15:00+00:00,-2.835,0.144,-1.668,0.325,1.122,-0.218,1.558,-0.813,-2.174,-0.506,-3.567,-8.631,False
2025-01-01 02:30:00+00:00,-2.851,0.142,-1.682,0.289,1.122,-0.198,1.453,-0.812,-2.175,-0.506,-3.609,-8.827,False
2025-01-01 02:45:00+00:00,-2.862,0.157,-1.741,0.321,1.122,-0.16,1.455,-0.742,-2.185,-0.506,-3.614,-8.756,False
2025-01-01 03:00:00+00:00,-2.744,0.281,-1.768,0.605,1.215,-0.117,1.669,-0.471,-2.189,-0.506,-3.365,-7.389,False
2025-01-01 03:15:00+00:00,-2.731,0.261,-1.699,0.668,1.215,-0.134,1.891,-0.401,-2.169,-0.506,-3.39,-6.995,False
2025-01-01 03:30:00+00:00,-2.766,0.304,-1.764,0.656,1.215,-0.129,1.943,-0.402,-2.186,-0.506,-3.377,-7.012,False
2025-01-01 03:45:00+00:00,-2.758,0.309,-1.752,0.575,1.215,-0.117,1.837,-0.408,-2.157,-0.506,-3.343,-7.105,False
2025-01-01 04:00:00+00:00,-2.717,0.258,-1.538,0.557,1.476,-0.131,1.478,-0.43,-2.153,-0.506,-3.198,-6.905,False
2025-01-01 04:15:00+00:00,-2.649,0.258,-1.493,0.546,1.476,-0.152,1.398,-0.435,-2.104,-0.506,-3.141,-6.801,False
2025-01-01 04:30:00+00:00,-2.639,0.256,-1.515,0.551,1.476,-0.167,1.575,-0.435,-2.065,-0.506,-3.236,-6.706,False
2025-01-01 04:45:00+00:00,-2.643,0.252,-1.496,0.482,1.476,-0.164,1.563,-0.533,-2.029,-0.506,-3.259,-6.855,False
2025-01-01 05:00:00+00:00,-2.863,0.189,-1.665,0.291,1.684,-0.143,1.118,-0.924,-2.171,-0.506,-3.335,-8.326,False
2025-01-01 05:15:00+00:00,-2.904,0.181,-1.8,0.151,1.684,-0.129,1.023,-1.026,-2.264,-0.506,-3.302,-8.891,False
2025-01-01 05:30:00+00:00,-2.912,0.179,-1.783,0.104,1.684,-0.137,1.069,-1.027,-2.295,-0.506,-3.353,-8.978,False
2025-01-01 05:45:00+00:00,-2.851,0.077,-1.731,-0.055,1.684,-0.146,0.755,-1.043,-2.305,-0.506,-3.3,-9.421,False
2025-01-01 06:00:00+00:00,-2.869,-0.686,-1.643,-0.941,1.51,-0.143,1.027,-1.105,-1.993,-0.506,-3.362,-10.712,False
2025-01-01 06:15:00+00:00,-2.867,-0.768,-1.571,-1.16,1.51,-0.145,0.945,-1.121,-1.919,-0.506,-3.503,-11.105,False
2025-01-01 06:30:00+00:00,-2.81,-0.769,-1.395,-1.253,1.51,-0.131,0.853,-1.121,-1.889,-0.506,-3.591,-11.1,False
2025-01-01 06:45:00+00:00,-2.832,-0.768,-1.452,-0.99,1.51,-0.153,0.766,-1.121,-1.905,-0.506,-3.554,-11.004,False
2025-01-01 07:00:00+00:00,-2.697,-0.793,-1.55,-0.216,1.39,-0.208,-0.145,-1.12,-2.015,-0.506,-3.307,-11.168,False
2025-01-01 07:15:00+00:00,-2.724,-0.793,-1.568,0.029,1.39,-0.201,-0.153,-1.12,-2.033,-0.506,-3.38,-11.059,False
2025-01-01 07:30:00+00:00,-2.796,-0.796,-1.592,-0.032,1.39,-0.191,0.036,-1.12,-1.982,-0.506,-3.396,-10.984,False
2025-01-01 07:45:00+00:00,-2.835,-0.797,-1.564,-0.153,1.39,-0.189,-0.023,-1.12,-2.061,-0.506,-3.405,-11.264,False
2025-01-01 08:00:00+00:00,-2.649,-0.801,-1.566,-0.061,1.898,-0.132,0.439,-1.121,-2.16,-0.506,-3.112,-9.77,False
2025-01-01 08:15:00+00:00,-2.744,-0.828,-1.683,-0.112,1.898,-0.133,0.33,-1.121,-2.005,-0.506,-3.054,-9.957,False
2025-01-01 08:30:00+00:00,-2.865,-0.834,-1.669,-0.179,1.898,-0.143,0.174,-1.121,-1.923,-0.506,-3.058,-10.225,False
2025-01-01 08:45:00+00:00,-2.882,-0.835,-1.637,-0.333,1.898,-0.148,0.094,-1.121,-1.905,-0.506,-3.091,-10.465,False
2025-01-01 09:00:00+00:00,-2.911,-0.822,-1.412,-1.281,1.601,-0.177,-0.051,-1.121,-1.776,-0.506,-3.179,-11.635,False
2025-01-01 09:15:00+00:00,-2.807,-0.828,-1.289,-1.553,1.601,-0.183,-0.294,-1.121,-1.867,-0.506,-3.229,-12.076,False
2025-01-01 09:30:00+00:00,-2.856,-0.835,-1.233,-1.713,1.601,-0.174,-0.329,-1.121,-1.852,-0.506,-3.249,-12.268,False
2025-01-01 09:45:00+00:00,-2.834,-0.837,-1.242,-1.911,1.601,-0.175,-0.233,-1.121,-1.817,-0.506,-3.313,-12.389,False
2025-01-01 10:00:00+00:00,-3.023,-0.847,-1.36,-2.089,1.782,-0.19,-0.833,-1.121,-1.778,-0.506,-3.07,-13.034,False
2025-01-01 10:15:00+00:00,-3.094,-0.855,-1.316,-2.225,1.782,-0.18,-0.958,-1.121,-1.689,-0.506,-3.018,-13.18,False
2025-01-01 10:30:00+00:00,-3.124,-0.858,-1.373,-2.245,1.782,-0.177,-0.882,-1.121,-1.752,-0.506,-2.914,-13.169,False
2025-01-01 10:45:00+00:00,-3.129,-0.857,-1.363,-2.224,1.782,-0.185,-0.911,-1.121,-1.616,-0.506,-2.878,-13.009,False
2025-01-01 11:00:00+00:00,-3.232,-0.853,-1.278,-2.61,1.411,-0.231,-1.108,-1.121,-1.601,-0.506,-2.851,-13.98,False
2025-01-01 11:15:00+00:00,-3.244,-0.854,-1.328,-2.631,1.411,-0.234,-1.111,-1.121,-1.662,-0.506,-2.828,-14.107,False
2025-01-01 11:30:00+00:00,-3.24,-0.854,-1.314,-2.472,1.411,-0.24,-1.21,-1.121,-1.669,-0.506,-2.803,-14.017,False
2025-01-01 11:45:00+00:00,-3.259,-0.847,-1.367,-2.435,1.411,-0.245,-1.159,-1.121,-1.623,-0.506,-2.793,-13.944,False
2025-01-01 12:00:00+00:00,-3.261,-0.8,-1.346,-2.788,1.498,-0.274,-1.177,-1.121,-1.603,-0.506,-2.765,-14.143,False
2025-01-01 12:15:00+00:00,-3.271,-0.791,-1.496,-2.884,1.498,-0.264,-1.084,-1.121,-1.688,-0.506,-2.663,-14.272,False
2025-01-01 12:30:00+00:00,-3.366,-0.796,-1.677,-2.806,1.498,-0.26,-1.011,-1.121,-1.781,-0.506,-2.658,-14.484,False
2025-01-01 12:45:00+00:00,-3.326,-0.81,-1.787,-2.848,1.498,-0.263,-0.932,-1.121,-1.851,-0.506,-2.582,-14.527,False
2025-01-01 13:00:00+00:00,-3.047,-0.902,-1.49,-2.973,2.078,-0.247,-0.925,-1.12,-1.103,-0.506,-2.445,-12.68,False
2025-01-01 13:15:00+00:00,-3.073,-0.91,-1.873,-3.105,2.078,-0.23,-0.658,-1.12,-1.502,-0.506,-2.336,-13.236,False
2025-01-01 13:30:00+00:00,-3.029,-0.91,-1.957,-2.999,2.078,-0.209,-0.595,-1.12,-1.657,-0.506,-2.296,-13.201,False
2025-01-01 13:45:00+00:00,-3.025,-0.917,-2.01,-2.918,2.078,-0.197,-0.597,-1.12,-1.643,-0.506,-2.418,-13.273,False
2025-01-01 14:00:00+00:00,-2.966,-0.985,-1.695,-2.9,1.89,-0.221,-0.32,-1.119,-1.433,-0.506,-2.804,-13.059,False
2025-01-01 14:15:00+00:00,-2.943,-0.993,-1.701,-2.837,1.89,-0.238,-0.059,-1.12,-1.551,-0.506,-2.876,-12.936,False
