Datetime,other_conventionals,lignite,hard_coal,fossile_gas,total_emissions,aef
2023-01-01 00:00:00,2559.049,4220.479,1752.841,2698.065,11230.434,202.468
2023-01-01 01:00:00,2546.344,4228.408,1739.699,2642.407,11156.858,197.981
2023-01-01 02:00:00,2538.188,4221.573,1724.651,2643.674,11128.086,196.888
2023-01-01 03:00:00,2538.528,4226.494,1726.982,2641.231,11133.236,206.126
2023-01-01 04:00:00,2541.533,4200.521,1729.738,2636.072,11107.865,207.688
2023-01-01 05:00:00,2529.208,4160.058,1726.559,2632.181,11048.006,205.915
2023-01-01 06:00:00,2534.373,4157.324,1723.592,2645.756,11061.045,206.847
2023-01-01 07:00:00,2539.661,4189.039,1721.896,2642.769,11093.365,204.168
2023-01-01 08:00:00,2553.109,4143.381,1727.194,2640.869,11064.553,205.593
2023-01-01 09:00:00,2545.854,4140.92,1719.352,2634.262,11040.389,196.619
2023-01-01 10:00:00,2545.652,4164.706,1693.494,2629.013,11032.865,187.452
2023-01-01 11:00:00,2544.915,4182.75,1700.065,2629.194,11056.924,183.359
2023-01-01 12:00:00,2546.241,4193.14,1713.418,2622.769,11075.568,186.432
2023-01-01 13:00:00,2560.247,4394.909,1735.036,2624.76,11314.952,196.861
2023-01-01 14:00:00,2560.193,4451.229,1736.308,2628.923,11376.653,199.365
2023-01-01 15:00:00,2551.474,4481.03,1764.71,2624.398,11421.612,205.575
2023-01-01 16:00:00,2544.259,4684.713,2077.339,2663.041,11969.352,221.857
2023-01-01 17:00:00,2570.112,4692.369,1897.18,2654.534,11814.196,223.501
2023-01-01 18:00:00,2568.488,5032.752,2002.308,2674.716,12278.263,232.297
2023-01-01 19:00:00,2595.011,4935.695,2015.661,2668.743,12215.109,234.979
2023-01-01 20:00:00,2574.377,4873.086,1862.208,2679.965,11989.635,234.881
2023-01-01 21:00:00,2561.695,4941.436,1622.067,2667.204,11792.402,231.528
2023-01-01 22:00:00,2561.61,4954.012,1608.502,2676.888,11801.012,240.848
2023-01-01 23:00:00,2566.283,5031.658,1581.796,2677.702,11857.439,248.214
2023-01-02 00:00:00,2559.161,5163.984,1680.989,2695.169,12099.302,260.191
2023-01-02 01:00:00,2550.142,5197.065,1669.967,2685.033,12102.207,264.363
2023-01-02 02:00:00,2528.798,5215.109,1704.94,2695.259,12144.106,257.872
2023-01-02 03:00:00,2542.326,5264.048,1711.934,2692.544,12210.853,252.289
2023-01-02 04:00:00,2537.996,6133.188,1741.183,2700.78,13113.147,256.604
2023-01-02 05:00:00,2531.163,6911.012,1818.97,2723.948,13985.093,262.269
2023-01-02 06:00:00,2595.645,8786.264,2020.748,2789.741,16192.398,279.079
2023-01-02 07:00:00,2611.143,11060.953,2281.66,2831.552,18785.308,302.448
