Datum von;Datum bis;Generation_DE Block 7 [MW] Berechnete Auflösungen;Generation_DE Block 8 [MW] Berechnete Auflösungen;Generation_DE Block 8 Wasserturbine [MW] Berechnete Auflösungen;Generation_DE Block 4S GT [MW] Berechnete Auflösungen;Generation_DE Block 4S DT [MW] Berechnete Auflösungen
26.08.2025 00:00;26.08.2025 00:15;-;201,500;-;-;-
26.08.2025 00:15;26.08.2025 00:30;-;201,500;-;-;-
26.08.2025 00:30;26.08.2025 00:45;-;201,500;-;-;-
26.08.2025 00:45;26.08.2025 01:00;-;201,500;-;-;-
26.08.2025 01:00;26.08.2025 01:15;-;201,500;-;-;-
26.08.2025 01:15;26.08.2025 01:30;-;201,500;-;-;-
26.08.2025 01:30;26.08.2025 01:45;-;201,500;-;-;-
26.08.2025 01:45;26.08.2025 02:00;-;201,500;-;-;-
26.08.2025 02:00;26.08.2025 02:15;-;201,500;-;-;-
26.08.2025 02:15;26.08.2025 02:30;-;201,500;-;-;-
26.08.2025 02:30;26.08.2025 02:45;-;201,500;-;-;-
26.08.2025 02:45;26.08.2025 03:00;-;201,500;-;-;-
26.08.2025 03:00;26.08.2025 03:15;-;201,500;-;-;-
26.08.2025 03:15;26.08.2025 03:30;-;201,500;-;-;-
26.08.2025 03:30;26.08.2025 03:45;-;201,500;-;-;-
26.08.2025 03:45;26.08.2025 04:00;-;201,500;-;-;-
26.08.2025 04:00;26.08.2025 04:15;-;201,500;-;-;-
26.08.2025 04:15;26.08.2025 04:30;-;201,500;-;-;-
26.08.2025 04:30;26.08.2025 04:45;-;201,500;-;-;-
26.08.2025 04:45;26.08.2025 05:00;-;201,500;-;-;-
26.08.2025 05:00;26.08.2025 05:15;-;201,750;-;-;-
26.08.2025 05:15;26.08.2025 05:30;-;201,750;-;-;-
26.08.2025 05:30;26.08.2025 05:45;-;201,750;-;-;-
26.08.2025 05:45;26.08.2025 06:00;-;201,750;-;-;-
26.08.2025 06:00;26.08.2025 06:15;-;201,500;-;-;-
26.08.2025 06:15;26.08.2025 06:30;-;201,500;-;-;-
26.08.2025 06:30;26.08.2025 06:45;-;201,500;-;-;-
