Datum von;Datum bis;Generation_DE Block 10 [MW] Berechnete Auflösungen;Generation_DE Block 20 [MW] Berechnete Auflösungen
26.08.2025 00:00;26.08.2025 00:15;109,000;109,750
26.08.2025 00:15;26.08.2025 00:30;109,000;109,750
26.08.2025 00:30;26.08.2025 00:45;109,000;109,750
26.08.2025 00:45;26.08.2025 01:00;109,000;109,750
26.08.2025 01:00;26.08.2025 01:15;109,750;109,750
26.08.2025 01:15;26.08.2025 01:30;109,750;109,750
26.08.2025 01:30;26.08.2025 01:45;109,750;109,750
26.08.2025 01:45;26.08.2025 02:00;109,750;109,750
26.08.2025 02:00;26.08.2025 02:15;109,750;109,750
26.08.2025 02:15;26.08.2025 02:30;109,750;109,750
26.08.2025 02:30;26.08.2025 02:45;109,750;109,750
26.08.2025 02:45;26.08.2025 03:00;109,750;109,750
26.08.2025 03:00;26.08.2025 03:15;108,250;109,000
26.08.2025 03:15;26.08.2025 03:30;108,250;109,000
26.08.2025 03:30;26.08.2025 03:45;108,250;109,000
26.08.2025 03:45;26.08.2025 04:00;108,250;109,000
26.08.2025 04:00;26.08.2025 04:15;109,750;109,750
26.08.2025 04:15;26.08.2025 04:30;109,750;109,750
26.08.2025 04:30;26.08.2025 04:45;109,750;109,750
26.08.2025 04:45;26.08.2025 05:00;109,750;109,750
26.08.2025 05:00;26.08.2025 05:15;109,750;109,750
26.08.2025 05:15;26.08.2025 05:30;109,750;109,750
26.08.2025 05:30;26.08.2025 05:45;109,750;109,750
26.08.2025 05:45;26.08.2025 06:00;109,750;109,750
26.08.2025 06:00;26.08.2025 06:15;109,750;109,750
26.08.2025 06:15;26.08.2025 06:30;109,750;109,750
26.08.2025 06:30;26.08.2025 06:45;109,750;109,750
26.08.2025 06:45;26.08.2025 07:00;109,750;109,750
26.08.2025 07:00;26.08.2025 07:15;109,750;109,750
26.08.2025 07:15;26.08.2025 07:30;109,750;109,750
26.08.2025 07:30;26.08.2025 07:45;109,750;109,750
26.08.2025 07:45;26.08.2025 08:00;109,750;109,750
26.08.2025 08:00;26.08.2025 08:15;90,250;90,500
26.08.2025 08:15;26.08.2025 08:30;90,250;90,500
26.08.2025 08:30;26.08.2025 08:45;90,250;90,500
26.08.2025 08:45;26.08.2025 09:00;90,250;90,500
26.08.2025 09:00;26.08.2025 09:15;0,000;0,000
26.08.2025 09:15;26.08.2025 09:30;0,000;0,000
26.08.2025 09:30;26.08.2025 09:45;0,000;0,000
26.08.2025 09:45;26.08.2025 10:00;0,000;0,000
26.08.2025 10:00;26.08.2025 10:15;0,000;0,000
26.08.2025 10:15;26.08.2025 10:30;0,000;0,000
26.08.2025 10:30;26.08.2025 10:45;0,000;0,000
26.08.2025 10:45;26.08.2025 11:00;0,000;0,000
26.08.2025 11:00;26.08.2025 11:15;0,000;0,000
26.08.2025 11:15;26.08.2025 11:30;0,000;0,000
26.08.2025 11:30;26.08.2025 11:45;0,000;0,000
26.08.2025 11:45;26.08.2025 12:00;0,000;0,000
26.08.2025 12:00;26.08.2025 12:15;0,000;0,000
26.08.2025 12:15;26.08.2025 12:30;0,000;0,000
26.08.2025 12:30;26.08.2025 12:45;0,000;0,000
26.08.2025 12:45;26.08.2025 13:00;0,000;0,000
26.08.2025 13:00;26.08.2025 13:15;0,000;0,000
26.08.2025 13:15;26.08.2025 13:30;0,000;0,000
26.08.2025 13:30;26.08.2025 13:45;0,000;0,000
26.08.2025 13:45;26.08.2025 14:00;0,000;0,000
26.08.2025 14:00;26.08.2025 14:15;0,000;0,000
26.08.2025 14:15;26.08.2025 14:30;0,000;0,000
26.08.2025 14:30;26.08.2025 14:45;0,000;0,000
26.08.2025 14:45;26.08.2025 15:00;0,000;0,000
26.08.2025 15:00;26.08.2025 15:15;0,000;0,000
26.08.2025 15:15;26.08.2025 15:30;0,000;0,000
26.08.2025 15:30;26.08.2025 15:45;0,000;0,000
26.08.2025 15:45;26.08.2025 16:00;0,000;0,000
26.08.2025 16:00;26.08.2025 16:15;0,000;6,250
26.08.2025 16:15;26.08.2025 16:30;0,000;6,250
26.08.2025 16:30;26.08.2025 16:45;0,000;6,250
26.08.2025 16:45;26.08.2025 17:00;0,000;6,250
26.08.2025 17:00;26.08.2025 17:15;79,750;96,500
26.08.2025 17:15;26.08.2025 17:30;79,750;96,500
26.08.2025 17:30;26.08.2025 17:45;79,750;96,500
26.08.2025 17:45;26.08.2025 18:00;79,750;96,500
26.08.2025 18:00;26.08.2025 18:15;100,750;99,500
26.08.2025 18:15;26.08.2025 18:30;100,750;99,500
26.08.2025 18:30;26.08.2025 18:45;100,750;99,500
26.08.2025 18:45;26.08.2025 19:00;100,750;99,500
