Datum von;Datum bis;Generation_DE GuD 3 [MW] Berechnete Auflösungen;Generation_DE DT 2 [MW] Berechnete Auflösungen;Generation_DE GT 2 [MW] Berechnete Auflösungen
26.08.2025 00:00;26.08.2025 00:15;106,000;0,000;0,000
26.08.2025 00:15;26.08.2025 00:30;106,000;0,000;0,000
26.08.2025 00:30;26.08.2025 00:45;106,000;0,000;0,000
26.08.2025 00:45;26.08.2025 01:00;106,000;0,000;0,000
26.08.2025 01:00;26.08.2025 01:15;106,000;0,000;0,000
26.08.2025 01:15;26.08.2025 01:30;106,000;0,000;0,000
26.08.2025 01:30;26.08.2025 01:45;106,000;0,000;0,000
26.08.2025 01:45;26.08.2025 02:00;106,000;0,000;0,000
26.08.2025 02:00;26.08.2025 02:15;106,250;0,000;0,000
26.08.2025 02:15;26.08.2025 02:30;106,250;0,000;0,000
26.08.2025 02:30;26.08.2025 02:45;106,250;0,000;0,000
26.08.2025 02:45;26.08.2025 03:00;106,250;0,000;0,000
26.08.2025 03:00;26.08.2025 03:15;106,250;0,000;0,000
26.08.2025 03:15;26.08.2025 03:30;106,250;0,000;0,000
26.08.2025 03:30;26.08.2025 03:45;106,250;0,000;0,000
26.08.2025 03:45;26.08.2025 04:00;106,250;0,000;0,000
26.08.2025 04:00;26.08.2025 04:15;106,250;0,000;0,000
26.08.2025 04:15;26.08.2025 04:30;106,250;0,000;0,000
26.08.2025 04:30;26.08.2025 04:45;106,250;0,000;0,000
26.08.2025 04:45;26.08.2025 05:00;106,250;0,000;0,000
26.08.2025 05:00;26.08.2025 05:15;106,000;0,000;0,000
26.08.2025 05:15;26.08.2025 05:30;106,000;0,000;0,000
26.08.2025 05:30;26.08.2025 05:45;106,000;0,000;0,000
26.08.2025 05:45;26.08.2025 06:00;106,000;0,000;0,000
26.08.2025 06:00;26.08.2025 06:15;106,000;0,000;0,000
26.08.2025 06:15;26.08.2025 06:30;106,000;0,000;0,000
26.08.2025 06:30;26.08.2025 06:45;106,000;0,000;0,000
26.08.2025 06:45;26.08.2025 07:00;106,000;0,000;0,000
26.08.2025 07:00;26.08.2025 07:15;106,000;0,000;0,000
26.08.2025 07:15;26.08.2025 07:30;106,000;0,000;0,000
26.08.2025 07:30;26.08.2025 07:45;106,000;0,000;0,000
26.08.2025 07:45;26.08.2025 08:00;106,000;0,000;0,000
26.08.2025 08:00;26.08.2025 08:15;101,750;0,000;0,000
26.08.2025 08:15;26.08.2025 08:30;101,750;0,000;0,000
26.08.2025 08:30;26.08.2025 08:45;101,750;0,000;0,000
26.08.2025 08:45;26.08.2025 09:00;101,750;0,000;0,000
26.08.2025 09:00;26.08.2025 09:15;57,500;0,000;0,000
26.08.2025 09:15;26.08.2025 09:30;57,500;0,000;0,000
26.08.2025 09:30;26.08.2025 09:45;57,500;0,000;0,000
26.08.2025 09:45;26.08.2025 10:00;57,500;0,000;0,000
26.08.2025 10:00;26.08.2025 10:15;79,500;0,000;0,000
26.08.2025 10:15;26.08.2025 10:30;79,500;0,000;0,000
26.08.2025 10:30;26.08.2025 10:45;79,500;0,000;0,000
26.08.2025 10:45;26.08.2025 11:00;79,500;0,000;0,000
26.08.2025 11:00;26.08.2025 11:15;31,000;0,000;0,000
26.08.2025 11:15;26.08.2025 11:30;31,000;0,000;0,000
26.08.2025 11:30;26.08.2025 11:45;31,000;0,000;0,000
26.08.2025 11:45;26.08.2025 12:00;31,000;0,000;0,000
26.08.2025 12:00;26.08.2025 12:15;68,000;0,000;0,000
26.08.2025 12:15;26.08.2025 12:30;68,000;0,000;0,000
26.08.2025 12:30;26.08.2025 12:45;68,000;0,000;0,000
26.08.2025 12:45;26.08.2025 13:00;68,000;0,000;0,000
26.08.2025 13:00;26.08.2025 13:15;64,500;0,000;0,000
26.08.2025 13:15;26.08.2025 13:30;64,500;0,000;0,000
26.08.2025 13:30;26.08.2025 13:45;64,500;0,000;0,000
26.08.2025 13:45;26.08.2025 14:00;64,500;0,000;0,000
26.08.2025 14:00;26.08.2025 14:15;38,000;0,000;0,000
26.08.2025 14:15;26.08.2025 14:30;38,000;0,000;0,000
26.08.2025 14:30;26.08.2025 14:45;38,000;0,000;0,000
26.08.2025 14:45;26.08.2025 15:00;38,000;0,000;0,000
26.08.2025 15:00;26.08.2025 15:15;47,250;0,000;0,000
26.08.2025 15:15;26.08.2025 15:30;47,250;0,000;0,000
26.08.2025 15:30;26.08.2025 15:45;47,250;0,000;0,000
26.08.2025 15:45;26.08.2025 16:00;47,250;0,000;0,000
26.08.2025 16:00;26.08.2025 16:15;97,250;0,000;0,000
26.08.2025 16:15;26.08.2025 16:30;97,250;0,000;0,000
26.08.2025 16:30;26.08.2025 16:45;97,250;0,000;0,000
26.08.2025 16:45;26.08.2025 17:00;97,250;0,000;0,000
26.08.2025 17:00;26.08.2025 17:15;99,750;0,000;0,000
26.08.2025 17:15;26.08.2025 17:30;99,750;0,000;0,000
26.08.2025 17:30;26.08.2025 17:45;99,750;0,000;0,000
26.08.2025 17:45;26.08.2025 18:00;99,750;0,000;0,000
26.08.2025 18:00;26.08.2025 18:15;101,250;0,000;0,000
26.08.2025 18:15;26.08.2025 18:30;101,250;0,000;0,000
26.08.2025 18:30;26.08.2025 18:45;101,250;0,000;0,000
26.08.2025 18:45;26.08.2025 19:00;101,250;0,000;0,000
26.08.2025 19:00;26.08.2025 19:15;101,750;0,000;0,000
26.08.2025 19:15;26.08.2025 19:30;101,750;0,000;0,000
26.08.2025 19:30;26.08.2025 19:45;101,750;0,000;0,000
26.08.2025 19:45;26.08.2025 20:00;101,750;0,000;0,000
26.08.2025 20:00;26.08.2025 20:15;102,250;0,000;0,000
26.08.2025 20:15;26.08.2025 20:30;102,250;0,000;0,000
26.08.2025 20:30;26.08.2025 20:45;102,250;0,000;0,000
26.08.2025 20:45;26.08.2025 21:00;102,250;0,000;0,000
26.08.2025 21:00;26.08.2025 21:15;103,000;0,000;0,000
26.08.2025 21:15;26.08.2025 21:30;103,000;0,000;0,000
26.08.2025 21:30;26.08.2025 21:45;103,000;0,000;0,000
26.08.2025 21:45;26.08.2025 22:00;103,000;0,000;0,000
26.08.2025 22:00;26.08.2025 22:15;103,500;0,000;0,000
26.08.2025 22:15;26.08.2025 22:30;103,500;0,000;0,000
26.08.2025 22:30;26.08.2025 22:45;103,500;0,000;0,000
26.08.2025 22:45;26.08.2025 23:00;103,500;0,000;0,000
26.08.2025 23:00;26.08.2025 23:15;101,000;0,000;0,000
26.08.2025 23:15;26.08.2025 23:30;101,000;0,000;0,000
26.08.2025 23:30;26.08.2025 23:45;101,000;0,000;0,000
26.08.2025 23:45;27.08.2025 00:00;101,000;0,000;0,000
27.08.2025 00:00;27.08.2025 00:15;97,500;0,000;0,000
27.08.2025 00:15;27.08.2025 00:30;97,500;0,000;0,000
27.08.2025 00:30;27.08.2025 00:45;97,500;0,000;0,000
27.08.2025 00:45;27.08.2025 01:00;97,500;0,000;0,000
27.08.2025 01:00;27.08.2025 01:15;59,250;0,000;0,000
27.08.2025 01:15;27.08.2025 01:30;59,250;0,000;0,000
27.08.2025 01:30;27.08.2025 01:45;59,250;0,000;0,000
27.08.2025 01:45;27.08.2025 02:00;59,250;0,000;0,000
27.08.2025 02:00;27.08.2025 02:15;102,250;0,000;0,000
27.08.2025 02:15;27.08.2025 02:30;102,250;0,000;0,000
27.08.2025 02:30;27.08.2025 02:45;102,250;0,000;0,000
27.08.2025 02:45;27.08.2025 03:00;102,250;0,000;0,000
27.08.2025 03:00;27.08.2025 03:15;87,750;0,000;0,000
27.08.2025 03:15;27.08.2025 03:30;87,750;0,000;0,000
27.08.2025 03:30;27.08.2025 03:45;87,750;0,000;0,000
27.08.2025 03:45;27.08.2025 04:00;87,750;0,000;0,000
27.08.2025 04:00;27.08.2025 04:15;69,500;0,000;0,000
27.08.2025 04:15;27.08.2025 04:30;69,500;0,000;0,000
27.08.2025 04:30;27.08.2025 04:45;69,500;0,000;0,000
27.08.2025 04:45;27.08.2025 05:00;69,500;0,000;0,000
27.08.2025 05:00;27.08.2025 05:15;105,000;0,000;0,000
27.08.2025 05:15;27.08.2025 05:30;105,000;0,000;0,000
27.08.2025 05:30;27.08.2025 05:45;105,000;0,000;0,000
27.08.2025 05:45;27.08.2025 06:00;105,000;0,000;0,000
27.08.2025 06:00;27.08.2025 06:15;105,250;0,000;0,000
27.08.2025 06:15;27.08.2025 06:30;105,250;0,000;0,000
27.08.2025 06:30;27.08.2025 06:45;105,250;0,000;0,000
27.08.2025 06:45;27.08.2025 07:00;105,250;0,000;0,000
27.08.2025 07:00;27.08.2025 07:15;105,750;0,000;0,000
27.08.2025 07:15;27.08.2025 07:30;105,750;0,000;0,000
27.08.2025 07:30;27.08.2025 07:45;105,750;0,000;0,000
27.08.2025 07:45;27.08.2025 08:00;105,750;0,000;0,000
27.08.2025 08:00;27.08.2025 08:15;105,250;0,000;0,000
27.08.2025 08:15;27.08.2025 08:30;105,250;0,000;0,000
27.08.2025 08:30;27.08.2025 08:45;105,250;0,000;0,000
27.08.2025 08:45;27.08.2025 09:00;105,250;0,000;0,000
27.08.2025 09:00;27.08.2025 09:15;104,750;0,000;0,000
27.08.2025 09:15;27.08.2025 09:30;104,750;0,000;0,000
27.08.2025 09:30;27.08.2025 09:45;104,750;0,000;0,000
27.08.2025 09:45;27.08.2025 10:00;104,750;0,000;0,000
27.08.2025 10:00;27.08.2025 10:15;58,500;0,000;0,000
27.08.2025 10:15;27.08.2025 10:30;58,500;0,000;0,000
27.08.2025 10:30;27.08.2025 10:45;58,500;0,000;0,000
27.08.2025 10:45;27.08.2025 11:00;58,500;0,000;0,000
27.08.2025 11:00;27.08.2025 11:15;34,000;0,000;0,000
27.08.2025 11:15;27.08.2025 11:30;34,000;0,000;0,000
27.08.2025 11:30;27.08.2025 11:45;34,000;0,000;0,000
27.08.2025 11:45;27.08.2025 12:00;34,000;0,000;0,000
27.08.2025 12:00;27.08.2025 12:15;28,000;0,000;0,000
27.08.2025 12:15;27.08.2025 12:30;28,000;0,000;0,000
27.08.2025 12:30;27.08.2025 12:45;28,000;0,000;0,000
27.08.2025 12:45;27.08.2025 13:00;28,000;0,000;0,000
27.08.2025 13:00;27.08.2025 13:15;28,000;0,000;0,000
27.08.2025 13:15;27.08.2025 13:30;28,000;0,000;0,000
27.08.2025 13:30;27.08.2025 13:45;28,000;0,000;0,000
27.08.2025 13:45;27.08.2025 14:00;28,000;0,000;0,000
27.08.2025 14:00;27.08.2025 14:15;28,250;0,000;0,000
27.08.2025 14:15;27.08.2025 14:30;28,250;0,000;0,000
27.08.2025 14:30;27.08.2025 14:45;28,250;0,000;0,000
27.08.2025 14:45;27.08.2025 15:00;28,250;0,000;0,000
27.08.2025 15:00;27.08.2025 15:15;35,750;0,000;0,000
27.08.2025 15:15;27.08.2025 15:30;35,750;0,000;0,000
27.08.2025 15:30;27.08.2025 15:45;35,750;0,000;0,000
27.08.2025 15:45;27.08.2025 16:00;35,750;0,000;0,000
27.08.2025 16:00;27.08.2025 16:15;88,000;0,000;0,000
27.08.2025 16:15;27.08.2025 16:30;88,000;0,000;0,000
27.08.2025 16:30;27.08.2025 16:45;88,000;0,000;0,000
27.08.2025 16:45;27.08.2025 17:00;88,000;0,000;0,000
27.08.2025 17:00;27.08.2025 17:15;102,750;0,000;0,000
27.08.2025 17:15;27.08.2025 17:30;102,750;0,000;0,000
27.08.2025 17:30;27.08.2025 17:45;102,750;0,000;0,000
27.08.2025 17:45;27.08.2025 18:00;102,750;0,000;0,000
27.08.2025 18:00;27.08.2025 18:15;102,500;0,000;0,000
27.08.2025 18:15;27.08.2025 18:30;102,500;0,000;0,000
27.08.2025 18:30;27.08.2025 18:45;102,500;0,000;0,000
27.08.2025 18:45;27.08.2025 19:00;102,500;0,000;0,000
27.08.2025 19:00;27.08.2025 19:15;102,750;0,000;0,000
27.08.2025 19:15;27.08.2025 19:30;102,750;0,000;0,000
27.08.2025 19:30;27.08.2025 19:45;102,750;0,000;0,000
27.08.2025 19:45;27.08.2025 20:00;102,750;0,000;0,000
27.08.2025 20:00;27.08.2025 20:15;103,250;0,000;0,000
27.08.2025 20:15;27.08.2025 20:30;103,250;0,000;0,000
27.08.2025 20:30;27.08.2025 20:45;103,250;0,000;0,000
27.08.2025 20:45;27.08.2025 21:00;103,250;0,000;0,000
27.08.2025 21:00;27.08.2025 21:15;103,500;0,000;0,000
27.08.2025 21:15;27.08.2025 21:30;103,500;0,000;0,000
27.08.2025 21:30;27.08.2025 21:45;103,500;0,000;0,000
27.08.2025 21:45;27.08.2025 22:00;103,500;0,000;0,000
27.08.2025 22:00;27.08.2025 22:15;102,750;0,000;0,000
27.08.2025 22:15;27.08.2025 22:30;102,750;0,000;0,000
27.08.2025 22:30;27.08.2025 22:45;102,750;0,000;0,000
27.08.2025 22:45;27.08.2025 23:00;102,750;0,000;0,000
27.08.2025 23:00;27.08.2025 23:15;88,500;0,000;0,000
27.08.2025 23:15;27.08.2025 23:30;88,500;0,000;0,000
27.08.2025 23:30;27.08.2025 23:45;88,500;0,000;0,000
27.08.2025 23:45;28.08.2025 00:00;88,500;0,000;0,000
28.08.2025 00:00;28.08.2025 00:15;104,250;0,000;0,000
28.08.2025 00:15;28.08.2025 00:30;104,250;0,000;0,000
28.08.2025 00:30;28.08.2025 00:45;104,250;0,000;0,000
28.08.2025 00:45;28.08.2025 01:00;104,250;0,000;0,000
28.08.2025 01:00;28.08.2025 01:15;104,750;0,000;0,000
28.08.2025 01:15;28.08.2025 01:30;104,750;0,000;0,000
28.08.2025 01:30;28.08.2025 01:45;104,750;0,000;0,000
28.08.2025 01:45;28.08.2025 02:00;104,750;0,000;0,000
28.08.2025 02:00;28.08.2025 02:15;104,500;0,000;0,000
28.08.2025 02:15;28.08.2025 02:30;104,500;0,000;0,000
28.08.2025 02:30;28.08.2025 02:45;104,500;0,000;0,000
28.08.2025 02:45;28.08.2025 03:00;104,500;0,000;0,000
28.08.2025 03:00;28.08.2025 03:15;104,750;0,000;0,000
28.08.2025 03:15;28.08.2025 03:30;104,750;0,000;0,000
28.08.2025 03:30;28.08.2025 03:45;104,750;0,000;0,000
28.08.2025 03:45;28.08.2025 04:00;104,750;0,000;0,000
28.08.2025 04:00;28.08.2025 04:15;104,750;0,000;0,000
28.08.2025 04:15;28.08.2025 04:30;104,750;0,000;0,000
28.08.2025 04:30;28.08.2025 04:45;104,750;0,000;0,000
28.08.2025 04:45;28.08.2025 05:00;104,750;0,000;0,000
28.08.2025 05:00;28.08.2025 05:15;104,750;0,000;0,000
