Datum von;Datum bis;Generation_DE Block 3 [MW] Berechnete Auflösungen;Generation_DE Block 4 [MW] Berechnete Auflösungen;Generation_DE Block 5 [MW] Berechnete Auflösungen
26.08.2025 00:00;26.08.2025 00:15;-;11,500;31,000
26.08.2025 00:15;26.08.2025 00:30;-;11,500;31,000
26.08.2025 00:30;26.08.2025 00:45;-;11,500;31,000
26.08.2025 00:45;26.08.2025 01:00;-;11,500;31,000
26.08.2025 01:00;26.08.2025 01:15;-;11,750;32,000
26.08.2025 01:15;26.08.2025 01:30;-;11,750;32,000
26.08.2025 01:30;26.08.2025 01:45;-;11,750;32,000
26.08.2025 01:45;26.08.2025 02:00;-;11,750;32,000
26.08.2025 02:00;26.08.2025 02:15;-;13,000;29,250
26.08.2025 02:15;26.08.2025 02:30;-;13,000;29,250
26.08.2025 02:30;26.08.2025 02:45;-;13,000;29,250
26.08.2025 02:45;26.08.2025 03:00;-;13,000;29,250
26.08.2025 03:00;26.08.2025 03:15;-;13,250;29,500
26.08.2025 03:15;26.08.2025 03:30;-;13,250;29,500
26.08.2025 03:30;26.08.2025 03:45;-;13,250;29,500
26.08.2025 03:45;26.08.2025 04:00;-;13,250;29,500
26.08.2025 04:00;26.08.2025 04:15;-;13,500;33,000
26.08.2025 04:15;26.08.2025 04:30;-;13,500;33,000
26.08.2025 04:30;26.08.2025 04:45;-;13,500;33,000
26.08.2025 04:45;26.08.2025 05:00;-;13,500;33,000
26.08.2025 05:00;26.08.2025 05:15;-;13,500;31,750
26.08.2025 05:15;26.08.2025 05:30;-;13,500;31,750
26.08.2025 05:30;26.08.2025 05:45;-;13,500;31,750
26.08.2025 05:45;26.08.2025 06:00;-;13,500;31,750
26.08.2025 06:00;26.08.2025 06:15;-;14,250;34,250
26.08.2025 06:15;26.08.2025 06:30;-;14,250;34,250
26.08.2025 06:30;26.08.2025 06:45;-;14,250;34,250
26.08.2025 06:45;26.08.2025 07:00;-;14,250;34,250
26.08.2025 07:00;26.08.2025 07:15;-;12,750;28,500
26.08.2025 07:15;26.08.2025 07:30;-;12,750;28,500
26.08.2025 07:30;26.08.2025 07:45;-;12,750;28,500
26.08.2025 07:45;26.08.2025 08:00;-;12,750;28,500
26.08.2025 08:00;26.08.2025 08:15;-;13,500;27,500
26.08.2025 08:15;26.08.2025 08:30;-;13,500;27,500
26.08.2025 08:30;26.08.2025 08:45;-;13,500;27,500
26.08.2025 08:45;26.08.2025 09:00;-;13,500;27,500
26.08.2025 09:00;26.08.2025 09:15;-;14,500;28,750
26.08.2025 09:15;26.08.2025 09:30;-;14,500;28,750
26.08.2025 09:30;26.08.2025 09:45;-;14,500;28,750
26.08.2025 09:45;26.08.2025 10:00;-;14,500;28,750
26.08.2025 10:00;26.08.2025 10:15;-;13,750;35,000
26.08.2025 10:15;26.08.2025 10:30;-;13,750;35,000
26.08.2025 10:30;26.08.2025 10:45;-;13,750;35,000
26.08.2025 10:45;26.08.2025 11:00;-;13,750;35,000
26.08.2025 11:00;26.08.2025 11:15;-;13,750;35,250
26.08.2025 11:15;26.08.2025 11:30;-;13,750;35,250
26.08.2025 11:30;26.08.2025 11:45;-;13,750;35,250
26.08.2025 11:45;26.08.2025 12:00;-;13,750;35,250
26.08.2025 12:00;26.08.2025 12:15;-;20,250;38,500
26.08.2025 12:15;26.08.2025 12:30;-;20,250;38,500
26.08.2025 12:30;26.08.2025 12:45;-;20,250;38,500
26.08.2025 12:45;26.08.2025 13:00;-;20,250;38,500
26.08.2025 13:00;26.08.2025 13:15;-;18,000;41,000
26.08.2025 13:15;26.08.2025 13:30;-;18,000;41,000
26.08.2025 13:30;26.08.2025 13:45;-;18,000;41,000
26.08.2025 13:45;26.08.2025 14:00;-;18,000;41,000
26.08.2025 14:00;26.08.2025 14:15;-;13,750;43,750
26.08.2025 14:15;26.08.2025 14:30;-;13,750;43,750
26.08.2025 14:30;26.08.2025 14:45;-;13,750;43,750
26.08.2025 14:45;26.08.2025 15:00;-;13,750;43,750
26.08.2025 15:00;26.08.2025 15:15;-;14,250;43,750
26.08.2025 15:15;26.08.2025 15:30;-;14,250;43,750
26.08.2025 15:30;26.08.2025 15:45;-;14,250;43,750
26.08.2025 15:45;26.08.2025 16:00;-;14,250;43,750
26.08.2025 16:00;26.08.2025 16:15;-;12,500;43,500
26.08.2025 16:15;26.08.2025 16:30;-;12,500;43,500
26.08.2025 16:30;26.08.2025 16:45;-;12,500;43,500
26.08.2025 16:45;26.08.2025 17:00;-;12,500;43,500
26.08.2025 17:00;26.08.2025 17:15;-;13,000;43,500
26.08.2025 17:15;26.08.2025 17:30;-;13,000;43,500
26.08.2025 17:30;26.08.2025 17:45;-;13,000;43,500
26.08.2025 17:45;26.08.2025 18:00;-;13,000;43,500
26.08.2025 18:00;26.08.2025 18:15;-;13,750;39,500
26.08.2025 18:15;26.08.2025 18:30;-;13,750;39,500
26.08.2025 18:30;26.08.2025 18:45;-;13,750;39,500
26.08.2025 18:45;26.08.2025 19:00;-;13,750;39,500
26.08.2025 19:00;26.08.2025 19:15;-;10,750;29,000
26.08.2025 19:15;26.08.2025 19:30;-;10,750;29,000
26.08.2025 19:30;26.08.2025 19:45;-;10,750;29,000
26.08.2025 19:45;26.08.2025 20:00;-;10,750;29,000
26.08.2025 20:00;26.08.2025 20:15;-;10,250;26,250
26.08.2025 20:15;26.08.2025 20:30;-;10,250;26,250
26.08.2025 20:30;26.08.2025 20:45;-;10,250;26,250
26.08.2025 20:45;26.08.2025 21:00;-;10,250;26,250
26.08.2025 21:00;26.08.2025 21:15;-;10,250;26,250
26.08.2025 21:15;26.08.2025 21:30;-;10,250;26,250
26.08.2025 21:30;26.08.2025 21:45;-;10,250;26,250
26.08.2025 21:45;26.08.2025 22:00;-;10,250;26,250
26.08.2025 22:00;26.08.2025 22:15;-;11,500;30,000
26.08.2025 22:15;26.08.2025 22:30;-;11,500;30,000
26.08.2025 22:30;26.08.2025 22:45;-;11,500;30,000
26.08.2025 22:45;26.08.2025 23:00;-;11,500;30,000
26.08.2025 23:00;26.08.2025 23:15;-;12,250;26,750
26.08.2025 23:15;26.08.2025 23:30;-;12,250;26,750
26.08.2025 23:30;26.08.2025 23:45;-;12,250;26,750
26.08.2025 23:45;27.08.2025 00:00;-;12,250;26,750
27.08.2025 00:00;27.08.2025 00:15;-;13,250;26,750
27.08.2025 00:15;27.08.2025 00:30;-;13,250;26,750
