Datum von;Datum bis;Generation_DE Huckingen A [MW] Berechnete Auflösungen;Generation_DE Huckingen B [MW] Berechnete Auflösungen
26.08.2025 00:00;26.08.2025 00:15;51,250;0,000
26.08.2025 00:15;26.08.2025 00:30;51,250;0,000
26.08.2025 00:30;26.08.2025 00:45;51,250;0,000
26.08.2025 00:45;26.08.2025 01:00;51,250;0,000
26.08.2025 01:00;26.08.2025 01:15;49,500;0,000
26.08.2025 01:15;26.08.2025 01:30;49,500;0,000
26.08.2025 01:30;26.08.2025 01:45;49,500;0,000
26.08.2025 01:45;26.08.2025 02:00;49,500;0,000
26.08.2025 02:00;26.08.2025 02:15;48,250;0,000
26.08.2025 02:15;26.08.2025 02:30;48,250;0,000
26.08.2025 02:30;26.08.2025 02:45;48,250;0,000
26.08.2025 02:45;26.08.2025 03:00;48,250;0,000
26.08.2025 03:00;26.08.2025 03:15;47,500;0,000
26.08.2025 03:15;26.08.2025 03:30;47,500;0,000
26.08.2025 03:30;26.08.2025 03:45;47,500;0,000
26.08.2025 03:45;26.08.2025 04:00;47,500;0,000
26.08.2025 04:00;26.08.2025 04:15;45,750;0,000
26.08.2025 04:15;26.08.2025 04:30;45,750;0,000
26.08.2025 04:30;26.08.2025 04:45;45,750;0,000
26.08.2025 04:45;26.08.2025 05:00;45,750;0,000
26.08.2025 05:00;26.08.2025 05:15;48,750;0,000
26.08.2025 05:15;26.08.2025 05:30;48,750;0,000
26.08.2025 05:30;26.08.2025 05:45;48,750;0,000
26.08.2025 05:45;26.08.2025 06:00;48,750;0,000
26.08.2025 06:00;26.08.2025 06:15;52,500;0,000
26.08.2025 06:15;26.08.2025 06:30;52,500;0,000
26.08.2025 06:30;26.08.2025 06:45;52,500;0,000
26.08.2025 06:45;26.08.2025 07:00;52,500;0,000
26.08.2025 07:00;26.08.2025 07:15;48,750;0,000
26.08.2025 07:15;26.08.2025 07:30;48,750;0,000
26.08.2025 07:30;26.08.2025 07:45;48,750;0,000
26.08.2025 07:45;26.08.2025 08:00;48,750;0,000
26.08.2025 08:00;26.08.2025 08:15;49,250;0,000
26.08.2025 08:15;26.08.2025 08:30;49,250;0,000
26.08.2025 08:30;26.08.2025 08:45;49,250;0,000
26.08.2025 08:45;26.08.2025 09:00;49,250;0,000
26.08.2025 09:00;26.08.2025 09:15;51,250;0,000
26.08.2025 09:15;26.08.2025 09:30;51,250;0,000
26.08.2025 09:30;26.08.2025 09:45;51,250;0,000
26.08.2025 09:45;26.08.2025 10:00;51,250;0,000
26.08.2025 10:00;26.08.2025 10:15;49,000;0,000
26.08.2025 10:15;26.08.2025 10:30;49,000;0,000
26.08.2025 10:30;26.08.2025 10:45;49,000;0,000
26.08.2025 10:45;26.08.2025 11:00;49,000;0,000
26.08.2025 11:00;26.08.2025 11:15;47,750;0,000
26.08.2025 11:15;26.08.2025 11:30;47,750;0,000
