Datum von;Datum bis;Generation_DE Block A [MW] Berechnete Auflösungen;Generation_DE Block B [MW] Berechnete Auflösungen;Generation_DE Block C [MW] Berechnete Auflösungen;Generation_DE Block D [MW] Berechnete Auflösungen;Generation_DE Block E [MW] Berechnete Auflösungen;Generation_DE Block F [MW] Berechnete Auflösungen
26.08.2025 00:00;26.08.2025 00:15;42,750;113,750;0,000;0,000;-;-
26.08.2025 00:15;26.08.2025 00:30;42,750;113,750;0,000;0,000;-;-
26.08.2025 00:30;26.08.2025 00:45;42,750;113,750;0,000;0,000;-;-
26.08.2025 00:45;26.08.2025 01:00;42,750;113,750;0,000;0,000;-;-
26.08.2025 01:00;26.08.2025 01:15;42,500;91,500;0,000;0,000;-;-
26.08.2025 01:15;26.08.2025 01:30;42,500;91,500;0,000;0,000;-;-
26.08.2025 01:30;26.08.2025 01:45;42,500;91,500;0,000;0,000;-;-
26.08.2025 01:45;26.08.2025 02:00;42,500;91,500;0,000;0,000;-;-
26.08.2025 02:00;26.08.2025 02:15;43,500;90,250;0,000;0,000;-;-
26.08.2025 02:15;26.08.2025 02:30;43,500;90,250;0,000;0,000;-;-
26.08.2025 02:30;26.08.2025 02:45;43,500;90,250;0,000;0,000;-;-
26.08.2025 02:45;26.08.2025 03:00;43,500;90,250;0,000;0,000;-;-
26.08.2025 03:00;26.08.2025 03:15;43,500;98,250;0,000;0,000;-;-
26.08.2025 03:15;26.08.2025 03:30;43,500;98,250;0,000;0,000;-;-
26.08.2025 03:30;26.08.2025 03:45;43,500;98,250;0,000;0,000;-;-
26.08.2025 03:45;26.08.2025 04:00;43,500;98,250;0,000;0,000;-;-
26.08.2025 04:00;26.08.2025 04:15;55,500;115,750;0,000;0,000;-;-
26.08.2025 04:15;26.08.2025 04:30;55,500;115,750;0,000;0,000;-;-
26.08.2025 04:30;26.08.2025 04:45;55,500;115,750;0,000;0,000;-;-
26.08.2025 04:45;26.08.2025 05:00;55,500;115,750;0,000;0,000;-;-
26.08.2025 05:00;26.08.2025 05:15;57,250;115,000;0,000;0,000;-;-
26.08.2025 05:15;26.08.2025 05:30;57,250;115,000;0,000;0,000;-;-
26.08.2025 05:30;26.08.2025 05:45;57,250;115,000;0,000;0,000;-;-
26.08.2025 05:45;26.08.2025 06:00;57,250;115,000;0,000;0,000;-;-
26.08.2025 06:00;26.08.2025 06:15;57,250;113,250;0,000;0,000;-;-
26.08.2025 06:15;26.08.2025 06:30;57,250;113,250;0,000;0,000;-;-
26.08.2025 06:30;26.08.2025 06:45;57,250;113,250;0,000;0,000;-;-
26.08.2025 06:45;26.08.2025 07:00;57,250;113,250;0,000;0,000;-;-
26.08.2025 07:00;26.08.2025 07:15;53,500;122,250;0,000;0,000;-;-
26.08.2025 07:15;26.08.2025 07:30;53,500;122,250;0,000;0,000;-;-
26.08.2025 07:30;26.08.2025 07:45;53,500;122,250;0,000;0,000;-;-
