Datum von;Datum bis;Generation_DE Maschine 1 [MW] Berechnete Auflösungen;Generation_DE Maschine 2 [MW] Berechnete Auflösungen
26.08.2025 00:00;26.08.2025 00:15;0,000;0,000
26.08.2025 00:15;26.08.2025 00:30;0,000;0,000
26.08.2025 00:30;26.08.2025 00:45;0,000;0,000
26.08.2025 00:45;26.08.2025 01:00;0,000;0,000
26.08.2025 01:00;26.08.2025 01:15;0,000;0,000
26.08.2025 01:15;26.08.2025 01:30;0,000;0,000
26.08.2025 01:30;26.08.2025 01:45;0,000;0,000
26.08.2025 01:45;26.08.2025 02:00;0,000;0,000
26.08.2025 02:00;26.08.2025 02:15;0,000;0,000
26.08.2025 02:15;26.08.2025 02:30;0,000;0,000
26.08.2025 02:30;26.08.2025 02:45;0,000;0,000
26.08.2025 02:45;26.08.2025 03:00;0,000;0,000
26.08.2025 03:00;26.08.2025 03:15;0,000;0,000
26.08.2025 03:15;26.08.2025 03:30;0,000;0,000
26.08.2025 03:30;26.08.2025 03:45;0,000;0,000
26.08.2025 03:45;26.08.2025 04:00;0,000;0,000
26.08.2025 04:00;26.08.2025 04:15;0,000;0,000
26.08.2025 04:15;26.08.2025 04:30;0,000;0,000
26.08.2025 04:30;26.08.2025 04:45;0,000;0,000
26.08.2025 04:45;26.08.2025 05:00;0,000;0,000
26.08.2025 05:00;26.08.2025 05:15;16,500;0,000
26.08.2025 05:15;26.08.2025 05:30;16,500;0,000
26.08.2025 05:30;26.08.2025 05:45;16,500;0,000
26.08.2025 05:45;26.08.2025 06:00;16,500;0,000
26.08.2025 06:00;26.08.2025 06:15;32,250;16,250
26.08.2025 06:15;26.08.2025 06:30;32,250;16,250
26.08.2025 06:30;26.08.2025 06:45;32,250;16,250
26.08.2025 06:45;26.08.2025 07:00;32,250;16,250
26.08.2025 07:00;26.08.2025 07:15;30,750;15,750
26.08.2025 07:15;26.08.2025 07:30;30,750;15,750
26.08.2025 07:30;26.08.2025 07:45;30,750;15,750
26.08.2025 07:45;26.08.2025 08:00;30,750;15,750
26.08.2025 08:00;26.08.2025 08:15;0,250;0,000
26.08.2025 08:15;26.08.2025 08:30;0,250;0,000
26.08.2025 08:30;26.08.2025 08:45;0,250;0,000
26.08.2025 08:45;26.08.2025 09:00;0,250;0,000
26.08.2025 09:00;26.08.2025 09:15;0,000;0,000
26.08.2025 09:15;26.08.2025 09:30;0,000;0,000
26.08.2025 09:30;26.08.2025 09:45;0,000;0,000
26.08.2025 09:45;26.08.2025 10:00;0,000;0,000
26.08.2025 10:00;26.08.2025 10:15;0,000;0,000
26.08.2025 10:15;26.08.2025 10:30;0,000;0,000
26.08.2025 10:30;26.08.2025 10:45;0,000;0,000
26.08.2025 10:45;26.08.2025 11:00;0,000;0,000
26.08.2025 11:00;26.08.2025 11:15;0,000;0,000
26.08.2025 11:15;26.08.2025 11:30;0,000;0,000
26.08.2025 11:30;26.08.2025 11:45;0,000;0,000
26.08.2025 11:45;26.08.2025 12:00;0,000;0,000
26.08.2025 12:00;26.08.2025 12:15;0,000;0,000
26.08.2025 12:15;26.08.2025 12:30;0,000;0,000
26.08.2025 12:30;26.08.2025 12:45;0,000;0,000
26.08.2025 12:45;26.08.2025 13:00;0,000;0,000
26.08.2025 13:00;26.08.2025 13:15;0,000;0,000
26.08.2025 13:15;26.08.2025 13:30;0,000;0,000
26.08.2025 13:30;26.08.2025 13:45;0,000;0,000
26.08.2025 13:45;26.08.2025 14:00;0,000;0,000
26.08.2025 14:00;26.08.2025 14:15;0,000;0,000
26.08.2025 14:15;26.08.2025 14:30;0,000;0,000
26.08.2025 14:30;26.08.2025 14:45;0,000;0,000
26.08.2025 14:45;26.08.2025 15:00;0,000;0,000
26.08.2025 15:00;26.08.2025 15:15;0,000;0,000
26.08.2025 15:15;26.08.2025 15:30;0,000;0,000
26.08.2025 15:30;26.08.2025 15:45;0,000;0,000
26.08.2025 15:45;26.08.2025 16:00;0,000;0,000
26.08.2025 16:00;26.08.2025 16:15;0,000;2,750
26.08.2025 16:15;26.08.2025 16:30;0,000;2,750
26.08.2025 16:30;26.08.2025 16:45;0,000;2,750
26.08.2025 16:45;26.08.2025 17:00;0,000;2,750
26.08.2025 17:00;26.08.2025 17:15;8,250;6,750
26.08.2025 17:15;26.08.2025 17:30;8,250;6,750
26.08.2025 17:30;26.08.2025 17:45;8,250;6,750
26.08.2025 17:45;26.08.2025 18:00;8,250;6,750
26.08.2025 18:00;26.08.2025 18:15;32,250;16,750
26.08.2025 18:15;26.08.2025 18:30;32,250;16,750
26.08.2025 18:30;26.08.2025 18:45;32,250;16,750
26.08.2025 18:45;26.08.2025 19:00;32,250;16,750
26.08.2025 19:00;26.08.2025 19:15;32,500;34,000
26.08.2025 19:15;26.08.2025 19:30;32,500;34,000
26.08.2025 19:30;26.08.2025 19:45;32,500;34,000
26.08.2025 19:45;26.08.2025 20:00;32,500;34,000
26.08.2025 20:00;26.08.2025 20:15;33,500;33,500
26.08.2025 20:15;26.08.2025 20:30;33,500;33,500
26.08.2025 20:30;26.08.2025 20:45;33,500;33,500
26.08.2025 20:45;26.08.2025 21:00;33,500;33,500
26.08.2025 21:00;26.08.2025 21:15;32,250;11,500
26.08.2025 21:15;26.08.2025 21:30;32,250;11,500
26.08.2025 21:30;26.08.2025 21:45;32,250;11,500
26.08.2025 21:45;26.08.2025 22:00;32,250;11,500
26.08.2025 22:00;26.08.2025 22:15;19,000;0,000
26.08.2025 22:15;26.08.2025 22:30;19,000;0,000
26.08.2025 22:30;26.08.2025 22:45;19,000;0,000
26.08.2025 22:45;26.08.2025 23:00;19,000;0,000
26.08.2025 23:00;26.08.2025 23:15;0,000;0,000
26.08.2025 23:15;26.08.2025 23:30;0,000;0,000
26.08.2025 23:30;26.08.2025 23:45;0,000;0,000
26.08.2025 23:45;27.08.2025 00:00;0,000;0,000
27.08.2025 00:00;27.08.2025 00:15;0,000;0,000
27.08.2025 00:15;27.08.2025 00:30;0,000;0,000
27.08.2025 00:30;27.08.2025 00:45;0,000;0,000
27.08.2025 00:45;27.08.2025 01:00;0,000;0,000
27.08.2025 01:00;27.08.2025 01:15;0,000;0,000
27.08.2025 01:15;27.08.2025 01:30;0,000;0,000
27.08.2025 01:30;27.08.2025 01:45;0,000;0,000
27.08.2025 01:45;27.08.2025 02:00;0,000;0,000
27.08.2025 02:00;27.08.2025 02:15;0,000;0,000
27.08.2025 02:15;27.08.2025 02:30;0,000;0,000
27.08.2025 02:30;27.08.2025 02:45;0,000;0,000
27.08.2025 02:45;27.08.2025 03:00;0,000;0,000
27.08.2025 03:00;27.08.2025 03:15;0,000;0,000
27.08.2025 03:15;27.08.2025 03:30;0,000;0,000
27.08.2025 03:30;27.08.2025 03:45;0,000;0,000
27.08.2025 03:45;27.08.2025 04:00;0,000;0,000
27.08.2025 04:00;27.08.2025 04:15;0,000;0,000
27.08.2025 04:15;27.08.2025 04:30;0,000;0,000
27.08.2025 04:30;27.08.2025 04:45;0,000;0,000
27.08.2025 04:45;27.08.2025 05:00;0,000;0,000
27.08.2025 05:00;27.08.2025 05:15;0,000;0,000
27.08.2025 05:15;27.08.2025 05:30;0,000;0,000
27.08.2025 05:30;27.08.2025 05:45;0,000;0,000
27.08.2025 05:45;27.08.2025 06:00;0,000;0,000
27.08.2025 06:00;27.08.2025 06:15;17,000;14,000
27.08.2025 06:15;27.08.2025 06:30;17,000;14,000
27.08.2025 06:30;27.08.2025 06:45;17,000;14,000
27.08.2025 06:45;27.08.2025 07:00;17,000;14,000
27.08.2025 07:00;27.08.2025 07:15;28,500;21,500
27.08.2025 07:15;27.08.2025 07:30;28,500;21,500
27.08.2025 07:30;27.08.2025 07:45;28,500;21,500
27.08.2025 07:45;27.08.2025 08:00;28,500;21,500
27.08.2025 08:00;27.08.2025 08:15;32,250;18,750
27.08.2025 08:15;27.08.2025 08:30;32,250;18,750
27.08.2025 08:30;27.08.2025 08:45;32,250;18,750
27.08.2025 08:45;27.08.2025 09:00;32,250;18,750
27.08.2025 09:00;27.08.2025 09:15;3,250;4,750
27.08.2025 09:15;27.08.2025 09:30;3,250;4,750
27.08.2025 09:30;27.08.2025 09:45;3,250;4,750
27.08.2025 09:45;27.08.2025 10:00;3,250;4,750
27.08.2025 10:00;27.08.2025 10:15;0,000;0,000
27.08.2025 10:15;27.08.2025 10:30;0,000;0,000
27.08.2025 10:30;27.08.2025 10:45;0,000;0,000
27.08.2025 10:45;27.08.2025 11:00;0,000;0,000
27.08.2025 11:00;27.08.2025 11:15;0,000;0,000
27.08.2025 11:15;27.08.2025 11:30;0,000;0,000
27.08.2025 11:30;27.08.2025 11:45;0,000;0,000
27.08.2025 11:45;27.08.2025 12:00;0,000;0,000
27.08.2025 12:00;27.08.2025 12:15;0,000;0,000
27.08.2025 12:15;27.08.2025 12:30;0,000;0,000
27.08.2025 12:30;27.08.2025 12:45;0,000;0,000
27.08.2025 12:45;27.08.2025 13:00;0,000;0,000
27.08.2025 13:00;27.08.2025 13:15;0,000;0,000
27.08.2025 13:15;27.08.2025 13:30;0,000;0,000
27.08.2025 13:30;27.08.2025 13:45;0,000;0,000
27.08.2025 13:45;27.08.2025 14:00;0,000;0,000
27.08.2025 14:00;27.08.2025 14:15;0,000;0,000
27.08.2025 14:15;27.08.2025 14:30;0,000;0,000
27.08.2025 14:30;27.08.2025 14:45;0,000;0,000
27.08.2025 14:45;27.08.2025 15:00;0,000;0,000
27.08.2025 15:00;27.08.2025 15:15;0,000;0,000
27.08.2025 15:15;27.08.2025 15:30;0,000;0,000
27.08.2025 15:30;27.08.2025 15:45;0,000;0,000
27.08.2025 15:45;27.08.2025 16:00;0,000;0,000
27.08.2025 16:00;27.08.2025 16:15;0,000;0,000
27.08.2025 16:15;27.08.2025 16:30;0,000;0,000
27.08.2025 16:30;27.08.2025 16:45;0,000;0,000
27.08.2025 16:45;27.08.2025 17:00;0,000;0,000
27.08.2025 17:00;27.08.2025 17:15;0,000;0,000
27.08.2025 17:15;27.08.2025 17:30;0,000;0,000
27.08.2025 17:30;27.08.2025 17:45;0,000;0,000
