Datum von;Datum bis;Generation_DE Block R [MW] Berechnete Auflösungen;Generation_DE Block S [MW] Berechnete Auflösungen
26.08.2025 00:00;26.08.2025 00:15;210,000;207,750
26.08.2025 00:15;26.08.2025 00:30;210,000;207,750
26.08.2025 00:30;26.08.2025 00:45;210,000;207,750
26.08.2025 00:45;26.08.2025 01:00;210,000;207,750
26.08.2025 01:00;26.08.2025 01:15;210,000;208,250
26.08.2025 01:15;26.08.2025 01:30;210,000;208,250
26.08.2025 01:30;26.08.2025 01:45;210,000;208,250
26.08.2025 01:45;26.08.2025 02:00;210,000;208,250
26.08.2025 02:00;26.08.2025 02:15;209,250;207,500
26.08.2025 02:15;26.08.2025 02:30;209,250;207,500
26.08.2025 02:30;26.08.2025 02:45;209,250;207,500
26.08.2025 02:45;26.08.2025 03:00;209,250;207,500
26.08.2025 03:00;26.08.2025 03:15;208,250;207,250
26.08.2025 03:15;26.08.2025 03:30;208,250;207,250
26.08.2025 03:30;26.08.2025 03:45;208,250;207,250
26.08.2025 03:45;26.08.2025 04:00;208,250;207,250
26.08.2025 04:00;26.08.2025 04:15;208,000;206,000
26.08.2025 04:15;26.08.2025 04:30;208,000;206,000
26.08.2025 04:30;26.08.2025 04:45;208,000;206,000
26.08.2025 04:45;26.08.2025 05:00;208,000;206,000
26.08.2025 05:00;26.08.2025 05:15;210,750;208,250
26.08.2025 05:15;26.08.2025 05:30;210,750;208,250
26.08.2025 05:30;26.08.2025 05:45;210,750;208,250
26.08.2025 05:45;26.08.2025 06:00;210,750;208,250
26.08.2025 06:00;26.08.2025 06:15;210,500;208,500
26.08.2025 06:15;26.08.2025 06:30;210,500;208,500
26.08.2025 06:30;26.08.2025 06:45;210,500;208,500
26.08.2025 06:45;26.08.2025 07:00;210,500;208,500
26.08.2025 07:00;26.08.2025 07:15;209,750;207,250
26.08.2025 07:15;26.08.2025 07:30;209,750;207,250
26.08.2025 07:30;26.08.2025 07:45;209,750;207,250
26.08.2025 07:45;26.08.2025 08:00;209,750;207,250
26.08.2025 08:00;26.08.2025 08:15;187,500;188,750
26.08.2025 08:15;26.08.2025 08:30;187,500;188,750
26.08.2025 08:30;26.08.2025 08:45;187,500;188,750
26.08.2025 08:45;26.08.2025 09:00;187,500;188,750
26.08.2025 09:00;26.08.2025 09:15;166,750;166,000
26.08.2025 09:15;26.08.2025 09:30;166,750;166,000
26.08.2025 09:30;26.08.2025 09:45;166,750;166,000
26.08.2025 09:45;26.08.2025 10:00;166,750;166,000
26.08.2025 10:00;26.08.2025 10:15;134,000;132,500
26.08.2025 10:15;26.08.2025 10:30;134,000;132,500
26.08.2025 10:30;26.08.2025 10:45;134,000;132,500
26.08.2025 10:45;26.08.2025 11:00;134,000;132,500
26.08.2025 11:00;26.08.2025 11:15;115,250;111,500
26.08.2025 11:15;26.08.2025 11:30;115,250;111,500
26.08.2025 11:30;26.08.2025 11:45;115,250;111,500
26.08.2025 11:45;26.08.2025 12:00;115,250;111,500
26.08.2025 12:00;26.08.2025 12:15;120,750;90,000
