Datum von;Datum bis;Generation_DE Neurath C [MW] Berechnete Auflösungen;Generation_DE Neurath D [MW] Berechnete Auflösungen;Generation_DE Neurath E [MW] Berechnete Auflösungen;Generation_DE Neurath F [MW] Berechnete Auflösungen;Generation_DE Neurath G [MW] Berechnete Auflösungen;Generation_DE Neurath A [MW] Berechnete Auflösungen;Generation_DE Neurath B [MW] Berechnete Auflösungen;Generation_DE Batteriespeicher Neurath [MW] Berechnete Auflösungen
26.08.2025 00:00;26.08.2025 00:15;-;-;-;254,500;262,750;-;-;-
26.08.2025 00:15;26.08.2025 00:30;-;-;-;254,500;262,750;-;-;-
26.08.2025 00:30;26.08.2025 00:45;-;-;-;254,500;262,750;-;-;-
26.08.2025 00:45;26.08.2025 01:00;-;-;-;254,500;262,750;-;-;-
26.08.2025 01:00;26.08.2025 01:15;-;-;-;256,000;262,750;-;-;-
26.08.2025 01:15;26.08.2025 01:30;-;-;-;256,000;262,750;-;-;-
26.08.2025 01:30;26.08.2025 01:45;-;-;-;256,000;262,750;-;-;-
26.08.2025 01:45;26.08.2025 02:00;-;-;-;256,000;262,750;-;-;-
26.08.2025 02:00;26.08.2025 02:15;-;-;-;256,000;264,250;-;-;-
26.08.2025 02:15;26.08.2025 02:30;-;-;-;256,000;264,250;-;-;-
26.08.2025 02:30;26.08.2025 02:45;-;-;-;256,000;264,250;-;-;-
26.08.2025 02:45;26.08.2025 03:00;-;-;-;256,000;264,250;-;-;-
26.08.2025 03:00;26.08.2025 03:15;-;-;-;256,000;265,250;-;-;-
26.08.2025 03:15;26.08.2025 03:30;-;-;-;256,000;265,250;-;-;-
26.08.2025 03:30;26.08.2025 03:45;-;-;-;256,000;265,250;-;-;-
26.08.2025 03:45;26.08.2025 04:00;-;-;-;256,000;265,250;-;-;-
26.08.2025 04:00;26.08.2025 04:15;-;-;-;255,750;264,500;-;-;-
26.08.2025 04:15;26.08.2025 04:30;-;-;-;255,750;264,500;-;-;-
26.08.2025 04:30;26.08.2025 04:45;-;-;-;255,750;264,500;-;-;-
26.08.2025 04:45;26.08.2025 05:00;-;-;-;255,750;264,500;-;-;-
26.08.2025 05:00;26.08.2025 05:15;-;-;-;257,500;264,750;-;-;-
26.08.2025 05:15;26.08.2025 05:30;-;-;-;257,500;264,750;-;-;-
26.08.2025 05:30;26.08.2025 05:45;-;-;-;257,500;264,750;-;-;-
26.08.2025 05:45;26.08.2025 06:00;-;-;-;257,500;264,750;-;-;-
26.08.2025 06:00;26.08.2025 06:15;-;-;-;257,250;264,000;-;-;-
26.08.2025 06:15;26.08.2025 06:30;-;-;-;257,250;264,000;-;-;-
26.08.2025 06:30;26.08.2025 06:45;-;-;-;257,250;264,000;-;-;-
26.08.2025 06:45;26.08.2025 07:00;-;-;-;257,250;264,000;-;-;-
26.08.2025 07:00;26.08.2025 07:15;-;-;-;255,500;264,500;-;-;-
26.08.2025 07:15;26.08.2025 07:30;-;-;-;255,500;264,500;-;-;-
26.08.2025 07:30;26.08.2025 07:45;-;-;-;255,500;264,500;-;-;-
26.08.2025 07:45;26.08.2025 08:00;-;-;-;255,500;264,500;-;-;-
26.08.2025 08:00;26.08.2025 08:15;-;-;-;255,750;266,250;-;-;-
26.08.2025 08:15;26.08.2025 08:30;-;-;-;255,750;266,250;-;-;-
26.08.2025 08:30;26.08.2025 08:45;-;-;-;255,750;266,250;-;-;-
26.08.2025 08:45;26.08.2025 09:00;-;-;-;255,750;266,250;-;-;-
26.08.2025 09:00;26.08.2025 09:15;-;-;-;256,250;265,250;-;-;-
26.08.2025 09:15;26.08.2025 09:30;-;-;-;256,250;265,250;-;-;-
26.08.2025 09:30;26.08.2025 09:45;-;-;-;256,250;265,250;-;-;-
26.08.2025 09:45;26.08.2025 10:00;-;-;-;256,250;265,250;-;-;-
26.08.2025 10:00;26.08.2025 10:15;-;-;-;242,000;239,250;-;-;-
26.08.2025 10:15;26.08.2025 10:30;-;-;-;242,000;239,250;-;-;-
26.08.2025 10:30;26.08.2025 10:45;-;-;-;242,000;239,250;-;-;-
26.08.2025 10:45;26.08.2025 11:00;-;-;-;242,000;239,250;-;-;-
26.08.2025 11:00;26.08.2025 11:15;-;-;-;174,000;148,500;-;-;-
26.08.2025 11:15;26.08.2025 11:30;-;-;-;174,000;148,500;-;-;-
26.08.2025 11:30;26.08.2025 11:45;-;-;-;174,000;148,500;-;-;-
26.08.2025 11:45;26.08.2025 12:00;-;-;-;174,000;148,500;-;-;-
26.08.2025 12:00;26.08.2025 12:15;-;-;-;107,750;119,750;-;-;-
26.08.2025 12:15;26.08.2025 12:30;-;-;-;107,750;119,750;-;-;-
26.08.2025 12:30;26.08.2025 12:45;-;-;-;107,750;119,750;-;-;-
26.08.2025 12:45;26.08.2025 13:00;-;-;-;107,750;119,750;-;-;-
26.08.2025 13:00;26.08.2025 13:15;-;-;-;108,000;121,000;-;-;-
26.08.2025 13:15;26.08.2025 13:30;-;-;-;108,000;121,000;-;-;-
26.08.2025 13:30;26.08.2025 13:45;-;-;-;108,000;121,000;-;-;-
26.08.2025 13:45;26.08.2025 14:00;-;-;-;108,000;121,000;-;-;-
26.08.2025 14:00;26.08.2025 14:15;-;-;-;109,750;121,250;-;-;-
26.08.2025 14:15;26.08.2025 14:30;-;-;-;109,750;121,250;-;-;-
26.08.2025 14:30;26.08.2025 14:45;-;-;-;109,750;121,250;-;-;-
26.08.2025 14:45;26.08.2025 15:00;-;-;-;109,750;121,250;-;-;-
26.08.2025 15:00;26.08.2025 15:15;-;-;-;129,250;148,750;-;-;-
26.08.2025 15:15;26.08.2025 15:30;-;-;-;129,250;148,750;-;-;-
26.08.2025 15:30;26.08.2025 15:45;-;-;-;129,250;148,750;-;-;-
26.08.2025 15:45;26.08.2025 16:00;-;-;-;129,250;148,750;-;-;-
26.08.2025 16:00;26.08.2025 16:15;-;-;-;242,750;251,000;-;-;-
26.08.2025 16:15;26.08.2025 16:30;-;-;-;242,750;251,000;-;-;-
26.08.2025 16:30;26.08.2025 16:45;-;-;-;242,750;251,000;-;-;-
