Datum von;Datum bis;Generation_DE Niederaußem E [MW] Berechnete Auflösungen;Generation_DE Niederaußem F [MW] Berechnete Auflösungen;Generation_DE Niederaußem G [MW] Berechnete Auflösungen;Generation_DE Niederaußem H [MW] Berechnete Auflösungen;Generation_DE Niederaußem K [MW] Berechnete Auflösungen;Generation_DE Niederaußem D [MW] Berechnete Auflösungen;Generation_DE Niederaußem A [MW] Berechnete Auflösungen;Generation_DE Niederaußem B [MW] Berechnete Auflösungen;Generation_DE Niederaußem C [MW] Berechnete Auflösungen
26.08.2025 00:00;26.08.2025 00:15;-;-;155,250;0,000;226,250;-;-;-;-
26.08.2025 00:15;26.08.2025 00:30;-;-;155,250;0,000;226,250;-;-;-;-
26.08.2025 00:30;26.08.2025 00:45;-;-;155,250;0,000;226,250;-;-;-;-
26.08.2025 00:45;26.08.2025 01:00;-;-;155,250;0,000;226,250;-;-;-;-
26.08.2025 01:00;26.08.2025 01:15;-;-;154,750;0,000;227,000;-;-;-;-
26.08.2025 01:15;26.08.2025 01:30;-;-;154,750;0,000;227,000;-;-;-;-
26.08.2025 01:30;26.08.2025 01:45;-;-;154,750;0,000;227,000;-;-;-;-
26.08.2025 01:45;26.08.2025 02:00;-;-;154,750;0,000;227,000;-;-;-;-
26.08.2025 02:00;26.08.2025 02:15;-;-;156,500;0,000;226,500;-;-;-;-
26.08.2025 02:15;26.08.2025 02:30;-;-;156,500;0,000;226,500;-;-;-;-
26.08.2025 02:30;26.08.2025 02:45;-;-;156,500;0,000;226,500;-;-;-;-
26.08.2025 02:45;26.08.2025 03:00;-;-;156,500;0,000;226,500;-;-;-;-
26.08.2025 03:00;26.08.2025 03:15;-;-;153,500;0,000;227,750;-;-;-;-
26.08.2025 03:15;26.08.2025 03:30;-;-;153,500;0,000;227,750;-;-;-;-
26.08.2025 03:30;26.08.2025 03:45;-;-;153,500;0,000;227,750;-;-;-;-
26.08.2025 03:45;26.08.2025 04:00;-;-;153,500;0,000;227,750;-;-;-;-
26.08.2025 04:00;26.08.2025 04:15;-;-;153,250;0,000;227,750;-;-;-;-
26.08.2025 04:15;26.08.2025 04:30;-;-;153,250;0,000;227,750;-;-;-;-
26.08.2025 04:30;26.08.2025 04:45;-;-;153,250;0,000;227,750;-;-;-;-
26.08.2025 04:45;26.08.2025 05:00;-;-;153,250;0,000;227,750;-;-;-;-
26.08.2025 05:00;26.08.2025 05:15;-;-;155,000;0,000;228,500;-;-;-;-
26.08.2025 05:15;26.08.2025 05:30;-;-;155,000;0,000;228,500;-;-;-;-
26.08.2025 05:30;26.08.2025 05:45;-;-;155,000;0,000;228,500;-;-;-;-
26.08.2025 05:45;26.08.2025 06:00;-;-;155,000;0,000;228,500;-;-;-;-
26.08.2025 06:00;26.08.2025 06:15;-;-;158,250;0,000;231,250;-;-;-;-
26.08.2025 06:15;26.08.2025 06:30;-;-;158,250;0,000;231,250;-;-;-;-
26.08.2025 06:30;26.08.2025 06:45;-;-;158,250;0,000;231,250;-;-;-;-
26.08.2025 06:45;26.08.2025 07:00;-;-;158,250;0,000;231,250;-;-;-;-
26.08.2025 07:00;26.08.2025 07:15;-;-;158,500;0,000;231,500;-;-;-;-
26.08.2025 07:15;26.08.2025 07:30;-;-;158,500;0,000;231,500;-;-;-;-
26.08.2025 07:30;26.08.2025 07:45;-;-;158,500;0,000;231,500;-;-;-;-
26.08.2025 07:45;26.08.2025 08:00;-;-;158,500;0,000;231,500;-;-;-;-
26.08.2025 08:00;26.08.2025 08:15;-;-;148,000;0,000;230,250;-;-;-;-
26.08.2025 08:15;26.08.2025 08:30;-;-;148,000;0,000;230,250;-;-;-;-
26.08.2025 08:30;26.08.2025 08:45;-;-;148,000;0,000;230,250;-;-;-;-
26.08.2025 08:45;26.08.2025 09:00;-;-;148,000;0,000;230,250;-;-;-;-
26.08.2025 09:00;26.08.2025 09:15;-;-;82,750;0,000;226,750;-;-;-;-
26.08.2025 09:15;26.08.2025 09:30;-;-;82,750;0,000;226,750;-;-;-;-
26.08.2025 09:30;26.08.2025 09:45;-;-;82,750;0,000;226,750;-;-;-;-
26.08.2025 09:45;26.08.2025 10:00;-;-;82,750;0,000;226,750;-;-;-;-
26.08.2025 10:00;26.08.2025 10:15;-;-;71,000;0,000;224,500;-;-;-;-
26.08.2025 10:15;26.08.2025 10:30;-;-;71,000;0,000;224,500;-;-;-;-
26.08.2025 10:30;26.08.2025 10:45;-;-;71,000;0,000;224,500;-;-;-;-
26.08.2025 10:45;26.08.2025 11:00;-;-;71,000;0,000;224,500;-;-;-;-
26.08.2025 11:00;26.08.2025 11:15;-;-;76,000;0,000;181,500;-;-;-;-
26.08.2025 11:15;26.08.2025 11:30;-;-;76,000;0,000;181,500;-;-;-;-
26.08.2025 11:30;26.08.2025 11:45;-;-;76,000;0,000;181,500;-;-;-;-
26.08.2025 11:45;26.08.2025 12:00;-;-;76,000;0,000;181,500;-;-;-;-
26.08.2025 12:00;26.08.2025 12:15;-;-;69,250;0,000;94,500;-;-;-;-
26.08.2025 12:15;26.08.2025 12:30;-;-;69,250;0,000;94,500;-;-;-;-
26.08.2025 12:30;26.08.2025 12:45;-;-;69,250;0,000;94,500;-;-;-;-
26.08.2025 12:45;26.08.2025 13:00;-;-;69,250;0,000;94,500;-;-;-;-
26.08.2025 13:00;26.08.2025 13:15;-;-;75,500;0,000;92,750;-;-;-;-
