Datum von;Datum bis;Generation_DE Block A [MW] Berechnete Auflösungen
26.08.2025 00:00;26.08.2025 00:15;128,000
26.08.2025 00:15;26.08.2025 00:30;128,000
26.08.2025 00:30;26.08.2025 00:45;128,000
26.08.2025 00:45;26.08.2025 01:00;128,000
26.08.2025 01:00;26.08.2025 01:15;128,250
26.08.2025 01:15;26.08.2025 01:30;128,250
26.08.2025 01:30;26.08.2025 01:45;128,250
26.08.2025 01:45;26.08.2025 02:00;128,250
26.08.2025 02:00;26.08.2025 02:15;128,000
26.08.2025 02:15;26.08.2025 02:30;128,000
26.08.2025 02:30;26.08.2025 02:45;128,000
26.08.2025 02:45;26.08.2025 03:00;128,000
26.08.2025 03:00;26.08.2025 03:15;127,750
26.08.2025 03:15;26.08.2025 03:30;127,750
26.08.2025 03:30;26.08.2025 03:45;127,750
26.08.2025 03:45;26.08.2025 04:00;127,750
26.08.2025 04:00;26.08.2025 04:15;127,750
26.08.2025 04:15;26.08.2025 04:30;127,750
26.08.2025 04:30;26.08.2025 04:45;127,750
26.08.2025 04:45;26.08.2025 05:00;127,750
26.08.2025 05:00;26.08.2025 05:15;128,250
26.08.2025 05:15;26.08.2025 05:30;128,250
26.08.2025 05:30;26.08.2025 05:45;128,250
26.08.2025 05:45;26.08.2025 06:00;128,250
26.08.2025 06:00;26.08.2025 06:15;128,250
26.08.2025 06:15;26.08.2025 06:30;128,250
26.08.2025 06:30;26.08.2025 06:45;128,250
26.08.2025 06:45;26.08.2025 07:00;128,250
26.08.2025 07:00;26.08.2025 07:15;128,500
26.08.2025 07:15;26.08.2025 07:30;128,500
26.08.2025 07:30;26.08.2025 07:45;128,500
26.08.2025 07:45;26.08.2025 08:00;128,500
26.08.2025 08:00;26.08.2025 08:15;125,000
26.08.2025 08:15;26.08.2025 08:30;125,000
26.08.2025 08:30;26.08.2025 08:45;125,000
26.08.2025 08:45;26.08.2025 09:00;125,000
26.08.2025 09:00;26.08.2025 09:15;42,250
26.08.2025 09:15;26.08.2025 09:30;42,250
26.08.2025 09:30;26.08.2025 09:45;42,250
26.08.2025 09:45;26.08.2025 10:00;42,250
26.08.2025 10:00;26.08.2025 10:15;0,000
26.08.2025 10:15;26.08.2025 10:30;0,000
26.08.2025 10:30;26.08.2025 10:45;0,000
26.08.2025 10:45;26.08.2025 11:00;0,000
26.08.2025 11:00;26.08.2025 11:15;0,000
26.08.2025 11:15;26.08.2025 11:30;0,000
26.08.2025 11:30;26.08.2025 11:45;0,000
26.08.2025 11:45;26.08.2025 12:00;0,000
26.08.2025 12:00;26.08.2025 12:15;0,000
26.08.2025 12:15;26.08.2025 12:30;0,000
26.08.2025 12:30;26.08.2025 12:45;0,000
26.08.2025 12:45;26.08.2025 13:00;0,000
26.08.2025 13:00;26.08.2025 13:15;0,000
26.08.2025 13:15;26.08.2025 13:30;0,000
26.08.2025 13:30;26.08.2025 13:45;0,000
26.08.2025 13:45;26.08.2025 14:00;0,000
26.08.2025 14:00;26.08.2025 14:15;0,000
26.08.2025 14:15;26.08.2025 14:30;0,000
26.08.2025 14:30;26.08.2025 14:45;0,000
26.08.2025 14:45;26.08.2025 15:00;0,000
26.08.2025 15:00;26.08.2025 15:15;0,000
26.08.2025 15:15;26.08.2025 15:30;0,000
26.08.2025 15:30;26.08.2025 15:45;0,000
26.08.2025 15:45;26.08.2025 16:00;0,000
26.08.2025 16:00;26.08.2025 16:15;44,750
26.08.2025 16:15;26.08.2025 16:30;44,750
26.08.2025 16:30;26.08.2025 16:45;44,750
26.08.2025 16:45;26.08.2025 17:00;44,750
26.08.2025 17:00;26.08.2025 17:15;79,500
26.08.2025 17:15;26.08.2025 17:30;79,500
26.08.2025 17:30;26.08.2025 17:45;79,500
26.08.2025 17:45;26.08.2025 18:00;79,500
26.08.2025 18:00;26.08.2025 18:15;117,750
26.08.2025 18:15;26.08.2025 18:30;117,750
26.08.2025 18:30;26.08.2025 18:45;117,750
26.08.2025 18:45;26.08.2025 19:00;117,750
26.08.2025 19:00;26.08.2025 19:15;127,750
26.08.2025 19:15;26.08.2025 19:30;127,750
26.08.2025 19:30;26.08.2025 19:45;127,750
26.08.2025 19:45;26.08.2025 20:00;127,750
26.08.2025 20:00;26.08.2025 20:15;127,750
26.08.2025 20:15;26.08.2025 20:30;127,750
26.08.2025 20:30;26.08.2025 20:45;127,750
26.08.2025 20:45;26.08.2025 21:00;127,750
26.08.2025 21:00;26.08.2025 21:15;128,250
26.08.2025 21:15;26.08.2025 21:30;128,250
