Datum von;Datum bis;Generation_DE Schkopau B [MW] Berechnete Auflösungen;Generation_DE Schkopau A+B Bahngenerator [MW] Berechnete Auflösungen;Generation_DE Schkopau A [MW] Berechnete Auflösungen
26.08.2025 00:00;26.08.2025 00:15;89,250;-;0,000
26.08.2025 00:15;26.08.2025 00:30;89,250;-;0,000
26.08.2025 00:30;26.08.2025 00:45;89,250;-;0,000
26.08.2025 00:45;26.08.2025 01:00;89,250;-;0,000
26.08.2025 01:00;26.08.2025 01:15;88,500;-;0,000
26.08.2025 01:15;26.08.2025 01:30;88,500;-;0,000
26.08.2025 01:30;26.08.2025 01:45;88,500;-;0,000
26.08.2025 01:45;26.08.2025 02:00;88,500;-;0,000
26.08.2025 02:00;26.08.2025 02:15;88,750;-;0,000
26.08.2025 02:15;26.08.2025 02:30;88,750;-;0,000
26.08.2025 02:30;26.08.2025 02:45;88,750;-;0,000
26.08.2025 02:45;26.08.2025 03:00;88,750;-;0,000
26.08.2025 03:00;26.08.2025 03:15;88,750;-;0,000
26.08.2025 03:15;26.08.2025 03:30;88,750;-;0,000
26.08.2025 03:30;26.08.2025 03:45;88,750;-;0,000
26.08.2025 03:45;26.08.2025 04:00;88,750;-;0,000
26.08.2025 04:00;26.08.2025 04:15;88,500;-;0,000
26.08.2025 04:15;26.08.2025 04:30;88,500;-;0,000
26.08.2025 04:30;26.08.2025 04:45;88,500;-;0,000
26.08.2025 04:45;26.08.2025 05:00;88,500;-;0,000
26.08.2025 05:00;26.08.2025 05:15;86,250;-;0,000
26.08.2025 05:15;26.08.2025 05:30;86,250;-;0,000
26.08.2025 05:30;26.08.2025 05:45;86,250;-;0,000
26.08.2025 05:45;26.08.2025 06:00;86,250;-;0,000
26.08.2025 06:00;26.08.2025 06:15;82,250;-;0,000
26.08.2025 06:15;26.08.2025 06:30;82,250;-;0,000
26.08.2025 06:30;26.08.2025 06:45;82,250;-;0,000
26.08.2025 06:45;26.08.2025 07:00;82,250;-;0,000
