Datum von;Datum bis;Generation_DE Maschine 1 [MW] Berechnete Auflösungen;Generation_DE Maschine 2 [MW] Berechnete Auflösungen
26.08.2025 00:00;26.08.2025 00:15;1,250;4,250
26.08.2025 00:15;26.08.2025 00:30;1,250;4,250
26.08.2025 00:30;26.08.2025 00:45;1,250;4,250
26.08.2025 00:45;26.08.2025 01:00;1,250;4,250
26.08.2025 01:00;26.08.2025 01:15;0,000;4,250
26.08.2025 01:15;26.08.2025 01:30;0,000;4,250
26.08.2025 01:30;26.08.2025 01:45;0,000;4,250
26.08.2025 01:45;26.08.2025 02:00;0,000;4,250
26.08.2025 02:00;26.08.2025 02:15;0,000;4,250
26.08.2025 02:15;26.08.2025 02:30;0,000;4,250
26.08.2025 02:30;26.08.2025 02:45;0,000;4,250
26.08.2025 02:45;26.08.2025 03:00;0,000;4,250
26.08.2025 03:00;26.08.2025 03:15;0,000;4,250
26.08.2025 03:15;26.08.2025 03:30;0,000;4,250
26.08.2025 03:30;26.08.2025 03:45;0,000;4,250
26.08.2025 03:45;26.08.2025 04:00;0,000;4,250
26.08.2025 04:00;26.08.2025 04:15;0,000;4,250
26.08.2025 04:15;26.08.2025 04:30;0,000;4,250
26.08.2025 04:30;26.08.2025 04:45;0,000;4,250
26.08.2025 04:45;26.08.2025 05:00;0,000;4,250
26.08.2025 05:00;26.08.2025 05:15;17,250;4,250
26.08.2025 05:15;26.08.2025 05:30;17,250;4,250
26.08.2025 05:30;26.08.2025 05:45;17,250;4,250
26.08.2025 05:45;26.08.2025 06:00;17,250;4,250
26.08.2025 06:00;26.08.2025 06:15;54,250;13,750
26.08.2025 06:15;26.08.2025 06:30;54,250;13,750
26.08.2025 06:30;26.08.2025 06:45;54,250;13,750
26.08.2025 06:45;26.08.2025 07:00;54,250;13,750
26.08.2025 07:00;26.08.2025 07:15;37,750;16,250
26.08.2025 07:15;26.08.2025 07:30;37,750;16,250
26.08.2025 07:30;26.08.2025 07:45;37,750;16,250
26.08.2025 07:45;26.08.2025 08:00;37,750;16,250
26.08.2025 08:00;26.08.2025 08:15;0,000;6,000
26.08.2025 08:15;26.08.2025 08:30;0,000;6,000
26.08.2025 08:30;26.08.2025 08:45;0,000;6,000
26.08.2025 08:45;26.08.2025 09:00;0,000;6,000
26.08.2025 09:00;26.08.2025 09:15;0,000;4,250
26.08.2025 09:15;26.08.2025 09:30;0,000;4,250
26.08.2025 09:30;26.08.2025 09:45;0,000;4,250
26.08.2025 09:45;26.08.2025 10:00;0,000;4,250
26.08.2025 10:00;26.08.2025 10:15;0,000;4,500
26.08.2025 10:15;26.08.2025 10:30;0,000;4,500
26.08.2025 10:30;26.08.2025 10:45;0,000;4,500
26.08.2025 10:45;26.08.2025 11:00;0,000;4,500
26.08.2025 11:00;26.08.2025 11:15;0,000;4,250
26.08.2025 11:15;26.08.2025 11:30;0,000;4,250
26.08.2025 11:30;26.08.2025 11:45;0,000;4,250
26.08.2025 11:45;26.08.2025 12:00;0,000;4,250
26.08.2025 12:00;26.08.2025 12:15;0,000;0,000
26.08.2025 12:15;26.08.2025 12:30;0,000;0,000
26.08.2025 12:30;26.08.2025 12:45;0,000;0,000
26.08.2025 12:45;26.08.2025 13:00;0,000;0,000
26.08.2025 13:00;26.08.2025 13:15;0,000;0,000
26.08.2025 13:15;26.08.2025 13:30;0,000;0,000
26.08.2025 13:30;26.08.2025 13:45;0,000;0,000
26.08.2025 13:45;26.08.2025 14:00;0,000;0,000
26.08.2025 14:00;26.08.2025 14:15;0,000;7,750
26.08.2025 14:15;26.08.2025 14:30;0,000;7,750
26.08.2025 14:30;26.08.2025 14:45;0,000;7,750
26.08.2025 14:45;26.08.2025 15:00;0,000;7,750
26.08.2025 15:00;26.08.2025 15:15;25,000;0,000
26.08.2025 15:15;26.08.2025 15:30;25,000;0,000
26.08.2025 15:30;26.08.2025 15:45;25,000;0,000
26.08.2025 15:45;26.08.2025 16:00;25,000;0,000
26.08.2025 16:00;26.08.2025 16:15;8,250;1,000
26.08.2025 16:15;26.08.2025 16:30;8,250;1,000
26.08.2025 16:30;26.08.2025 16:45;8,250;1,000
26.08.2025 16:45;26.08.2025 17:00;8,250;1,000
26.08.2025 17:00;26.08.2025 17:15;12,750;0,000
26.08.2025 17:15;26.08.2025 17:30;12,750;0,000
26.08.2025 17:30;26.08.2025 17:45;12,750;0,000
26.08.2025 17:45;26.08.2025 18:00;12,750;0,000
26.08.2025 18:00;26.08.2025 18:15;48,500;7,000
26.08.2025 18:15;26.08.2025 18:30;48,500;7,000
26.08.2025 18:30;26.08.2025 18:45;48,500;7,000
26.08.2025 18:45;26.08.2025 19:00;48,500;7,000
26.08.2025 19:00;26.08.2025 19:15;49,750;46,250
26.08.2025 19:15;26.08.2025 19:30;49,750;46,250
26.08.2025 19:30;26.08.2025 19:45;49,750;46,250
26.08.2025 19:45;26.08.2025 20:00;49,750;46,250
26.08.2025 20:00;26.08.2025 20:15;51,500;52,250
26.08.2025 20:15;26.08.2025 20:30;51,500;52,250
26.08.2025 20:30;26.08.2025 20:45;51,500;52,250
26.08.2025 20:45;26.08.2025 21:00;51,500;52,250
26.08.2025 21:00;26.08.2025 21:15;41,500;30,000
26.08.2025 21:15;26.08.2025 21:30;41,500;30,000
26.08.2025 21:30;26.08.2025 21:45;41,500;30,000
26.08.2025 21:45;26.08.2025 22:00;41,500;30,000
26.08.2025 22:00;26.08.2025 22:15;24,250;4,250
26.08.2025 22:15;26.08.2025 22:30;24,250;4,250
26.08.2025 22:30;26.08.2025 22:45;24,250;4,250
26.08.2025 22:45;26.08.2025 23:00;24,250;4,250
26.08.2025 23:00;26.08.2025 23:15;6,500;4,250
26.08.2025 23:15;26.08.2025 23:30;6,500;4,250
26.08.2025 23:30;26.08.2025 23:45;6,500;4,250
26.08.2025 23:45;27.08.2025 00:00;6,500;4,250
27.08.2025 00:00;27.08.2025 00:15;0,000;1,000
27.08.2025 00:15;27.08.2025 00:30;0,000;1,000
27.08.2025 00:30;27.08.2025 00:45;0,000;1,000
27.08.2025 00:45;27.08.2025 01:00;0,000;1,000
27.08.2025 01:00;27.08.2025 01:15;0,000;0,000
27.08.2025 01:15;27.08.2025 01:30;0,000;0,000
27.08.2025 01:30;27.08.2025 01:45;0,000;0,000
27.08.2025 01:45;27.08.2025 02:00;0,000;0,000
27.08.2025 02:00;27.08.2025 02:15;0,000;0,000
27.08.2025 02:15;27.08.2025 02:30;0,000;0,000
27.08.2025 02:30;27.08.2025 02:45;0,000;0,000
27.08.2025 02:45;27.08.2025 03:00;0,000;0,000
27.08.2025 03:00;27.08.2025 03:15;1,000;0,000
27.08.2025 03:15;27.08.2025 03:30;1,000;0,000
27.08.2025 03:30;27.08.2025 03:45;1,000;0,000
27.08.2025 03:45;27.08.2025 04:00;1,000;0,000
27.08.2025 04:00;27.08.2025 04:15;5,000;0,000
27.08.2025 04:15;27.08.2025 04:30;5,000;0,000
27.08.2025 04:30;27.08.2025 04:45;5,000;0,000
27.08.2025 04:45;27.08.2025 05:00;5,000;0,000
27.08.2025 05:00;27.08.2025 05:15;16,250;8,250
27.08.2025 05:15;27.08.2025 05:30;16,250;8,250
27.08.2025 05:30;27.08.2025 05:45;16,250;8,250
27.08.2025 05:45;27.08.2025 06:00;16,250;8,250
27.08.2025 06:00;27.08.2025 06:15;32,500;45,250
27.08.2025 06:15;27.08.2025 06:30;32,500;45,250
27.08.2025 06:30;27.08.2025 06:45;32,500;45,250
