Datum von;Datum bis;Generation_DE GT41 [MW] Berechnete Auflösungen;Generation_DE Block 20 [MW] Berechnete Auflösungen
26.08.2025 00:00;26.08.2025 00:15;-;7,000
26.08.2025 00:15;26.08.2025 00:30;-;7,000
26.08.2025 00:30;26.08.2025 00:45;-;7,000
26.08.2025 00:45;26.08.2025 01:00;-;7,000
26.08.2025 01:00;26.08.2025 01:15;-;7,000
26.08.2025 01:15;26.08.2025 01:30;-;7,000
26.08.2025 01:30;26.08.2025 01:45;-;7,000
26.08.2025 01:45;26.08.2025 02:00;-;7,000
26.08.2025 02:00;26.08.2025 02:15;-;7,000
26.08.2025 02:15;26.08.2025 02:30;-;7,000
26.08.2025 02:30;26.08.2025 02:45;-;7,000
26.08.2025 02:45;26.08.2025 03:00;-;7,000
26.08.2025 03:00;26.08.2025 03:15;-;6,750
26.08.2025 03:15;26.08.2025 03:30;-;6,750
26.08.2025 03:30;26.08.2025 03:45;-;6,750
26.08.2025 03:45;26.08.2025 04:00;-;6,750
26.08.2025 04:00;26.08.2025 04:15;-;6,750
26.08.2025 04:15;26.08.2025 04:30;-;6,750
26.08.2025 04:30;26.08.2025 04:45;-;6,750
26.08.2025 04:45;26.08.2025 05:00;-;6,750
26.08.2025 05:00;26.08.2025 05:15;-;7,500
26.08.2025 05:15;26.08.2025 05:30;-;7,500
26.08.2025 05:30;26.08.2025 05:45;-;7,500
26.08.2025 05:45;26.08.2025 06:00;-;7,500
26.08.2025 06:00;26.08.2025 06:15;-;9,750
26.08.2025 06:15;26.08.2025 06:30;-;9,750
26.08.2025 06:30;26.08.2025 06:45;-;9,750
26.08.2025 06:45;26.08.2025 07:00;-;9,750
26.08.2025 07:00;26.08.2025 07:15;-;11,250
26.08.2025 07:15;26.08.2025 07:30;-;11,250
26.08.2025 07:30;26.08.2025 07:45;-;11,250
26.08.2025 07:45;26.08.2025 08:00;-;11,250
26.08.2025 08:00;26.08.2025 08:15;-;11,500
26.08.2025 08:15;26.08.2025 08:30;-;11,500
26.08.2025 08:30;26.08.2025 08:45;-;11,500
26.08.2025 08:45;26.08.2025 09:00;-;11,500
26.08.2025 09:00;26.08.2025 09:15;-;11,250
26.08.2025 09:15;26.08.2025 09:30;-;11,250
26.08.2025 09:30;26.08.2025 09:45;-;11,250
26.08.2025 09:45;26.08.2025 10:00;-;11,250
26.08.2025 10:00;26.08.2025 10:15;-;11,250
26.08.2025 10:15;26.08.2025 10:30;-;11,250
26.08.2025 10:30;26.08.2025 10:45;-;11,250
26.08.2025 10:45;26.08.2025 11:00;-;11,250
26.08.2025 11:00;26.08.2025 11:15;-;11,250
26.08.2025 11:15;26.08.2025 11:30;-;11,250
26.08.2025 11:30;26.08.2025 11:45;-;11,250
26.08.2025 11:45;26.08.2025 12:00;-;11,250
26.08.2025 12:00;26.08.2025 12:15;-;11,000
26.08.2025 12:15;26.08.2025 12:30;-;11,000
26.08.2025 12:30;26.08.2025 12:45;-;11,000
26.08.2025 12:45;26.08.2025 13:00;-;11,000
26.08.2025 13:00;26.08.2025 13:15;-;10,750
26.08.2025 13:15;26.08.2025 13:30;-;10,750
26.08.2025 13:30;26.08.2025 13:45;-;10,750
26.08.2025 13:45;26.08.2025 14:00;-;10,750
26.08.2025 14:00;26.08.2025 14:15;-;10,500
26.08.2025 14:15;26.08.2025 14:30;-;10,500
26.08.2025 14:30;26.08.2025 14:45;-;10,500
26.08.2025 14:45;26.08.2025 15:00;-;10,500
26.08.2025 15:00;26.08.2025 15:15;-;10,750
26.08.2025 15:15;26.08.2025 15:30;-;10,750
26.08.2025 15:30;26.08.2025 15:45;-;10,750
26.08.2025 15:45;26.08.2025 16:00;-;10,750
26.08.2025 16:00;26.08.2025 16:15;-;11,000
26.08.2025 16:15;26.08.2025 16:30;-;11,000
26.08.2025 16:30;26.08.2025 16:45;-;11,000
26.08.2025 16:45;26.08.2025 17:00;-;11,000
26.08.2025 17:00;26.08.2025 17:15;-;4,750
26.08.2025 17:15;26.08.2025 17:30;-;4,750
26.08.2025 17:30;26.08.2025 17:45;-;4,750
26.08.2025 17:45;26.08.2025 18:00;-;4,750
26.08.2025 18:00;26.08.2025 18:15;-;0,000
26.08.2025 18:15;26.08.2025 18:30;-;0,000
26.08.2025 18:30;26.08.2025 18:45;-;0,000
26.08.2025 18:45;26.08.2025 19:00;-;0,000
26.08.2025 19:00;26.08.2025 19:15;-;0,000
26.08.2025 19:15;26.08.2025 19:30;-;0,000
26.08.2025 19:30;26.08.2025 19:45;-;0,000
26.08.2025 19:45;26.08.2025 20:00;-;0,000
26.08.2025 20:00;26.08.2025 20:15;-;0,000
26.08.2025 20:15;26.08.2025 20:30;-;0,000
26.08.2025 20:30;26.08.2025 20:45;-;0,000
26.08.2025 20:45;26.08.2025 21:00;-;0,000
26.08.2025 21:00;26.08.2025 21:15;-;0,000
26.08.2025 21:15;26.08.2025 21:30;-;0,000
26.08.2025 21:30;26.08.2025 21:45;-;0,000
26.08.2025 21:45;26.08.2025 22:00;-;0,000
26.08.2025 22:00;26.08.2025 22:15;-;0,000
26.08.2025 22:15;26.08.2025 22:30;-;0,000
26.08.2025 22:30;26.08.2025 22:45;-;0,000
26.08.2025 22:45;26.08.2025 23:00;-;0,000
26.08.2025 23:00;26.08.2025 23:15;-;0,000
26.08.2025 23:15;26.08.2025 23:30;-;0,000
26.08.2025 23:30;26.08.2025 23:45;-;0,000
26.08.2025 23:45;27.08.2025 00:00;-;0,000
