Datum von;Datum bis;Generation_DE Block B [MW] Berechnete Auflösungen;Generation_DE Block A [MW] Berechnete Auflösungen;Generation_DE Block C [MW] Berechnete Auflösungen;Generation_DE Block D [MW] Berechnete Auflösungen;Generation_DE Block E [MW] Berechnete Auflösungen;Generation_DE Bock F [MW] Berechnete Auflösungen
26.08.2025 00:00;26.08.2025 00:15;0,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 00:15;26.08.2025 00:30;0,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 00:30;26.08.2025 00:45;0,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 00:45;26.08.2025 01:00;0,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 01:00;26.08.2025 01:15;0,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 01:15;26.08.2025 01:30;0,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 01:30;26.08.2025 01:45;0,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 01:45;26.08.2025 02:00;0,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 02:00;26.08.2025 02:15;0,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 02:15;26.08.2025 02:30;0,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 02:30;26.08.2025 02:45;0,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 02:45;26.08.2025 03:00;0,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 03:00;26.08.2025 03:15;0,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 03:15;26.08.2025 03:30;0,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 03:30;26.08.2025 03:45;0,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 03:45;26.08.2025 04:00;0,000;0,000;0,000;0,000;0,000;0,000
26.08.2025 04:00;26.08.2025 04:15;27,500;0,000;0,000;0,000;0,000;0,000
26.08.2025 04:15;26.08.2025 04:30;27,500;0,000;0,000;0,000;0,000;0,000
26.08.2025 04:30;26.08.2025 04:45;27,500;0,000;0,000;0,000;0,000;0,000
26.08.2025 04:45;26.08.2025 05:00;27,500;0,000;0,000;0,000;0,000;0,000
26.08.2025 05:00;26.08.2025 05:15;28,250;0,000;0,000;0,000;0,000;0,000
26.08.2025 05:15;26.08.2025 05:30;28,250;0,000;0,000;0,000;0,000;0,000
26.08.2025 05:30;26.08.2025 05:45;28,250;0,000;0,000;0,000;0,000;0,000
26.08.2025 05:45;26.08.2025 06:00;28,250;0,000;0,000;0,000;0,000;0,000
26.08.2025 06:00;26.08.2025 06:15;29,750;0,000;0,000;25,250;0,000;15,750
26.08.2025 06:15;26.08.2025 06:30;29,750;0,000;0,000;25,250;0,000;15,750
26.08.2025 06:30;26.08.2025 06:45;29,750;0,000;0,000;25,250;0,000;15,750
26.08.2025 06:45;26.08.2025 07:00;29,750;0,000;0,000;25,250;0,000;15,750
26.08.2025 07:00;26.08.2025 07:15;27,250;0,000;0,000;31,750;0,000;25,250
26.08.2025 07:15;26.08.2025 07:30;27,250;0,000;0,000;31,750;0,000;25,250
26.08.2025 07:30;26.08.2025 07:45;27,250;0,000;0,000;31,750;0,000;25,250
26.08.2025 07:45;26.08.2025 08:00;27,250;0,000;0,000;31,750;0,000;25,250
26.08.2025 08:00;26.08.2025 08:15;20,250;0,000;0,000;8,750;0,000;0,000
