Datum von;Datum bis;Generation_DE A9 [MW] Berechnete Auflösungen;Generation_DE A10 [MW] Berechnete Auflösungen;Generation_DE B9 [MW] Berechnete Auflösungen;Generation_DE B10 [MW] Berechnete Auflösungen
26.08.2025 00:00;26.08.2025 00:15;17,000;-;-;-
26.08.2025 00:15;26.08.2025 00:30;17,000;-;-;-
26.08.2025 00:30;26.08.2025 00:45;17,000;-;-;-
26.08.2025 00:45;26.08.2025 01:00;17,000;-;-;-
26.08.2025 01:00;26.08.2025 01:15;0,000;-;-;-
26.08.2025 01:15;26.08.2025 01:30;0,000;-;-;-
26.08.2025 01:30;26.08.2025 01:45;0,000;-;-;-
26.08.2025 01:45;26.08.2025 02:00;0,000;-;-;-
26.08.2025 02:00;26.08.2025 02:15;0,000;-;-;-
26.08.2025 02:15;26.08.2025 02:30;0,000;-;-;-
26.08.2025 02:30;26.08.2025 02:45;0,000;-;-;-
26.08.2025 02:45;26.08.2025 03:00;0,000;-;-;-
26.08.2025 03:00;26.08.2025 03:15;0,000;-;-;-
26.08.2025 03:15;26.08.2025 03:30;0,000;-;-;-
26.08.2025 03:30;26.08.2025 03:45;0,000;-;-;-
26.08.2025 03:45;26.08.2025 04:00;0,000;-;-;-
26.08.2025 04:00;26.08.2025 04:15;0,000;-;-;-
26.08.2025 04:15;26.08.2025 04:30;0,000;-;-;-
26.08.2025 04:30;26.08.2025 04:45;0,000;-;-;-
26.08.2025 04:45;26.08.2025 05:00;0,000;-;-;-
26.08.2025 05:00;26.08.2025 05:15;8,500;-;-;-
26.08.2025 05:15;26.08.2025 05:30;8,500;-;-;-
26.08.2025 05:30;26.08.2025 05:45;8,500;-;-;-
26.08.2025 05:45;26.08.2025 06:00;8,500;-;-;-
26.08.2025 06:00;26.08.2025 06:15;106,500;-;-;-
26.08.2025 06:15;26.08.2025 06:30;106,500;-;-;-
26.08.2025 06:30;26.08.2025 06:45;106,500;-;-;-
26.08.2025 06:45;26.08.2025 07:00;106,500;-;-;-
26.08.2025 07:00;26.08.2025 07:15;73,750;-;-;-
26.08.2025 07:15;26.08.2025 07:30;73,750;-;-;-
26.08.2025 07:30;26.08.2025 07:45;73,750;-;-;-
26.08.2025 07:45;26.08.2025 08:00;73,750;-;-;-
26.08.2025 08:00;26.08.2025 08:15;5,000;-;-;-
26.08.2025 08:15;26.08.2025 08:30;5,000;-;-;-
26.08.2025 08:30;26.08.2025 08:45;5,000;-;-;-
26.08.2025 08:45;26.08.2025 09:00;5,000;-;-;-
26.08.2025 09:00;26.08.2025 09:15;1,500;-;-;-
26.08.2025 09:15;26.08.2025 09:30;1,500;-;-;-
26.08.2025 09:30;26.08.2025 09:45;1,500;-;-;-
26.08.2025 09:45;26.08.2025 10:00;1,500;-;-;-
26.08.2025 10:00;26.08.2025 10:15;0,000;-;-;-
26.08.2025 10:15;26.08.2025 10:30;0,000;-;-;-
26.08.2025 10:30;26.08.2025 10:45;0,000;-;-;-
26.08.2025 10:45;26.08.2025 11:00;0,000;-;-;-
26.08.2025 11:00;26.08.2025 11:15;0,000;-;-;-
26.08.2025 11:15;26.08.2025 11:30;0,000;-;-;-
26.08.2025 11:30;26.08.2025 11:45;0,000;-;-;-
26.08.2025 11:45;26.08.2025 12:00;0,000;-;-;-
26.08.2025 12:00;26.08.2025 12:15;0,000;-;-;-
26.08.2025 12:15;26.08.2025 12:30;0,000;-;-;-
26.08.2025 12:30;26.08.2025 12:45;0,000;-;-;-
26.08.2025 12:45;26.08.2025 13:00;0,000;-;-;-
26.08.2025 13:00;26.08.2025 13:15;0,000;-;-;-
26.08.2025 13:15;26.08.2025 13:30;0,000;-;-;-
26.08.2025 13:30;26.08.2025 13:45;0,000;-;-;-
26.08.2025 13:45;26.08.2025 14:00;0,000;-;-;-
26.08.2025 14:00;26.08.2025 14:15;0,000;-;-;-
26.08.2025 14:15;26.08.2025 14:30;0,000;-;-;-
26.08.2025 14:30;26.08.2025 14:45;0,000;-;-;-
26.08.2025 14:45;26.08.2025 15:00;0,000;-;-;-
26.08.2025 15:00;26.08.2025 15:15;0,000;-;-;-
26.08.2025 15:15;26.08.2025 15:30;0,000;-;-;-
26.08.2025 15:30;26.08.2025 15:45;0,000;-;-;-
26.08.2025 15:45;26.08.2025 16:00;0,000;-;-;-
26.08.2025 16:00;26.08.2025 16:15;8,500;-;-;-
26.08.2025 16:15;26.08.2025 16:30;8,500;-;-;-
26.08.2025 16:30;26.08.2025 16:45;8,500;-;-;-
26.08.2025 16:45;26.08.2025 17:00;8,500;-;-;-
26.08.2025 17:00;26.08.2025 17:15;56,000;-;-;-
26.08.2025 17:15;26.08.2025 17:30;56,000;-;-;-
26.08.2025 17:30;26.08.2025 17:45;56,000;-;-;-
26.08.2025 17:45;26.08.2025 18:00;56,000;-;-;-
26.08.2025 18:00;26.08.2025 18:15;109,000;-;-;-
26.08.2025 18:15;26.08.2025 18:30;109,000;-;-;-
26.08.2025 18:30;26.08.2025 18:45;109,000;-;-;-
26.08.2025 18:45;26.08.2025 19:00;109,000;-;-;-
26.08.2025 19:00;26.08.2025 19:15;112,750;-;-;-
26.08.2025 19:15;26.08.2025 19:30;112,750;-;-;-
26.08.2025 19:30;26.08.2025 19:45;112,750;-;-;-
26.08.2025 19:45;26.08.2025 20:00;112,750;-;-;-
26.08.2025 20:00;26.08.2025 20:15;111,500;-;-;-
26.08.2025 20:15;26.08.2025 20:30;111,500;-;-;-
26.08.2025 20:30;26.08.2025 20:45;111,500;-;-;-
26.08.2025 20:45;26.08.2025 21:00;111,500;-;-;-
26.08.2025 21:00;26.08.2025 21:15;74,500;-;-;-
26.08.2025 21:15;26.08.2025 21:30;74,500;-;-;-
26.08.2025 21:30;26.08.2025 21:45;74,500;-;-;-
26.08.2025 21:45;26.08.2025 22:00;74,500;-;-;-
26.08.2025 22:00;26.08.2025 22:15;0,000;-;-;-
26.08.2025 22:15;26.08.2025 22:30;0,000;-;-;-
26.08.2025 22:30;26.08.2025 22:45;0,000;-;-;-
26.08.2025 22:45;26.08.2025 23:00;0,000;-;-;-
26.08.2025 23:00;26.08.2025 23:15;0,000;-;-;-
26.08.2025 23:15;26.08.2025 23:30;0,000;-;-;-
26.08.2025 23:30;26.08.2025 23:45;0,000;-;-;-
26.08.2025 23:45;27.08.2025 00:00;0,000;-;-;-
27.08.2025 00:00;27.08.2025 00:15;0,000;-;-;-
27.08.2025 00:15;27.08.2025 00:30;0,000;-;-;-
27.08.2025 00:30;27.08.2025 00:45;0,000;-;-;-
27.08.2025 00:45;27.08.2025 01:00;0,000;-;-;-
