datetime,lignite_generation,hard_coal_generation,fossil_gas_generation,other_conventional_generation,total_generation,lignite_emissions,hard_coal_emissions,fossil_gas_emissions,other_conventional_emission,total_emissions
2023-12-23 23:00:00+00:00,330.5,121.0,291.5,175.75,918.75,363.45,91.16,193.0,211.14,858.75
2023-12-23 23:15:00+00:00,330.5,121.0,282.5,169.25,903.25,363.45,91.16,187.04,203.33,844.98
2023-12-23 23:30:00+00:00,329.5,120.5,282.25,169.5,901.75,362.35,90.78,186.87,203.63,843.63
2023-12-23 23:45:00+00:00,329.75,120.75,287.0,173.75,911.25,362.63,90.97,190.02,208.74,852.36
2023-12-24 00:00:00+00:00,329.0,117.25,288.25,175.25,909.75,364.66,89.78,189.7,208.66,852.8
2023-12-24 00:15:00+00:00,328.5,117.0,288.0,174.0,907.5,364.1,89.59,189.54,207.18,850.41
2023-12-24 00:30:00+00:00,328.25,117.5,290.25,177.5,913.5,363.83,89.98,191.02,211.34,856.17
2023-12-24 00:45:00+00:00,328.0,119.75,294.25,178.75,920.75,363.55,91.7,193.65,212.83,861.73
2023-12-24 01:00:00+00:00,327.25,117.5,286.75,171.75,903.25,363.86,94.8,192.55,204.58,855.79
2023-12-24 01:15:00+00:00,328.5,117.25,279.75,166.25,891.75,365.25,94.6,187.85,198.03,845.73
2023-12-24 01:30:00+00:00,328.0,117.75,284.5,167.0,897.25,364.69,95.0,191.04,198.92,849.65
2023-12-24 01:45:00+00:00,329.75,117.25,288.25,169.5,904.75,366.64,94.6,193.55,201.9,856.69
2023-12-24 02:00:00+00:00,327.5,118.25,289.0,172.25,907.0,365.3,94.22,193.19,204.51,857.22
2023-12-24 02:15:00+00:00,328.25,117.75,291.25,173.75,911.0,366.14,93.83,194.7,206.29,860.96
2023-12-24 02:30:00+00:00,329.0,118.25,289.0,173.25,909.5,366.98,94.22,193.19,205.7,860.09
2023-12-24 02:45:00+00:00,328.5,118.0,291.0,178.0,915.5,366.42,94.02,194.53,211.34,866.31
2023-12-24 03:00:00+00:00,328.25,117.5,293.0,179.0,917.75,365.9,91.28,194.14,210.27,861.59
2023-12-24 03:15:00+00:00,329.25,117.25,294.0,179.0,919.5,367.01,91.08,194.8,210.27,863.16
2023-12-24 03:30:00+00:00,328.0,116.75,293.75,179.75,918.25,365.62,90.7,194.63,211.16,862.11
2023-12-24 03:45:00+00:00,328.25,120.25,293.25,180.0,921.75,365.9,93.41,194.3,211.45,865.06
2023-12-24 04:00:00+00:00,330.0,121.0,294.0,177.75,922.75,365.53,90.68,192.79,206.26,855.26
2023-12-24 04:15:00+00:00,327.5,120.75,295.0,179.25,922.5,362.76,90.49,193.44,208.0,854.69
2023-12-24 04:30:00+00:00,328.75,121.25,296.0,183.5,929.5,364.15,90.86,194.1,212.93,862.04
2023-12-24 04:45:00+00:00,328.25,121.5,297.5,185.75,933.0,363.59,91.05,195.08,215.54,865.26
2023-12-24 05:00:00+00:00,329.0,118.75,297.5,185.25,930.5,364.34,91.54,196.22,217.59,869.69
2023-12-24 05:15:00+00:00,329.75,118.25,293.0,181.25,922.25,365.17,91.15,193.25,212.89,862.46
2023-12-24 05:30:00+00:00,329.75,118.5,287.75,175.5,911.5,365.17,91.35,189.79,206.14,852.45
2023-12-24 05:45:00+00:00,329.5,118.0,283.75,172.5,903.75,364.89,90.96,187.15,202.61,845.61
2023-12-24 06:00:00+00:00,329.5,123.75,284.25,172.75,910.25,365.98,95.73,187.89,206.25,855.85
2023-12-24 06:15:00+00:00,328.0,123.25,286.0,171.75,909.0,364.32,95.34,189.05,205.06,853.77
2023-12-24 06:30:00+00:00,328.5,123.0,288.0,175.0,914.5,364.87,95.15,190.37,208.94,859.33
2023-12-24 06:45:00+00:00,329.75,123.0,286.25,173.75,912.75,366.26,95.15,189.21,207.44,858.06
2023-12-24 07:00:00+00:00,329.0,123.75,282.5,173.75,909.0,366.47,99.48,186.44,207.32,859.71
2023-12-24 07:15:00+00:00,329.0,123.0,285.75,175.25,913.0,366.47,98.88,188.59,209.11,863.05
2023-12-24 07:30:00+00:00,328.75,122.75,288.25,177.0,916.75,366.19,98.68,190.24,211.19,866.3
2023-12-24 07:45:00+00:00,328.25,123.0,283.5,175.75,910.5,365.64,98.88,187.1,209.7,861.32
2023-12-24 08:00:00+00:00,329.25,124.5,283.25,175.5,912.5,364.8,103.57,185.25,208.77,862.39
2023-12-24 08:15:00+00:00,329.5,123.0,284.0,175.5,912.0,365.07,102.32,185.74,208.77,861.9
2023-12-24 08:30:00+00:00,329.5,122.75,280.0,171.0,903.25,365.07,102.12,183.12,203.42,853.73
2023-12-24 08:45:00+00:00,327.5,123.0,279.75,169.5,899.75,362.86,102.32,182.96,201.63,849.77
2023-12-24 09:00:00+00:00,328.25,126.0,270.75,163.0,888.0,366.49,102.79,182.7,202.16,854.14
2023-12-24 09:15:00+00:00,327.75,126.0,255.75,149.5,859.0,365.93,102.79,172.58,185.42,826.72
2023-12-24 09:30:00+00:00,328.25,126.0,258.75,150.0,863.0,366.49,102.79,174.61,186.04,829.93
2023-12-24 09:45:00+00:00,327.75,125.75,259.75,154.5,867.75,365.93,102.59,175.28,191.62,835.42
2023-12-24 10:00:00+00:00,328.75,128.25,254.25,150.25,861.5,365.66,100.95,172.88,186.17,825.66
2023-12-24 10:15:00+00:00,327.5,128.25,259.25,150.0,865.0,364.27,100.95,176.28,185.86,827.36
2023-12-24 10:30:00+00:00,328.25,128.0,264.25,156.75,877.25,365.1,100.75,179.68,194.23,839.76
2023-12-24 10:45:00+00:00,328.75,128.25,263.5,157.0,877.5,365.66,100.95,179.17,194.54,840.32
2023-12-24 11:00:00+00:00,327.5,129.0,270.75,162.0,889.25,363.71,99.44,181.44,199.96,844.55
2023-12-24 11:15:00+00:00,326.75,128.25,270.75,163.5,889.25,362.88,98.86,181.44,201.82,845.0
2023-12-24 11:30:00+00:00,328.5,127.5,271.5,157.5,885.0,364.82,98.28,181.94,194.41,839.45
2023-12-24 11:45:00+00:00,328.5,128.25,265.25,150.0,872.0,364.82,98.86,177.75,185.15,826.58
2023-12-24 12:00:00+00:00,328.25,128.0,265.5,144.75,866.5,363.88,98.29,179.79,179.42,821.38
2023-12-24 12:15:00+00:00,327.0,128.0,269.25,147.5,871.75,362.49,98.29,182.32,182.83,825.93
2023-12-24 12:30:00+00:00,322.75,127.75,276.0,157.25,883.75,357.78,98.09,186.9,194.92,837.69
2023-12-24 12:45:00+00:00,322.0,126.0,280.25,161.0,889.25,356.95,96.75,189.77,199.57,843.04
2023-12-24 13:00:00+00:00,323.5,125.75,274.0,161.0,884.25,358.69,97.97,185.72,195.85,838.23
2023-12-24 13:15:00+00:00,323.25,126.75,272.5,160.25,882.75,358.41,98.75,184.7,194.94,836.8
2023-12-24 13:30:00+00:00,323.0,126.0,271.5,157.25,877.75,358.13,98.16,184.02,191.29,831.6
2023-12-24 13:45:00+00:00,324.25,125.25,271.25,158.0,878.75,359.52,97.58,183.85,192.2,833.15
2023-12-24 14:00:00+00:00,323.5,125.5,271.5,156.75,877.25,358.21,97.17,184.09,192.3,831.77
2023-12-24 14:15:00+00:00,322.5,125.0,273.75,157.75,879.0,357.1,96.78,185.61,193.53,833.02
2023-12-24 14:30:00+00:00,321.75,123.75,277.0,162.25,884.75,356.27,95.81,187.82,199.05,838.95
2023-12-24 14:45:00+00:00,322.25,124.75,269.0,161.25,877.25,356.82,96.59,182.39,197.82,833.62
2023-12-24 15:00:00+00:00,320.25,124.25,270.25,165.5,880.25,355.99,92.93,181.49,194.2,824.61
2023-12-24 15:15:00+00:00,321.25,120.75,277.5,174.0,893.5,357.11,90.31,186.36,204.17,837.95
2023-12-24 15:30:00+00:00,321.0,122.75,283.0,177.5,904.25,356.83,91.81,190.05,208.28,846.97
2023-12-24 15:45:00+00:00,319.25,127.25,272.5,167.0,886.0,354.88,95.17,183.0,195.96,829.01
2023-12-24 16:00:00+00:00,320.75,135.0,271.75,165.5,893.0,357.52,97.97,182.18,201.52,839.19
2023-12-24 16:15:00+00:00,321.0,122.25,271.5,164.25,879.0,357.8,88.72,182.01,200.0,828.53
2023-12-24 16:30:00+00:00,320.75,94.5,269.75,160.5,845.5,357.52,68.58,180.84,195.43,802.37
2023-12-24 16:45:00+00:00,320.25,95.25,270.5,157.5,843.5,356.97,69.12,181.34,191.78,799.21
2023-12-24 17:00:00+00:00,320.75,94.0,269.0,157.25,841.0,356.84,72.11,183.15,195.9,808.0
2023-12-24 17:15:00+00:00,320.75,94.25,266.5,154.5,836.0,356.84,72.3,181.45,192.47,803.06
2023-12-24 17:30:00+00:00,321.25,94.25,269.75,153.25,838.5,357.4,72.3,183.67,190.92,804.29
2023-12-24 17:45:00+00:00,321.5,94.25,260.5,150.5,826.75,357.67,72.3,177.37,187.49,794.83
2023-12-24 18:00:00+00:00,320.75,91.0,268.25,152.5,832.5,356.81,69.04,180.16,187.66,793.67
2023-12-24 18:15:00+00:00,320.25,91.0,277.75,154.5,843.5,356.26,69.04,186.54,190.13,801.97
2023-12-24 18:30:00+00:00,322.25,91.0,279.5,162.5,855.25,358.48,69.04,187.71,199.97,815.2
2023-12-24 18:45:00+00:00,321.0,91.0,289.25,173.0,874.25,357.09,69.04,194.26,212.89,833.28
