datetime,lignite_generation,hard_coal_generation,fossil_gas_generation,other_conventional_generation,total_generation,lignite_emissions,hard_coal_emissions,fossil_gas_emissions,other_conventional_emission,total_emissions
2023-12-23 23:00:00+00:00,0.0,81.75,150.25,77.75,309.75,0.0,61.59,99.48,93.41,254.48
2023-12-23 23:15:00+00:00,0.0,82.0,140.75,77.75,300.5,0.0,61.78,93.19,93.41,248.38
2023-12-23 23:30:00+00:00,0.0,82.0,141.0,77.75,300.75,0.0,61.78,93.35,93.41,248.54
2023-12-23 23:45:00+00:00,0.0,82.25,141.0,77.75,301.0,0.0,61.97,93.35,93.41,248.73
2023-12-24 00:00:00+00:00,0.0,80.75,141.0,77.75,299.5,0.0,61.83,92.79,92.57,247.19
2023-12-24 00:15:00+00:00,0.0,80.75,141.0,77.75,299.5,0.0,61.83,92.79,92.57,247.19
2023-12-24 00:30:00+00:00,0.0,80.75,141.0,77.75,299.5,0.0,61.83,92.79,92.57,247.19
2023-12-24 00:45:00+00:00,0.0,80.75,141.0,77.75,299.5,0.0,61.83,92.79,92.57,247.19
2023-12-24 01:00:00+00:00,0.0,80.75,141.0,78.0,299.75,0.0,65.15,94.68,92.91,252.74
2023-12-24 01:15:00+00:00,0.0,80.75,141.0,78.0,299.75,0.0,65.15,94.68,92.91,252.74
2023-12-24 01:30:00+00:00,0.0,80.75,141.25,78.0,300.0,0.0,65.15,94.85,92.91,252.91
2023-12-24 01:45:00+00:00,0.0,80.75,141.0,78.0,299.75,0.0,65.15,94.68,92.91,252.74
2023-12-24 02:00:00+00:00,0.0,83.0,141.0,71.75,295.75,0.0,66.14,94.26,85.19,245.59
2023-12-24 02:15:00+00:00,0.0,89.25,141.0,71.75,302.0,0.0,71.12,94.26,85.19,250.57
2023-12-24 02:30:00+00:00,0.0,95.0,141.0,71.75,307.75,0.0,75.7,94.26,85.19,255.15
2023-12-24 02:45:00+00:00,0.0,100.0,141.0,71.75,312.75,0.0,79.68,94.26,85.19,259.13
2023-12-24 03:00:00+00:00,0.0,102.75,144.75,71.25,318.75,0.0,79.82,95.91,83.7,259.43
2023-12-24 03:15:00+00:00,0.0,103.0,146.5,71.25,320.75,0.0,80.01,97.07,83.7,260.78
2023-12-24 03:30:00+00:00,0.0,103.25,146.5,71.25,321.0,0.0,80.21,97.07,83.7,260.98
2023-12-24 03:45:00+00:00,0.0,103.75,146.25,71.25,321.25,0.0,80.6,96.9,83.7,261.2
2023-12-24 04:00:00+00:00,0.0,100.75,148.0,70.25,319.0,0.0,75.5,97.05,81.52,254.07
2023-12-24 04:15:00+00:00,0.0,101.0,148.0,70.25,319.25,0.0,75.69,97.05,81.52,254.26
2023-12-24 04:30:00+00:00,0.0,101.25,148.0,70.25,319.5,0.0,75.88,97.05,81.52,254.45
2023-12-24 04:45:00+00:00,0.0,101.5,148.0,70.25,319.75,0.0,76.06,97.05,81.52,254.63
2023-12-24 05:00:00+00:00,0.0,100.0,149.0,69.75,318.75,0.0,77.09,98.27,81.93,257.29
2023-12-24 05:15:00+00:00,0.0,95.5,149.0,69.75,314.25,0.0,73.62,98.27,81.93,253.82
2023-12-24 05:30:00+00:00,0.0,91.25,149.0,69.75,310.0,0.0,70.34,98.27,81.93,250.54
2023-12-24 05:45:00+00:00,0.0,85.25,149.0,69.75,304.0,0.0,65.72,98.27,81.93,245.92
2023-12-24 06:00:00+00:00,0.0,83.0,149.0,69.75,301.75,0.0,64.2,98.49,83.28,245.97
2023-12-24 06:15:00+00:00,0.0,81.0,149.0,69.75,299.75,0.0,62.66,98.49,83.28,244.43
2023-12-24 06:30:00+00:00,0.0,78.0,148.75,69.75,296.5,0.0,60.34,98.33,83.28,241.95
2023-12-24 06:45:00+00:00,0.0,75.25,148.75,69.75,293.75,0.0,58.21,98.33,83.28,239.82
2023-12-24 07:00:00+00:00,0.0,75.25,149.0,69.5,293.75,0.0,60.49,98.33,82.93,241.75
2023-12-24 07:15:00+00:00,0.0,75.5,149.0,69.5,294.0,0.0,60.69,98.33,82.93,241.95
2023-12-24 07:30:00+00:00,0.0,75.75,149.0,69.5,294.25,0.0,60.89,98.33,82.93,242.15
2023-12-24 07:45:00+00:00,0.0,76.0,149.0,69.5,294.5,0.0,61.1,98.33,82.93,242.36
2023-12-24 08:00:00+00:00,0.0,76.0,147.25,69.5,292.75,0.0,63.22,96.3,82.68,242.2
2023-12-24 08:15:00+00:00,0.0,76.0,147.25,69.5,292.75,0.0,63.22,96.3,82.68,242.2
2023-12-24 08:30:00+00:00,0.0,75.75,147.25,69.5,292.5,0.0,63.02,96.3,82.68,242.0
2023-12-24 08:45:00+00:00,0.0,75.5,147.25,69.5,292.25,0.0,62.81,96.3,82.68,241.79
2023-12-24 09:00:00+00:00,0.0,75.75,147.5,70.75,294.0,0.0,61.8,99.53,87.75,249.08
2023-12-24 09:15:00+00:00,0.0,75.0,147.5,70.75,293.25,0.0,61.18,99.53,87.75,248.46
2023-12-24 09:30:00+00:00,0.0,74.25,147.25,70.75,292.25,0.0,60.57,99.37,87.75,247.69
2023-12-24 09:45:00+00:00,0.0,73.5,147.25,70.75,291.5,0.0,59.96,99.37,87.75,247.08
2023-12-24 10:00:00+00:00,0.0,74.75,146.75,70.75,292.25,0.0,58.84,99.79,87.67,246.3
2023-12-24 10:15:00+00:00,0.0,74.75,146.75,70.75,292.25,0.0,58.84,99.79,87.67,246.3
2023-12-24 10:30:00+00:00,0.0,74.75,146.75,70.75,292.25,0.0,58.84,99.79,87.67,246.3
2023-12-24 10:45:00+00:00,0.0,74.75,146.75,70.75,292.25,0.0,58.84,99.79,87.67,246.3
2023-12-24 11:00:00+00:00,0.0,74.75,146.75,71.0,292.5,0.0,57.62,98.34,87.64,243.6
2023-12-24 11:15:00+00:00,0.0,74.5,146.75,71.0,292.25,0.0,57.43,98.34,87.64,243.41
2023-12-24 11:30:00+00:00,0.0,74.25,146.75,71.0,292.0,0.0,57.24,98.34,87.64,243.22
2023-12-24 11:45:00+00:00,0.0,74.0,146.75,71.0,291.75,0.0,57.04,98.34,87.64,243.02
2023-12-24 12:00:00+00:00,0.0,74.0,146.5,71.25,291.75,0.0,56.82,99.2,88.32,244.34
2023-12-24 12:15:00+00:00,0.0,73.75,146.5,71.25,291.5,0.0,56.63,99.2,88.32,244.15
2023-12-24 12:30:00+00:00,0.0,73.5,146.5,71.25,291.25,0.0,56.44,99.2,88.32,243.96
2023-12-24 12:45:00+00:00,0.0,73.25,146.5,71.25,291.0,0.0,56.25,99.2,88.32,243.77
2023-12-24 13:00:00+00:00,0.0,73.25,146.5,71.0,290.75,0.0,57.07,99.3,86.37,242.74
2023-12-24 13:15:00+00:00,0.0,73.25,146.5,71.0,290.75,0.0,57.07,99.3,86.37,242.74
2023-12-24 13:30:00+00:00,0.0,73.0,146.75,71.0,290.75,0.0,56.87,99.47,86.37,242.71
2023-12-24 13:45:00+00:00,0.0,72.75,146.75,71.0,290.5,0.0,56.68,99.47,86.37,242.52
2023-12-24 14:00:00+00:00,0.0,74.0,146.75,71.0,291.75,0.0,57.29,99.5,87.1,243.89
2023-12-24 14:15:00+00:00,0.0,73.75,146.75,71.0,291.5,0.0,57.1,99.5,87.1,243.7
2023-12-24 14:30:00+00:00,0.0,73.5,148.25,71.0,292.75,0.0,56.91,100.52,87.1,244.53
2023-12-24 14:45:00+00:00,0.0,73.0,148.25,71.0,292.25,0.0,56.52,100.52,87.1,244.14
2023-12-24 15:00:00+00:00,0.0,74.0,148.25,71.0,293.25,0.0,55.35,99.56,83.31,238.22
2023-12-24 15:15:00+00:00,0.0,73.75,148.25,71.0,293.0,0.0,55.16,99.56,83.31,238.03
2023-12-24 15:30:00+00:00,0.0,73.5,148.25,71.0,292.75,0.0,54.97,99.56,83.31,237.84
