datetime,total_generation,total_emissions
2023-12-23 23:00:00+00:00,918.75,858.75
2023-12-23 23:15:00+00:00,903.25,844.98
2023-12-23 23:30:00+00:00,901.75,843.63
2023-12-23 23:45:00+00:00,911.25,852.36
2023-12-24 00:00:00+00:00,909.75,852.8
2023-12-24 00:15:00+00:00,907.5,850.41
2023-12-24 00:30:00+00:00,913.5,856.17
2023-12-24 00:45:00+00:00,920.75,861.73
2023-12-24 01:00:00+00:00,903.25,855.79
2023-12-24 01:15:00+00:00,891.75,845.73
2023-12-24 01:30:00+00:00,897.25,849.65
2023-12-24 01:45:00+00:00,904.75,856.69
2023-12-24 02:00:00+00:00,907.0,857.22
2023-12-24 02:15:00+00:00,911.0,860.96
2023-12-24 02:30:00+00:00,909.5,860.09
2023-12-24 02:45:00+00:00,915.5,866.31
2023-12-24 03:00:00+00:00,917.75,861.59
2023-12-24 03:15:00+00:00,919.5,863.16
2023-12-24 03:30:00+00:00,918.25,862.11
2023-12-24 03:45:00+00:00,921.75,865.06
2023-12-24 04:00:00+00:00,922.75,855.26
2023-12-24 04:15:00+00:00,922.5,854.69
2023-12-24 04:30:00+00:00,929.5,862.04
2023-12-24 04:45:00+00:00,933.0,865.26
2023-12-24 05:00:00+00:00,930.5,869.69
2023-12-24 05:15:00+00:00,922.25,862.46
2023-12-24 05:30:00+00:00,911.5,852.45
2023-12-24 05:45:00+00:00,903.75,845.61
2023-12-24 06:00:00+00:00,910.25,855.85
2023-12-24 06:15:00+00:00,909.0,853.77
2023-12-24 06:30:00+00:00,914.5,859.33
2023-12-24 06:45:00+00:00,912.75,858.06
2023-12-24 07:00:00+00:00,909.0,859.71
2023-12-24 07:15:00+00:00,913.0,863.05
2023-12-24 07:30:00+00:00,916.75,866.3
2023-12-24 07:45:00+00:00,910.5,861.32
2023-12-24 08:00:00+00:00,912.5,862.39
2023-12-24 08:15:00+00:00,912.0,861.9
2023-12-24 08:30:00+00:00,903.25,853.73
2023-12-24 08:45:00+00:00,899.75,849.77
2023-12-24 09:00:00+00:00,888.0,854.14
2023-12-24 09:15:00+00:00,859.0,826.72
2023-12-24 09:30:00+00:00,863.0,829.93
2023-12-24 09:45:00+00:00,867.75,835.42
2023-12-24 10:00:00+00:00,861.5,825.66
2023-12-24 10:15:00+00:00,865.0,827.36
2023-12-24 10:30:00+00:00,877.25,839.76
2023-12-24 10:45:00+00:00,877.5,840.32
2023-12-24 11:00:00+00:00,889.25,844.55
2023-12-24 11:15:00+00:00,889.25,845.0
2023-12-24 11:30:00+00:00,885.0,839.45
2023-12-24 11:45:00+00:00,872.0,826.58
2023-12-24 12:00:00+00:00,866.5,821.38
2023-12-24 12:15:00+00:00,871.75,825.93
2023-12-24 12:30:00+00:00,883.75,837.69
2023-12-24 12:45:00+00:00,889.25,843.04
2023-12-24 13:00:00+00:00,884.25,838.23
2023-12-24 13:15:00+00:00,882.75,836.8
2023-12-24 13:30:00+00:00,877.75,831.6
2023-12-24 13:45:00+00:00,878.75,833.15
2023-12-24 14:00:00+00:00,877.25,831.77
2023-12-24 14:15:00+00:00,879.0,833.02
2023-12-24 14:30:00+00:00,884.75,838.95
2023-12-24 14:45:00+00:00,877.25,833.62
2023-12-24 15:00:00+00:00,880.25,824.61
2023-12-24 15:15:00+00:00,893.5,837.95
2023-12-24 15:30:00+00:00,904.25,846.97
2023-12-24 15:45:00+00:00,886.0,829.01
2023-12-24 16:00:00+00:00,893.0,839.19
2023-12-24 16:15:00+00:00,879.0,828.53
2023-12-24 16:30:00+00:00,845.5,802.37
2023-12-24 16:45:00+00:00,843.5,799.21
2023-12-24 17:00:00+00:00,841.0,808.0
2023-12-24 17:15:00+00:00,836.0,803.06
2023-12-24 17:30:00+00:00,838.5,804.29
2023-12-24 17:45:00+00:00,826.75,794.83
2023-12-24 18:00:00+00:00,832.5,793.67
2023-12-24 18:15:00+00:00,843.5,801.97
2023-12-24 18:30:00+00:00,855.25,815.2
2023-12-24 18:45:00+00:00,874.25,833.28
2023-12-24 19:00:00+00:00,860.25,819.51
2023-12-24 19:15:00+00:00,855.25,815.15
2023-12-24 19:30:00+00:00,867.75,825.64
2023-12-24 19:45:00+00:00,855.5,815.52
2023-12-24 20:00:00+00:00,856.0,813.79
2023-12-24 20:15:00+00:00,857.5,814.35
2023-12-24 20:30:00+00:00,848.75,807.37
2023-12-24 20:45:00+00:00,849.25,807.46
2023-12-24 21:00:00+00:00,846.75,801.85
2023-12-24 21:15:00+00:00,848.75,804.52
2023-12-24 21:30:00+00:00,863.25,817.49
2023-12-24 21:45:00+00:00,862.25,817.12
2023-12-24 22:00:00+00:00,845.25,797.36
2023-12-24 22:15:00+00:00,854.0,804.22
2023-12-24 22:30:00+00:00,847.0,798.23
2023-12-24 22:45:00+00:00,835.25,787.35
2023-12-24 23:00:00+00:00,845.25,796.61
2023-12-24 23:15:00+00:00,841.5,793.87
2023-12-24 23:30:00+00:00,843.25,795.05
2023-12-24 23:45:00+00:00,844.25,795.5
2023-12-25 00:00:00+00:00,842.0,793.29
2023-12-25 00:15:00+00:00,845.25,795.79
2023-12-25 00:30:00+00:00,844.0,794.95
2023-12-25 00:45:00+00:00,843.0,794.08
2023-12-25 01:00:00+00:00,837.0,794.79
2023-12-25 01:15:00+00:00,833.5,792.09
2023-12-25 01:30:00+00:00,839.25,796.09
2023-12-25 01:45:00+00:00,840.75,797.43
2023-12-25 02:00:00+00:00,840.5,794.45
2023-12-25 02:15:00+00:00,839.75,793.61
2023-12-25 02:30:00+00:00,841.5,794.92
2023-12-25 02:45:00+00:00,842.25,794.98
2023-12-25 03:00:00+00:00,838.75,794.55
2023-12-25 03:15:00+00:00,836.5,793.02
2023-12-25 03:30:00+00:00,840.75,796.12
2023-12-25 03:45:00+00:00,838.5,794.48
2023-12-25 04:00:00+00:00,848.75,804.6
2023-12-25 04:15:00+00:00,851.75,806.58
2023-12-25 04:30:00+00:00,848.75,804.44
2023-12-25 04:45:00+00:00,851.0,806.76
2023-12-25 05:00:00+00:00,854.5,809.03
2023-12-25 05:15:00+00:00,851.0,807.53
2023-12-25 05:30:00+00:00,874.0,833.07
2023-12-25 05:45:00+00:00,872.0,831.59
2023-12-25 06:00:00+00:00,874.75,827.84
2023-12-25 06:15:00+00:00,875.5,828.75
2023-12-25 06:30:00+00:00,869.75,824.58
2023-12-25 06:45:00+00:00,873.75,827.36
2023-12-25 07:00:00+00:00,871.75,828.35
2023-12-25 07:15:00+00:00,869.5,826.89
2023-12-25 07:30:00+00:00,874.25,830.01
2023-12-25 07:45:00+00:00,872.0,828.91
2023-12-25 08:00:00+00:00,885.25,835.19
2023-12-25 08:15:00+00:00,893.25,841.02
2023-12-25 08:30:00+00:00,890.25,838.93
2023-12-25 08:45:00+00:00,889.5,838.2
2023-12-25 09:00:00+00:00,888.0,837.76
2023-12-25 09:15:00+00:00,898.25,846.28
2023-12-25 09:30:00+00:00,895.0,843.97
2023-12-25 09:45:00+00:00,896.5,845.78
2023-12-25 10:00:00+00:00,892.75,846.21
2023-12-25 10:15:00+00:00,896.0,848.87
2023-12-25 10:30:00+00:00,899.25,851.6
2023-12-25 10:45:00+00:00,843.75,800.3
2023-12-25 11:00:00+00:00,859.5,826.2
2023-12-25 11:15:00+00:00,866.25,831.57
2023-12-25 11:30:00+00:00,865.0,829.7
2023-12-25 11:45:00+00:00,867.75,832.0
2023-12-25 12:00:00+00:00,861.75,825.23
2023-12-25 12:15:00+00:00,867.25,828.73
2023-12-25 12:30:00+00:00,866.75,828.1
2023-12-25 12:45:00+00:00,870.0,831.68
2023-12-25 13:00:00+00:00,874.75,839.03
2023-12-25 13:15:00+00:00,873.25,838.36
2023-12-25 13:30:00+00:00,878.25,841.87
2023-12-25 13:45:00+00:00,877.0,840.36
2023-12-25 14:00:00+00:00,887.5,858.9
2023-12-25 14:15:00+00:00,891.75,863.32
2023-12-25 14:30:00+00:00,886.75,858.67
