datetime,total_generation,total_emissions
2022-12-23 23:00:00+00:00,165.75,171.35
2022-12-23 23:15:00+00:00,165.25,170.97
2022-12-23 23:30:00+00:00,164.75,170.59
2022-12-23 23:45:00+00:00,165.25,170.97
2022-12-24 00:00:00+00:00,163.25,172.37
2022-12-24 00:15:00+00:00,162.5,171.79
2022-12-24 00:30:00+00:00,162.25,171.6
2022-12-24 00:45:00+00:00,161.25,170.82
2022-12-24 01:00:00+00:00,160.5,169.25
2022-12-24 01:15:00+00:00,160.25,169.05
2022-12-24 01:30:00+00:00,161.25,169.84
2022-12-24 01:45:00+00:00,160.5,169.25
2022-12-24 02:00:00+00:00,160.5,172.87
2022-12-24 02:15:00+00:00,160.75,173.07
2022-12-24 02:30:00+00:00,161.25,173.46
2022-12-24 02:45:00+00:00,161.0,173.27
2022-12-24 03:00:00+00:00,160.5,173.45
2022-12-24 03:15:00+00:00,160.25,173.25
2022-12-24 03:30:00+00:00,160.75,173.64
2022-12-24 03:45:00+00:00,160.5,173.45
2022-12-24 04:00:00+00:00,160.5,174.99
2022-12-24 04:15:00+00:00,160.75,175.19
2022-12-24 04:30:00+00:00,160.25,174.78
2022-12-24 04:45:00+00:00,160.75,175.19
2022-12-24 05:00:00+00:00,160.5,184.88
2022-12-24 05:15:00+00:00,160.75,184.98
2022-12-24 05:30:00+00:00,162.75,186.74
2022-12-24 05:45:00+00:00,163.5,187.45
2022-12-24 06:00:00+00:00,165.0,186.84
2022-12-24 06:15:00+00:00,165.0,186.84
2022-12-24 06:30:00+00:00,164.75,186.62
2022-12-24 06:45:00+00:00,164.5,186.4
2022-12-24 07:00:00+00:00,165.75,183.28
2022-12-24 07:15:00+00:00,167.0,184.37
2022-12-24 07:30:00+00:00,168.5,185.69
2022-12-24 07:45:00+00:00,168.75,185.91
2022-12-24 08:00:00+00:00,170.25,178.69
2022-12-24 08:15:00+00:00,171.5,179.71
2022-12-24 08:30:00+00:00,172.25,180.33
2022-12-24 08:45:00+00:00,172.0,180.12
