datetime,lignite_generation,hard_coal_generation,fossil_gas_generation,other_conventional_generation,lignite_emissions,hard_coal_emissions,fossil_gas_emissions,other_conventional_emission,total_generation,delta_generation,total_emissions,delta_emissions
2023-12-23 23:00:00+00:00,0.0,81.75,150.25,77.75,0.0,61.2118,99.6996,93.7201,309.75,-21.5,254.63,-10.389999999999986
2023-12-23 23:15:00+00:00,0.0,82.0,140.75,77.75,0.0,61.651,93.2555,93.5112,300.5,-9.25,248.42,-6.210000000000008
2023-12-23 23:30:00+00:00,0.0,82.0,141.0,77.75,0.0,61.903,93.2807,93.3024,300.75,0.25,248.49,0.0700000000000216
2023-12-23 23:45:00+00:00,0.0,82.25,141.0,77.75,0.0,62.3445,93.1401,93.0935,301.0,0.25,248.58,0.09000000000000341
2023-12-24 00:00:00+00:00,0.0,80.75,141.0,77.75,0.0,60.6165,92.092,92.5604,299.5,-1.5,245.27,-3.3100000000000023
2023-12-24 00:15:00+00:00,0.0,80.75,141.0,77.75,0.0,61.4286,92.5596,92.5695,299.5,0.0,246.56,1.289999999999992
2023-12-24 00:30:00+00:00,0.0,80.75,141.0,77.75,0.0,62.2406,93.0273,92.5786,299.5,0.0,247.85,1.289999999999992
2023-12-24 00:45:00+00:00,0.0,80.75,141.0,77.75,0.0,63.0527,93.4949,92.5877,299.5,0.0,249.14,1.289999999999992
2023-12-24 01:00:00+00:00,0.0,80.75,141.0,78.0,0.0,65.4515,94.8365,93.0212,299.75,0.25,253.31,4.170000000000016
2023-12-24 01:15:00+00:00,0.0,80.75,141.0,78.0,0.0,65.2493,94.731,92.946,299.75,0.0,252.93,-0.37999999999999545
2023-12-24 01:30:00+00:00,0.0,80.75,141.25,78.0,0.0,65.047,94.7932,92.8707,300.0,0.25,252.71,-0.21999999999999886
2023-12-24 01:45:00+00:00,0.0,80.75,141.0,78.0,0.0,64.8448,94.5199,92.7955,299.75,-0.25,252.16,-0.5500000000000114
