Datetime,Andere,Braunkohle,Steinkohle,Erdgas,Absolute Emissionen,CO₂-Emissionsfaktor des Strommix
2022-12-24T00:00:00,2413.926,11193.794,1786.213,2884.494,18278.427,328.431
2022-12-24T01:00:00,2403.64,9606.741,1711.351,2870.566,16592.298,310.084
2022-12-24T02:00:00,2408.594,8706.651,1686.068,2884.21,15685.522,299.443
2022-12-24T03:00:00,2390.824,8645.325,1684.685,2830.392,15551.226,299.668
2022-12-24T04:00:00,2387.918,8414.871,1680.538,2840.246,15323.572,296.621
2022-12-24T05:00:00,2394.459,8463.272,1696.537,2838.824,15393.092,299.285
2022-12-24T06:00:00,2437.158,9734.619,1727.153,2851.616,16750.546,318.037
2022-12-24T07:00:00,2535.239,12384.29,1914.801,2998.573,19832.903,354.404
2022-12-24T08:00:00,2706.152,14336.273,2130.103,3120.8,22293.328,378.672
2022-12-24T09:00:00,2786.26,14634.103,2370.49,3176.324,22967.177,369.715
2022-12-24T10:00:00,2788.751,14683.054,2446.537,3178.977,23097.319,364.145
2022-12-24T11:00:00,2791.866,14627.503,2466.289,3177.271,23062.929,353.67
2022-12-24T12:00:00,2806.815,14710.83,2497.696,3172.818,23188.159,357.951
2022-12-24T13:00:00,2810.091,14683.604,2867.066,3228.721,23589.482,372.146
2022-12-24T14:00:00,2857.828,14767.755,3015.209,3204.844,23845.636,399.827
2022-12-24T15:00:00,2857.411,14685.529,3149.329,3245.207,23937.476,405.792
2022-12-24T16:00:00,2854.608,14541.702,3304.978,3278.938,23980.226,403.166
2022-12-24T17:00:00,2847.653,14235.622,3486.898,3267.473,23837.646,395.16
2022-12-24T18:00:00,2831.971,14181.996,3401.765,3230.805,23646.536,404.917
2022-12-24T19:00:00,2776.383,14162.195,3320.583,3211.855,23471.016,414.307
2022-12-24T20:00:00,2725.772,14063.194,3042.666,3122.411,22954.043,421.464
2022-12-24T21:00:00,2740.721,14209.771,2628.456,3108.199,22687.148,418.127
2022-12-24T22:00:00,2724.722,14510.351,2264.42,3078.921,22578.414,422.419
2022-12-24T23:00:00,2494.694,13547.834,1976.231,2953.282,20972.041,416.49
2022-12-25T00:00:00,2367.318,12216.536,1922.109,2870.281,19376.245,406.038
2022-12-25T01:00:00,2362.647,11118.717,1880.827,2856.448,18218.639,397.276
2022-12-25T02:00:00,2354.86,9782.744,1877.272,2858.343,16873.219,379.78
2022-12-25T03:00:00,2353.304,8685.75,1880.235,2845.362,15764.651,366.584
2022-12-25T04:00:00,2344.016,8227.593,1906.11,2837.498,15315.217,357.769
2022-12-25T05:00:00,2350.341,7942.963,1938.109,2834.371,15065.784,350.397
2022-12-25T06:00:00,2376.003,7762.284,1952.133,2843.467,14933.888,340.875
2022-12-25T07:00:00,2370.915,8926.929,1962.799,2836.74,16097.384,352.244
2022-12-25T08:00:00,2376.936,10301.403,1982.947,2908.087,17569.372,361.821
2022-12-25T09:00:00,2370.084,10854.988,1996.576,2904.77,18126.418,346.578
2022-12-25T10:00:00,2372.575,10241.727,1978.996,2926.942,17520.24,317.076
2022-12-25T11:00:00,2382.542,9237.41,1970.701,2911.498,16502.15,294.265
2022-12-25T12:00:00,2377.869,8533.398,1971.293,2886.673,15769.233,287.638
2022-12-25T13:00:00,2377.144,8435.221,1962.997,2886.389,15661.751,296.886
2022-12-25T14:00:00,2390.955,8869.178,1966.75,2864.123,16091.006,317.682
2022-12-25T15:00:00,2384.721,10103.125,1973.268,2869.144,17330.259,344.657
2022-12-25T16:00:00,2383.163,10358.879,1997.367,2904.202,17643.611,345.168
2022-12-25T17:00:00,2398.633,10111.375,2026.995,2890.274,17427.277,329.139
2022-12-25T18:00:00,2396.245,9583.916,2023.44,2889.8,16893.4,318.561
2022-12-25T19:00:00,2395.621,8516.072,1997.564,2896.148,15805.406,299.611
2022-12-25T20:00:00,2398.841,7316.777,1982.75,2894.632,14593,289.279
