Datetime,Andere,Braunkohle,Steinkohle,Erdgas,Absolute Emissionen,CO₂-Emissionsfaktor des Strommix
2025-01-01T00:00:00,2000.254,3684.983,2155.485,2707.758,12399.381,216.251
2025-01-01T01:00:00,2002.414,4214.429,2088.282,2572.708,12648.732,219.867
2025-01-01T02:00:00,2000.254,3679.911,2086.746,2532.101,11970.494,209.368
2025-01-01T03:00:00,1992.987,3636.52,2026.839,2554.948,11747.628,212.627
2025-01-01T04:00:00,1996.083,3648.917,1984.021,2575.483,11677.149,212.193
2025-01-01T05:00:00,2000.712,3633.419,1845.776,2623.213,11550.909,209.098
2025-01-01T06:00:00,1993.731,3648.354,1742.091,2628.301,11460.264,201.142
2025-01-01T07:00:00,1994.04,3664.414,1526.658,2609.523,11235.433,194.327
2025-01-01T08:00:00,1988.783,3653.143,1428.542,2481.411,10964.715,186.233
2025-01-01T09:00:00,1993.412,3650.044,1404.156,2455.141,10932.678,178.368
2025-01-01T10:00:00,1981.922,3689.21,1416.445,2447.093,11081.878,164.773
2025-01-01T11:00:00,1975.56,3680.475,1420.669,2440.248,11188.434,158.57
2025-01-01T12:00:00,1966.451,3700.763,1419.901,2320.646,11092.445,153.338
2025-01-01T13:00:00,1971.388,3653.989,1420.477,2312.043,10994.428,152.493
2025-01-01T14:00:00,1970.771,3709.779,1410.109,2308.713,10906.968,156.744
2025-01-01T15:00:00,1951.981,3774.023,1408.38,2300.018,11035.979,160.966
2025-01-01T16:00:00,1964.154,3827.277,1485.569,2319.258,11361.722,169.444
2025-01-01T17:00:00,1960.111,3761.343,1786.829,2337.296,11581.526,167.416
2025-01-01T18:00:00,1956.407,3707.244,2048.921,2339.978,11675.874,169.684
2025-01-01T19:00:00,1953.629,3729.221,2133.788,2352.373,11772.142,173.582
2025-01-01T20:00:00,1932.954,3617.359,2225.568,2298.353,11684.355,173.655
2025-01-01T21:00:00,1955.789,3601.298,2307.94,2290.028,11742.652,177.537
2025-01-01T22:00:00,1959.514,3597.635,2373.03,2278.003,11702.573,182.22
2025-01-01T23:00:00,1954.886,3591.154,2392.424,2276.431,11786.956,183.235
2025-01-02T00:00:00,1923.735,3878.278,2479.404,2290.028,12231.275,194.483
