timestamp,Hydro pumped storage consumption,Cross border electricity trading,Hydro Run-of-River,Biomass,Fossil brown coal / lignite,Fossil hard coal,Fossil oil,Fossil coal-derived gas,Fossil gas,Geothermal,Hydro water reservoir,Hydro pumped storage,Others,Waste,Wind offshore,Wind onshore,Solar,Load,Residual load,Renewable share of load,Renewable share of generation,deprecated
2024-12-31 23:00:00+00:00,-720.5,-11166.1,1706.2,4075.3,3267.6,2890.5,382.1,668.7,4139.5,23.8,108.6,453.1,211.7,997.3,2415.1,32060.2,0.0,48412.1,13936.9,84.4,76.5,False
2024-12-31 23:15:00+00:00,-828.9,-11166.1,1721.0,3943.3,3281.4,2628.4,382.2,568.0,4125.5,23.8,160.7,838.4,211.7,997.0,2601.3,31922.3,0.0,47534.7,13011.1,85.9,76.5,False
2024-12-31 23:30:00+00:00,-940.4,-10936.5,1720.6,3882.6,3278.1,2602.5,382.2,567.1,4086.5,23.8,75.1,435.4,211.8,997.1,2542.3,31920.9,0.0,47573.4,13110.3,85.4,77.1,False
2024-12-31 23:45:00+00:00,-979.7,-10936.5,1751.2,3854.1,3309.5,2589.8,382.2,579.2,4141.6,23.9,58.0,105.9,211.7,998.6,2450.0,31982.0,0.0,47446.9,13014.9,85.6,77.4,False
2025-01-01 00:00:00+00:00,-658.1,-12252.4,1723.3,3919.8,3848.7,2582.7,382.2,570.7,3960.2,24.0,58.5,367.0,211.6,1002.6,2252.6,32334.3,0.0,47200.3,12613.4,86.4,76.6,False
2025-01-01 00:15:00+00:00,-856.8,-12252.4,1687.0,3870.1,3874.1,2601.4,382.2,560.2,3718.8,23.9,30.2,84.9,211.6,992.6,2510.0,32564.7,0.0,46926.8,11852.1,87.7,77.5,False
2025-01-01 00:30:00+00:00,-1319.7,-12237.3,1709.1,3866.5,3701.2,2593.9,382.2,567.5,3700.6,23.9,55.5,124.7,211.5,1004.0,2410.5,32711.5,0.0,46816.4,11694.4,88.1,77.8,False
2025-01-01 00:45:00+00:00,-1566.6,-12237.3,1728.5,3870.5,3600.3,2599.3,382.2,581.0,3831.0,23.9,55.4,0.30000000000000004,211.5,1003.2,2407.9,32781.2,0.0,46525.8,11336.6,88.9,77.9,False
2025-01-01 01:00:00+00:00,-1625.8,-10352.9,1693.8,3832.8,3324.3,2597.8,382.2,564.1,3678.6,23.9,35.1,3.8,211.5,997.4,2676.4,32844.0,0.0,46239.0,10718.6,89.9,78.7,False
2025-01-01 01:15:00+00:00,-2103.8,-10352.9,1680.4,3858.8,3270.7,2601.3,382.2,532.4,3722.1,23.9,17.3,0.2,211.9,996.9,2663.9,32979.8,0.0,45860.0,10216.3,90.9,78.8,False
2025-01-01 01:30:00+00:00,-2521.5,-9978.0,1707.8,3857.1,3280.9,2589.4,382.1,543.0,3708.2,23.9,40.3,0.2,211.8,1000.4,2586.3,32773.4,0.0,45637.9,10278.2,90.9,78.7,False
2025-01-01 01:45:00+00:00,-2749.0,-9939.9,1686.5,3870.8,3243.0,2581.3,382.1,513.1,3715.8,24.1,23.0,0.2,211.7,998.0,2529.9,32755.8,0.0,45453.2,10167.5,91.0,78.7,False
