,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other renewable,Solar,Waste,Wind Onshore,Other,Hydro Pumped Storage
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption
2023-01-01 00:00:00+00:00,758.45,1441.48,635.0,320.31,822.22,0.0,3.71,66.48,205.28,0.0,1083.69,59.38,0.48,50.91,6286.67,58.93,68.0
2023-01-01 00:15:00+00:00,758.3,1434.14,636.3,313.54,824.16,0.0,3.74,83.95,205.28,0.0,1083.12,60.09,0.51,50.91,6284.39,58.93,68.0
2023-01-01 00:30:00+00:00,756.44,1424.27,628.7,331.03,824.2,0.0,3.79,0.0,205.28,0.0,1084.08,59.6,0.56,50.91,6270.81,58.93,237.57
2023-01-01 00:45:00+00:00,758.04,1430.44,617.1,330.33,825.34,0.0,3.84,0.0,205.64,0.0,1083.65,59.65,0.56,50.91,6321.68,58.93,400.65
2023-01-01 01:00:00+00:00,750.07,1428.82,606.8,318.98,824.76,0.0,3.84,0.0,205.64,0.0,1084.6,59.9,0.54,52.91,6184.78,58.93,883.09
2023-01-01 01:15:00+00:00,740.1,1426.53,566.5,329.77,823.62,0.0,3.82,0.0,205.64,0.0,1083.12,59.65,0.58,52.91,6146.73,58.93,973.66
2023-01-01 01:30:00+00:00,738.54,1436.93,550.0,331.21,824.87,0.0,3.78,0.0,205.64,0.0,1085.12,59.33,0.52,52.91,6192.27,58.93,1128.65
2023-01-01 01:45:00+00:00,742.01,1423.44,560.5,317.63,826.8,0.0,3.82,0.0,205.64,0.0,1084.33,59.29,0.54,52.91,6211.72,58.93,1252.49
2023-01-01 02:00:00+00:00,739.52,1428.39,573.0,305.0,830.2,0.0,3.83,0.0,205.64,0.0,1084.66,58.9,0.52,52.91,6039.85,58.93,1523.98
2023-01-01 02:15:00+00:00,741.51,1432.17,574.3,339.48,828.25,0.0,3.82,0.0,205.28,0.0,1085.05,58.63,0.52,52.91,6069.41,58.93,1623.21
2023-01-01 02:30:00+00:00,744.91,1427.79,585.9,324.33,828.7,0.0,3.82,0.0,205.28,0.0,1085.61,58.83,0.55,52.91,5966.93,58.93,1607.44
2023-01-01 02:45:00+00:00,748.0,1424.45,584.3,325.75,827.8,0.0,3.84,0.0,205.28,0.0,1085.08,59.08,0.54,53.91,5927.07,58.93,1618.19
2023-01-01 03:00:00+00:00,749.88,1420.48,599.3,344.99,826.37,0.0,3.86,0.0,205.28,10.3,1085.72,58.99,0.48,53.91,5883.42,58.93,1608.59
2023-01-01 03:15:00+00:00,753.59,1425.39,602.7,342.14,825.9,0.0,3.87,0.0,205.28,10.3,1085.69,59.17,0.53,53.91,5897.87,58.93,1565.6
2023-01-01 03:30:00+00:00,753.34,1431.31,610.6,343.41,825.55,0.0,3.87,0.0,205.28,10.3,1085.34,59.06,0.56,52.91,5944.88,58.93,1537.01
2023-01-01 03:45:00+00:00,753.14,1425.91,605.8,265.27,826.81,0.0,3.86,0.0,205.64,10.3,1085.39,58.91,0.6,52.91,5812.25,58.93,1518.88
