,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other renewable,Solar,Waste,Wind Onshore,Other,Hydro Pumped Storage
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption
2025-01-01 00:00:00+00:00,746.2,1403.32,570.68,953.54,60.89,0.0,3.01,48.06,66.87,0.0,57.93,1.82,50.98,5118.02,50.69,0.0
2025-01-01 00:15:00+00:00,745.72,1389.94,560.18,754.15,62.42,0.0,3.01,0.0,66.87,0.0,58.02,1.73,50.98,5158.63,50.69,50.0
2025-01-01 00:30:00+00:00,739.9,1216.3,567.52,754.86,63.52,0.0,3.0,117.75,66.87,0.0,57.99,1.52,50.98,5180.32,50.69,50.0
2025-01-01 00:45:00+00:00,740.17,1188.6,581.01,934.16,63.91,0.0,2.99,0.0,67.18,0.0,57.63,1.5,50.98,5196.32,50.69,50.0
2025-01-01 01:00:00+00:00,728.65,1182.6,564.07,828.51,66.79,0.0,2.98,0.0,67.18,0.0,57.54,1.58,51.98,5233.75,50.69,50.0
2025-01-01 01:15:00+00:00,724.97,1182.01,532.38,831.65,67.25,0.0,2.97,0.0,67.18,0.0,57.66,1.57,51.98,5309.43,50.69,453.33
2025-01-01 01:30:00+00:00,725.05,1190.3,543.02,832.16,66.86,0.0,2.97,0.0,67.18,0.0,57.71,1.53,51.98,5362.49,50.69,452.0
2025-01-01 01:45:00+00:00,730.16,1187.98,513.15,831.25,66.87,0.0,2.97,0.0,67.18,0.0,57.64,1.48,51.98,5389.63,50.69,635.13
2025-01-01 02:00:00+00:00,727.82,1185.55,502.67,823.11,66.77,0.0,2.93,293.0,66.08,0.0,57.32,1.56,50.98,5079.84,50.69,50.0
2025-01-01 02:15:00+00:00,722.32,1188.58,488.43,823.09,67.21,0.0,2.91,81.4,66.08,0.0,51.63,1.48,50.98,5082.57,50.69,50.0
2025-01-01 02:30:00+00:00,723.17,1179.86,490.64,824.1,67.09,0.0,2.87,0.0,66.08,0.0,49.28,1.43,50.98,5158.37,50.69,204.5
2025-01-01 02:45:00+00:00,727.96,1189.41,496.16,836.19,67.14,0.0,2.82,0.0,66.08,0.0,54.35,1.57,50.98,5248.26,50.69,406.2
2025-01-01 03:00:00+00:00,726.81,1187.13,487.77,850.38,68.25,0.0,2.79,0.0,66.08,0.0,54.45,1.64,50.98,5289.18,50.69,1278.0
2025-01-01 03:15:00+00:00,724.3,1183.93,475.86,850.23,68.29,0.0,2.79,0.0,66.08,0.0,54.61,1.4,50.98,5307.77,50.69,1211.6
2025-01-01 03:30:00+00:00,722.52,1182.95,467.37,849.31,68.3,0.0,2.8,0.0,66.08,0.0,54.69,1.4,50.98,5409.53,50.69,1278.0
2025-01-01 03:45:00+00:00,721.65,1183.08,465.49,850.36,68.39,0.0,2.8,0.0,66.06,0.0,48.97,1.4,50.98,5498.38,50.69,1261.6
2025-01-01 04:00:00+00:00,718.12,1182.18,469.07,883.78,77.19,0.0,2.78,0.0,66.06,0.0,51.39,1.43,50.98,5553.09,50.69,1247.2
2025-01-01 04:15:00+00:00,719.53,1183.55,470.84,883.67,78.26,0.0,2.78,0.0,66.06,0.0,55.4,1.39,50.98,5566.65,50.69,1253.5
2025-01-01 04:30:00+00:00,721.46,1186.37,462.29,882.99,78.25,0.0,2.78,0.0,66.06,0.0,57.09,1.4,50.98,5607.4,50.69,1214.0
2025-01-01 04:45:00+00:00,720.64,1174.01,462.39,890.52,83.24,0.0,2.79,0.0,66.06,0.0,57.49,1.32,50.98,5637.81,50.69,1214.0
2025-01-01 05:00:00+00:00,726.4,1172.87,477.91,908.39,93.22,0.0,2.79,0.0,65.9,0.0,56.07,1.3,50.98,6104.86,50.69,1231.0
2025-01-01 05:15:00+00:00,725.04,1184.37,468.05,908.72,96.82,0.0,2.79,0.0,65.9,0.0,55.86,1.38,50.98,6198.82,50.69,1278.0
2025-01-01 05:30:00+00:00,722.05,1196.02,452.6,908.46,95.67,0.0,2.79,0.0,65.9,0.0,55.74,1.36,50.98,6272.01,50.69,1278.0
2025-01-01 05:45:00+00:00,724.81,1196.55,464.87,907.91,95.95,0.0,2.78,0.0,65.9,0.0,56.1,1.44,50.98,6319.93,50.69,1278.0
2025-01-01 06:00:00+00:00,731.04,1199.76,455.59,920.78,96.3,0.0,2.78,290.09,65.9,0.0,56.4,1.4,55.48,6312.11,50.69,117.0
2025-01-01 06:15:00+00:00,739.24,1198.95,474.55,921.93,97.13,0.0,2.78,0.0,65.9,0.0,56.33,1.46,50.98,6351.28,50.69,900.4
2025-01-01 06:30:00+00:00,733.04,1195.06,461.38,925.02,97.93,0.0,2.79,0.0,65.9,0.0,56.17,1.82,50.98,6384.65,50.69,923.6
2025-01-01 06:45:00+00:00,736.73,1195.26,462.63,941.58,98.01,0.0,2.78,0.0,65.9,0.0,56.3,2.28,50.98,6378.65,50.69,772.9
2025-01-01 07:00:00+00:00,741.93,1195.09,455.57,961.38,93.25,0.0,2.76,0.0,66.69,0.0,55.93,7.49,50.98,6308.33,50.69,117.0
2025-01-01 07:15:00+00:00,747.53,1195.93,454.26,961.63,93.22,0.0,2.76,0.0,66.69,0.0,56.16,34.96,49.98,6310.83,50.69,583.8
2025-01-01 07:30:00+00:00,753.71,1199.25,450.27,961.74,93.43,0.0,2.77,0.0,66.69,0.0,56.28,109.12,50.98,6342.11,50.69,628.0
2025-01-01 07:45:00+00:00,755.07,1195.75,458.73,961.94,93.44,0.0,2.77,0.0,66.69,0.0,56.4,240.3,49.98,6323.97,50.69,566.8
2025-01-01 08:00:00+00:00,750.06,1193.48,457.16,974.3,93.46,0.0,2.75,0.0,66.69,0.0,56.83,415.08,49.98,6181.4,50.69,1081.0
2025-01-01 08:15:00+00:00,752.05,1196.31,452.17,976.66,93.39,0.0,2.74,0.0,66.69,0.0,56.72,605.52,49.98,6165.52,50.69,1061.7
2025-01-01 08:30:00+00:00,751.46,1195.63,456.26,977.1,91.54,0.0,2.73,0.0,65.9,0.0,56.9,797.77,49.98,6118.56,50.69,1061.7
2025-01-01 08:45:00+00:00,749.96,1199.0,475.93,978.33,91.54,0.0,2.71,0.0,65.9,0.0,57.06,986.79,49.98,6168.1,50.69,1081.7
2025-01-01 09:00:00+00:00,745.33,1243.7,493.13,976.69,92.14,0.0,2.68,0.0,65.9,0.0,56.97,1187.81,49.98,6399.45,50.69,1087.6
2025-01-01 09:15:00+00:00,749.43,1243.07,514.43,975.85,92.37,0.0,2.65,0.0,65.9,0.0,56.69,1384.42,49.98,6403.07,50.69,919.6
2025-01-01 09:30:00+00:00,748.79,1237.84,492.47,975.88,92.47,0.0,2.63,0.0,65.9,0.0,56.59,1583.43,49.98,6356.26,50.69,908.6
2025-01-01 09:45:00+00:00,746.12,1241.99,493.2,975.86,92.19,0.0,2.61,0.0,65.9,0.0,56.07,1779.19,49.98,6300.72,50.69,910.8
2025-01-01 10:00:00+00:00,741.61,1239.75,522.61,958.85,92.54,0.0,2.59,0.0,65.9,0.0,55.21,1969.3,50.98,6272.63,50.69,1148.0
2025-01-01 10:15:00+00:00,749.85,1240.77,537.19,959.09,91.01,0.0,2.57,0.0,65.9,0.0,55.9,2125.16,50.98,6008.9,50.69,1042.0
2025-01-01 10:30:00+00:00,748.28,1239.76,540.17,954.68,88.6,0.0,2.56,0.0,65.9,0.0,56.02,2200.49,45.98,5977.75,50.69,1016.2
2025-01-01 10:45:00+00:00,749.51,1238.24,551.87,952.25,88.86,0.0,2.54,47.3,65.9,0.0,56.71,2234.53,45.98,5911.08,50.69,1042.0
2025-01-01 11:00:00+00:00,739.67,1246.0,559.17,960.78,89.02,0.0,2.52,0.0,65.9,0.0,56.87,2238.3,45.98,6168.21,50.69,886.8
2025-01-01 11:15:00+00:00,737.61,1242.42,530.84,960.19,88.99,0.0,2.5,77.14,65.9,0.0,55.78,2176.77,45.98,6235.63,50.69,1089.85
2025-01-01 11:30:00+00:00,738.71,1233.61,531.46,955.05,88.95,0.0,2.52,0.0,65.9,0.0,44.05,2102.09,45.98,6246.03,50.69,1042.0
2025-01-01 11:45:00+00:00,744.23,1233.77,548.27,960.39,88.97,0.0,2.52,50.0,66.18,0.0,44.61,2054.16,45.98,6347.74,50.69,1014.92
2025-01-01 12:00:00+00:00,741.54,1231.06,562.35,941.33,89.4,0.0,2.49,135.18,65.77,0.0,44.11,1985.66,45.98,6654.91,50.69,1042.0
2025-01-01 12:15:00+00:00,742.5,1232.95,534.22,941.52,88.94,0.0,2.49,117.75,65.77,0.0,43.65,1900.16,45.98,6696.16,50.69,1042.0
2025-01-01 12:30:00+00:00,741.47,1233.97,520.22,942.35,88.98,0.0,2.47,50.0,65.77,0.0,44.06,1799.25,45.98,6937.48,50.69,926.1
2025-01-01 12:45:00+00:00,744.25,1234.06,491.16,942.69,89.05,0.0,2.44,118.75,65.77,0.0,50.39,1672.8,45.98,7041.12,50.69,1042.0
2025-01-01 13:00:00+00:00,736.51,1234.28,473.27,926.22,89.05,0.0,2.45,0.0,66.15,0.0,53.22,1516.73,45.98,7114.99,50.69,884.0
2025-01-01 13:15:00+00:00,740.0,1234.15,499.92,925.34,89.38,0.0,2.45,157.0,66.32,0.0,55.84,1390.65,45.98,7298.37,50.69,1105.25
2025-01-01 13:30:00+00:00,732.2,1233.04,479.82,925.42,91.38,0.0,2.46,50.0,67.23,0.0,55.92,1234.22,45.98,7495.65,50.69,975.67
2025-01-01 13:45:00+00:00,739.58,1233.34,488.28,925.24,91.7,0.0,2.45,50.0,67.23,0.0,55.82,1045.86,45.98,7670.61,50.69,924.63
2025-01-01 14:00:00+00:00,742.68,1243.56,496.03,929.3,92.46,0.0,2.44,0.0,67.23,0.0,55.72,852.16,46.98,7802.11,50.69,357.0
2025-01-01 14:15:00+00:00,745.23,1242.22,498.28,929.66,92.96,0.0,2.44,0.0,67.23,0.0,56.0,665.23,46.98,7900.72,50.69,161.0
2025-01-01 14:30:00+00:00,751.3,1243.38,514.65,931.63,93.01,0.0,2.45,5.0,67.23,0.0,57.03,464.96,46.98,8015.17,50.69,219.82
2025-01-01 14:45:00+00:00,756.79,1231.78,553.21,929.96,93.68,0.0,2.47,25.73,67.23,0.0,56.96,282.81,46.98,8103.89,50.69,123.75
2025-01-01 15:00:00+00:00,768.49,1233.9,572.62,935.58,92.77,0.0,2.48,67.15,69.21,0.0,57.12,132.64,46.98,8036.86,50.69,111.0
2025-01-01 15:15:00+00:00,775.79,1243.16,560.09,932.01,93.06,0.0,2.49,233.6,69.21,0.0,56.86,39.79,46.98,8308.19,50.69,125.61
2025-01-01 15:30:00+00:00,778.61,1242.67,575.11,931.88,93.07,0.0,2.49,137.5,69.21,0.0,56.96,9.88,46.98,8368.17,50.69,75.0
2025-01-01 15:45:00+00:00,776.47,1241.88,565.17,932.31,91.72,0.0,2.49,137.7,69.21,0.0,57.25,6.59,46.98,8385.95,50.69,75.0
2025-01-01 16:00:00+00:00,782.96,1233.56,551.27,943.16,89.9,0.0,2.52,0.0,69.21,0.0,57.33,5.63,46.98,8693.16,50.69,75.0
2025-01-01 16:15:00+00:00,788.13,1242.62,564.15,945.97,89.99,0.0,2.54,89.9,68.77,0.0,56.87,5.31,46.98,8992.86,50.69,75.0
2025-01-01 16:30:00+00:00,789.88,1243.47,561.9,947.09,89.9,0.0,2.55,90.1,68.77,0.0,56.9,2.97,46.98,9023.62,50.69,75.0
2025-01-01 16:45:00+00:00,798.85,1243.94,557.82,947.1,88.68,0.0,2.54,77.87,68.77,0.0,56.9,2.82,46.98,9058.28,50.69,75.0
2025-01-01 17:00:00+00:00,801.7,1242.87,541.42,934.43,86.97,0.0,2.54,93.8,68.42,0.0,56.8,2.72,46.98,9082.01,50.69,75.0
2025-01-01 17:15:00+00:00,801.78,1243.7,517.93,933.68,88.31,0.0,2.53,87.5,68.42,0.0,56.77,2.61,46.98,9128.94,50.69,75.0
2025-01-01 17:30:00+00:00,802.5,1240.68,500.1,933.39,88.21,0.0,2.5,348.1,68.42,0.0,56.73,2.51,46.98,9117.46,50.69,75.0
2025-01-01 17:45:00+00:00,804.44,1247.01,530.55,933.36,88.28,0.0,2.51,116.0,68.42,0.0,56.9,2.54,46.98,9129.69,50.69,77.0
2025-01-01 18:00:00+00:00,795.9,1234.59,539.25,929.18,88.9,0.0,2.51,0.0,68.42,0.0,56.86,2.36,46.98,9025.28,50.69,457.78
2025-01-01 18:15:00+00:00,790.76,1234.87,510.17,929.21,89.08,0.0,2.52,173.58,68.42,0.0,56.67,2.25,46.98,8954.28,50.69,379.18
2025-01-01 18:30:00+00:00,787.59,1244.0,508.97,929.68,88.27,0.0,2.52,102.0,68.42,0.0,56.61,2.08,46.98,8899.14,50.69,317.6
