,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore,Other,Hydro Pumped Storage
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption
2023-01-01 00:00:00+00:00,1837.56,7.05,476.27,362.12,0.23,21.68,0.22,404.86,5.8,1373.96,9.71,1.03,259.56,2765.96,12637.85,20.0,151.28
2023-01-01 00:15:00+00:00,1844.18,7.05,476.27,362.15,0.23,21.58,29.98,406.28,4.77,1375.38,9.71,1.23,259.56,3022.19,12637.4,20.0,241.44
2023-01-01 00:30:00+00:00,1839.12,7.05,476.27,362.13,0.23,21.41,85.09,406.53,4.41,1375.31,9.71,1.11,259.56,3182.77,12742.66,20.0,604.44
2023-01-01 00:45:00+00:00,1832.88,7.05,476.27,362.12,0.23,21.35,85.08,407.73,4.36,1375.22,9.71,1.12,259.56,3215.83,12731.92,20.0,545.15
2023-01-01 01:00:00+00:00,1822.3,7.25,473.77,363.13,0.23,21.27,84.88,407.85,4.14,1374.9,9.71,2.07,259.56,3301.65,12678.93,20.0,886.96
2023-01-01 01:15:00+00:00,1825.84,7.25,475.02,363.14,0.23,21.07,84.92,408.4,3.99,1375.76,9.71,0.89,259.56,3303.78,12652.7,20.0,902.47
2023-01-01 01:30:00+00:00,1829.84,7.25,475.02,363.13,0.23,21.06,84.73,408.77,4.05,1375.88,9.71,0.93,259.56,3302.8,12612.5,20.0,926.52
2023-01-01 01:45:00+00:00,1826.63,7.25,475.02,363.13,0.23,20.93,84.72,409.28,3.35,1374.87,9.71,1.12,259.56,3320.29,12486.57,20.0,970.68
2023-01-01 02:00:00+00:00,1825.8,7.06,472.52,362.14,0.23,20.99,83.98,407.96,3.66,1375.27,9.71,1.16,259.56,3274.01,12114.17,20.0,1010.48
2023-01-01 02:15:00+00:00,1824.7,7.06,472.52,362.12,0.23,20.92,83.99,406.05,3.84,1375.27,9.71,1.22,259.56,3229.63,12062.92,20.0,923.7
2023-01-01 02:30:00+00:00,1825.21,7.06,472.52,362.12,0.23,20.87,84.04,404.35,3.75,1375.29,9.71,1.27,259.56,3147.38,11982.77,20.0,922.17
2023-01-01 02:45:00+00:00,1830.38,7.06,472.52,362.12,0.23,20.89,83.82,403.17,4.1,1375.67,9.71,1.24,259.56,2857.31,11949.33,20.0,921.06
2023-01-01 03:00:00+00:00,1837.95,5.2,470.02,362.13,0.23,20.89,83.85,401.85,4.14,1375.41,9.71,2.09,247.3,2951.43,11997.8,20.0,941.47
2023-01-01 03:15:00+00:00,1843.88,5.2,470.02,362.12,0.23,20.65,83.84,402.6,4.14,1375.21,9.71,1.38,247.3,3051.72,12016.94,20.0,954.27
2023-01-01 03:30:00+00:00,1846.33,5.2,470.02,362.12,0.23,20.69,83.57,402.76,4.06,1375.33,9.71,1.54,247.3,3133.99,11999.85,20.0,981.87
2023-01-01 03:45:00+00:00,1848.13,5.2,470.02,362.12,0.23,20.69,83.45,403.16,3.99,1375.12,9.71,1.33,247.3,2988.71,11928.27,20.0,979.75
2023-01-01 04:00:00+00:00,1850.6,5.2,466.27,360.12,0.23,20.84,83.09,404.19,2.92,1379.03,9.71,3.32,245.01,3075.33,12184.13,20.0,895.59
2023-01-01 04:15:00+00:00,1859.76,5.2,466.27,360.12,0.23,21.0,94.14,404.75,4.04,1378.96,9.71,1.34,245.01,2937.19,12022.77,20.0,848.71
2023-01-01 04:30:00+00:00,1863.05,5.2,466.27,360.12,0.23,21.16,115.23,406.1,4.14,1379.78,9.71,1.18,245.01,2928.95,11898.36,20.0,820.41
2023-01-01 04:45:00+00:00,1865.09,5.2,466.27,360.12,0.23,20.99,109.42,406.37,4.11,1379.73,9.71,1.29,245.01,3031.48,11830.97,20.0,831.37
2023-01-01 05:00:00+00:00,1883.55,5.2,462.51,358.12,0.23,20.87,88.1,402.91,1.84,1378.09,9.71,1.55,242.95,3031.24,12248.27,20.0,795.76
2023-01-01 05:15:00+00:00,1889.75,5.2,462.52,358.12,0.23,20.51,88.69,401.31,1.94,1378.69,9.71,1.1,242.95,2896.91,12211.78,20.0,784.52
2023-01-01 05:30:00+00:00,1884.95,5.2,462.52,358.12,0.23,20.72,88.53,398.89,2.13,1378.47,9.71,1.18,242.95,2852.0,12187.59,20.0,782.74
2023-01-01 05:45:00+00:00,1889.45,5.2,462.52,358.12,0.23,20.78,89.46,399.63,2.69,1378.11,9.71,1.45,242.95,2790.38,12088.46,20.0,724.55
2023-01-01 06:00:00+00:00,1907.95,5.2,460.01,357.13,0.23,20.91,142.41,401.13,2.37,1379.23,9.71,1.25,244.49,3244.36,12403.03,20.0,692.84
2023-01-01 06:15:00+00:00,1922.91,5.2,460.02,357.12,0.23,20.91,144.58,398.18,2.59,1378.02,9.71,1.14,244.49,3051.63,12412.78,20.0,692.59
2023-01-01 06:30:00+00:00,1931.74,5.2,460.01,357.12,0.23,21.15,142.37,399.22,1.71,1377.0,9.71,1.39,244.49,2994.45,12426.9,20.0,691.85
2023-01-01 06:45:00+00:00,1934.49,5.2,460.01,357.12,0.23,21.24,139.67,400.02,1.51,1376.58,9.71,2.25,244.49,2859.3,12254.01,20.0,691.14
2023-01-01 07:00:00+00:00,1946.49,5.2,460.02,355.03,0.23,21.25,83.79,401.54,1.11,1377.12,9.71,10.16,250.54,2804.04,12166.61,20.0,665.72
2023-01-01 07:15:00+00:00,1969.4,5.2,460.02,355.01,0.23,21.46,83.7,404.63,1.05,1376.19,9.71,74.56,250.54,2861.46,12275.17,20.0,662.92
2023-01-01 07:30:00+00:00,1975.68,5.2,460.02,355.01,0.23,21.28,83.94,405.84,1.78,1376.83,9.71,275.46,250.54,2734.13,12077.17,20.0,663.78
2023-01-01 07:45:00+00:00,1982.96,5.2,460.02,355.01,0.23,21.14,83.42,413.36,1.56,1376.96,9.71,614.35,250.54,2736.91,12015.41,20.0,663.35
2023-01-01 08:00:00+00:00,1986.06,5.2,458.77,355.01,0.23,20.94,9.6,417.01,2.6,1379.26,9.71,980.83,248.41,3136.04,11813.23,20.0,648.69
2023-01-01 08:15:00+00:00,1992.09,5.2,458.77,355.01,0.23,20.63,2.83,422.09,1.83,1379.73,9.71,1360.87,248.41,3100.36,11826.28,20.0,638.67
2023-01-01 08:30:00+00:00,1992.27,5.2,458.77,355.01,0.23,20.44,3.74,424.29,2.78,1378.83,9.71,1738.64,248.41,3131.28,11728.17,20.0,637.86
