,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore,Other,Hydro Pumped Storage
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption
2025-01-01 00:00:00+00:00,1844.99,0.05,1539.9,253.0,0.13,30.37,0.06,744.69,49.22,9.71,8.08,223.76,849.21,13940.85,20.0,2.53
2025-01-01 00:15:00+00:00,1849.74,0.05,1502.08,253.0,0.13,30.21,0.06,721.01,23.76,9.71,8.15,223.76,1106.12,13878.06,20.0,135.01
2025-01-01 00:30:00+00:00,1847.72,0.05,1469.66,253.0,0.13,30.19,0.06,735.8,37.93,9.71,7.52,223.76,1009.41,13928.38,20.0,258.39
2025-01-01 00:45:00+00:00,1844.81,0.05,1468.81,254.0,0.13,30.23,0.06,748.4,49.63,9.71,7.74,223.76,1010.47,13987.58,20.0,270.75
2025-01-01 01:00:00+00:00,1823.14,0.05,1469.2,261.0,0.13,30.23,0.06,720.89,26.1,9.71,7.73,223.76,1277.82,14078.61,20.0,271.16
2025-01-01 01:15:00+00:00,1819.46,0.05,1468.62,261.0,0.13,30.3,0.0,705.69,10.16,9.71,7.65,223.76,1264.76,14145.5,20.0,308.34
2025-01-01 01:30:00+00:00,1820.29,0.05,1469.56,262.0,0.13,30.29,0.0,727.57,33.45,9.71,7.72,223.76,1187.26,14024.14,20.0,630.8
2025-01-01 01:45:00+00:00,1825.79,0.05,1469.25,262.0,0.13,30.49,0.0,708.86,16.13,9.71,7.8,223.76,1141.26,14071.68,20.0,637.87
2025-01-01 02:00:00+00:00,1825.4,0.05,1469.59,262.0,0.13,30.64,0.0,707.93,13.04,9.71,8.39,223.72,661.66,13565.66,20.0,902.95
2025-01-01 02:15:00+00:00,1825.42,0.05,1468.58,262.0,0.13,30.7,0.0,706.1,15.87,9.71,7.71,223.72,474.03,13644.29,20.0,915.64
2025-01-01 02:30:00+00:00,1809.45,0.05,1519.0,262.0,0.13,30.66,0.0,695.45,8.53,9.71,7.73,223.72,385.45,13655.4,20.0,915.74
2025-01-01 02:45:00+00:00,1817.74,0.05,1519.01,262.0,0.13,30.84,0.0,691.68,4.68,9.71,7.68,223.72,340.78,13657.22,20.0,914.52
2025-01-01 03:00:00+00:00,1812.29,0.05,1519.47,256.0,0.13,30.85,0.0,696.54,11.2,9.71,7.71,223.37,605.88,13438.61,20.0,825.72
2025-01-01 03:15:00+00:00,1799.62,0.05,1518.13,252.0,0.13,30.92,0.0,697.26,11.58,9.71,7.77,223.37,580.48,13385.33,20.0,1099.22
2025-01-01 03:30:00+00:00,1798.29,0.05,1516.87,253.0,0.13,30.97,0.0,701.96,16.0,9.71,7.75,223.37,497.79,13472.74,20.0,1093.6
2025-01-01 03:45:00+00:00,1795.22,0.05,1518.48,253.0,0.13,31.0,0.0,695.14,7.78,9.71,7.69,223.37,415.75,13524.43,20.0,1092.46
2025-01-01 04:00:00+00:00,1796.7,0.05,1516.46,253.0,0.13,30.88,0.0,695.98,4.24,9.71,8.25,223.17,490.98,13447.74,20.0,1091.37
2025-01-01 04:15:00+00:00,1800.07,0.05,1515.46,254.0,0.13,30.83,0.0,701.04,5.19,9.71,7.46,223.17,451.72,13353.4,20.0,1092.02
2025-01-01 04:30:00+00:00,1805.88,0.05,1515.86,254.0,0.13,30.74,0.0,703.36,5.18,9.71,7.48,223.17,391.37,13470.84,20.0,1087.71
2025-01-01 04:45:00+00:00,1807.26,0.05,1516.7,255.0,0.13,30.68,0.0,704.08,5.66,9.71,7.53,223.17,241.16,13494.08,20.0,1087.67
2025-01-01 05:00:00+00:00,1825.05,0.05,1515.06,255.0,0.13,30.5,0.0,708.92,5.33,9.71,9.07,222.3,335.62,14569.35,20.0,1011.89
2025-01-01 05:15:00+00:00,1832.89,0.05,1518.21,255.0,0.13,30.47,0.0,713.14,5.09,9.71,9.09,222.3,409.36,14710.12,20.0,1001.4
2025-01-01 05:30:00+00:00,1830.87,0.05,1516.64,255.0,0.13,30.46,0.0,715.52,4.86,9.71,9.24,222.3,505.88,14658.04,20.0,1000.34
2025-01-01 05:45:00+00:00,1832.61,0.05,1516.33,255.0,0.13,30.49,0.0,719.27,4.41,9.71,9.3,222.3,502.15,14793.47,20.0,999.57
2025-01-01 06:00:00+00:00,1861.29,0.05,1528.65,255.0,0.13,30.41,0.0,729.65,14.5,9.71,9.39,222.14,607.74,15053.76,20.0,882.71
2025-01-01 06:15:00+00:00,1871.58,0.05,1530.7,255.0,0.13,29.35,0.0,729.99,15.03,9.71,9.54,222.14,625.32,15000.84,20.0,616.25
2025-01-01 06:30:00+00:00,1873.21,0.05,1518.17,255.0,0.13,29.16,0.0,712.46,4.52,9.71,9.76,222.14,700.69,14980.18,20.0,272.69
2025-01-01 06:45:00+00:00,1886.83,0.05,1515.76,256.0,0.13,29.18,0.02,718.01,3.98,9.71,14.01,222.14,709.13,14810.71,20.0,140.04
2025-01-01 07:00:00+00:00,1905.76,0.05,1488.1,256.0,0.13,29.19,0.06,719.71,4.05,9.71,34.26,222.14,1006.25,14501.73,20.0,136.2
2025-01-01 07:15:00+00:00,1920.01,0.05,1244.52,260.0,0.13,29.04,0.06,720.07,3.46,9.71,149.32,222.14,1124.73,14455.92,20.0,178.09
2025-01-01 07:30:00+00:00,1928.94,0.05,1152.37,260.0,0.13,28.9,0.06,718.19,3.98,9.71,389.73,222.14,1116.42,14303.75,20.0,410.08
2025-01-01 07:45:00+00:00,1937.93,0.05,1151.34,261.0,0.13,28.78,0.06,720.74,4.02,9.71,698.27,222.14,1121.79,14339.37,20.0,539.71
2025-01-01 08:00:00+00:00,1927.77,0.05,1151.78,262.0,0.13,28.53,0.06,727.71,4.54,9.71,1059.68,222.14,969.76,13843.56,20.0,873.51
2025-01-01 08:15:00+00:00,1927.66,0.05,1150.86,262.0,0.13,28.34,0.06,745.3,19.54,9.71,1427.69,222.14,829.76,13774.16,20.0,892.11
2025-01-01 08:30:00+00:00,1926.9,0.05,1152.64,262.0,0.13,28.13,0.06,735.86,4.15,9.71,1847.64,222.14,746.24,13595.0,20.0,891.49
