Datum von;Datum bis;Generation_DE Block N [MW] Berechnete Auflösungen;Generation_DE Block R [MW] Berechnete Auflösungen;Generation_DE Block P [MW] Berechnete Auflösungen;Generation_DE Block Q [MW] Berechnete Auflösungen
01.01.2025 00:00;01.01.2025 00:15;98,250;88,000;0,000;0,000
01.01.2025 00:15;01.01.2025 00:30;98,250;88,000;0,000;0,000
01.01.2025 00:30;01.01.2025 00:45;98,250;88,000;0,000;0,000
01.01.2025 00:45;01.01.2025 01:00;98,250;88,000;0,000;0,000
01.01.2025 01:00;01.01.2025 01:15;107,000;97,750;0,000;0,000
01.01.2025 01:15;01.01.2025 01:30;107,000;97,750;0,000;0,000
01.01.2025 01:30;01.01.2025 01:45;107,000;97,750;0,000;0,000
01.01.2025 01:45;01.01.2025 02:00;107,000;97,750;0,000;0,000
01.01.2025 02:00;01.01.2025 02:15;98,250;88,250;0,000;0,000
01.01.2025 02:15;01.01.2025 02:30;98,250;88,250;0,000;0,000
01.01.2025 02:30;01.01.2025 02:45;98,250;88,250;0,000;0,000
01.01.2025 02:45;01.01.2025 03:00;98,250;88,250;0,000;0,000
01.01.2025 03:00;01.01.2025 03:15;97,750;88,000;0,000;0,000
01.01.2025 03:15;01.01.2025 03:30;97,750;88,000;0,000;0,000
01.01.2025 03:30;01.01.2025 03:45;97,750;88,000;0,000;0,000
01.01.2025 03:45;01.01.2025 04:00;97,750;88,000;0,000;0,000
01.01.2025 04:00;01.01.2025 04:15;98,250;88,250;0,000;0,000
01.01.2025 04:15;01.01.2025 04:30;98,250;88,250;0,000;0,000
01.01.2025 04:30;01.01.2025 04:45;98,250;88,250;0,000;0,000
01.01.2025 04:45;01.01.2025 05:00;98,250;88,250;0,000;0,000
01.01.2025 05:00;01.01.2025 05:15;98,750;88,250;0,000;0,000
01.01.2025 05:15;01.01.2025 05:30;98,750;88,250;0,000;0,000
01.01.2025 05:30;01.01.2025 05:45;98,750;88,250;0,000;0,000
01.01.2025 05:45;01.01.2025 06:00;98,750;88,250;0,000;0,000
01.01.2025 06:00;01.01.2025 06:15;98,500;87,000;0,000;0,000
01.01.2025 06:15;01.01.2025 06:30;98,500;87,000;0,000;0,000
01.01.2025 06:30;01.01.2025 06:45;98,500;87,000;0,000;0,000
01.01.2025 06:45;01.01.2025 07:00;98,500;87,000;0,000;0,000
01.01.2025 07:00;01.01.2025 07:15;98,750;87,250;0,000;0,000
