TSO;Extremum;Time;Residual Load [MWh];1st Derivative;2nd Derivative
50Hertz;Minimum;02:15;1104,05;-3,69;6,64
50Hertz;Maximum;07:15;1541,2;3,29;-28,68
50Hertz;Minimum;13:30;526,64;-0,58;3,77
50Hertz;Maximum;19:30;1845,84;10,81;-7,26
Amprion;Minimum;02:15;2965,15;-6,0;24,78
Amprion;Maximum;08:30;4066,67;9,55;-19,36
Amprion;Minimum;14:00;3382,64;-11,28;23,92
Amprion;Maximum;19:00;4297,24;41,89;3,17
Amprion;Minimum;19:15;4294,89;-2,34;-44,24
Amprion;Maximum;19:30;4299,02;4,13;6,47
TenneT;Minimum;02:15;1142,37;-11,9;2,16
TenneT;Maximum;02:30;1145,27;2,9;14,8
TenneT;Minimum;02:45;1144,22;-1,05;-3,95
TenneT;Maximum;03:00;1156,98;12,76;13,81
TenneT;Minimum;03:15;1155,18;-1,8;-14,56
TenneT;Maximum;07:30;1853,45;7,6;-10,55
TenneT;Minimum;13:30;621,9;-6,19;9,3
TenneT;Maximum;19:30;2154,76;13,83;-0,44
TenneT;Minimum;21:45;1767,33;-56,31;5,47
TenneT;Maximum;22:00;1803,35;36,01;92,33
TransnetBW;Minimum;02:45;1132,63;-0,83;0,38
TransnetBW;Maximum;03:00;1134,88;2,24;3,07
TransnetBW;Minimum;03:15;1133,0;-1,88;-4,12
TransnetBW;Maximum;07:30;1507,9;3,37;-10,16
TransnetBW;Minimum;12:45;1010,06;-8,24;6,48
TransnetBW;Maximum;13:00;1013,62;3,56;11,8
TransnetBW;Minimum;13:45;993,98;-6,63;-3,02
TransnetBW;Maximum;19:30;1614,0;5,92;2,62
