timestamp,delta_generation,delta_emissions,delta_estimated_emissions,intercept_scaled,mef_scaled,mef_t_MWh,mef_g_kWh,intercept
2023-12-30 15:00:00+00:00,4.7071,3.5727,3.2941,-0.0615,0.7432,0.7085,708.5317,-1.8972
2023-12-30 15:15:00+00:00,2.6724,1.2316,2.3794,-0.0610,0.7434,0.7087,708.7006,-1.8806
2023-12-30 15:30:00+00:00,0.9409,-1.7823,-0.2764,-0.0603,0.7437,0.7090,708.9684,-1.8607
2023-12-30 15:45:00+00:00,0.7254,-2.2884,-1.8405,-0.0597,0.7439,0.7092,709.2361,-1.8408
2023-12-30 16:00:00+00:00,2.4809,0.7395,0.1599,-0.0385,0.7638,0.7281,728.1333,-1.2096
2023-12-30 16:15:00+00:00,1.1164,0.8219,0.5538,-0.0583,0.7445,0.7098,709.7716,-1.8011
2023-12-30 16:30:00+00:00,1.1643,0.8357,0.4924,-0.0576,0.7448,0.7101,710.0534,-1.7807
2023-12-30 16:45:00+00:00,-0.0566,-0.4481,-0.3705,0.0433,0.8407,0.8015,801.4941,1.2311
2023-12-30 17:00:00+00:00,-0.3758,-0.5511,-0.4770,0.0620,0.8689,0.8284,828.3667,1.7894
2023-12-30 17:15:00+00:00,-4.4772,-3.3351,-3.5771,0.0700,0.8655,0.8251,825.1142,2.0284
2023-12-30 17:30:00+00:00,-0.1045,-0.1535,-0.1298,0.0794,0.8741,0.8333,833.3322,2.3092
2023-12-30 17:45:00+00:00,-0.3758,-0.6428,-0.5590,0.0798,0.8743,0.8335,833.5367,2.3213
2023-12-30 18:00:00+00:00,-0.8944,-0.9709,-0.9730,0.0547,0.8539,0.8141,814.1161,1.5739
2023-12-30 18:15:00+00:00,-0.6391,-0.1231,-0.7944,-0.0411,0.7581,0.7227,722.7009,-1.2881
2023-12-30 18:30:00+00:00,-0.7667,0.3549,-0.0308,-0.0523,0.7470,0.7122,712.1814,-1.6222
2023-12-30 18:45:00+00:00,-1.4370,-0.5498,-0.5422,0.0558,0.8499,0.8102,810.2153,1.6060
