timestamp,delta_generation,delta_emissions,delta_estimated_emissions,intercept_scaled,mef_scaled,mef_t_MWh,mef_g_kWh,intercept
2023-12-30 15:00:00+00:00,-0.0943,-0.3625,-0.1380,-0.0358,0.9208,0.6599,659.8911,-1.3731
2023-12-30 15:15:00+00:00,0.2814,-0.1881,0.1992,-0.0360,0.9184,0.6582,658.1749,-1.3813
2023-12-30 15:30:00+00:00,0.1111,-0.9285,0.0540,-0.0362,0.9160,0.6565,656.4588,-1.3895
2023-12-30 15:45:00+00:00,0.7271,-0.3308,0.5722,-0.0364,0.9136,0.6547,654.7426,-1.3977
2023-12-30 16:00:00+00:00,1.2981,0.6340,1.1375,-0.0367,0.9112,0.6530,653.0265,-1.4059
2023-12-30 16:15:00+00:00,0.7522,0.8872,0.7005,-0.0366,0.9111,0.6529,652.9497,-1.4042
2023-12-30 16:30:00+00:00,0.8573,0.9981,0.8141,-0.0369,0.9086,0.6512,651.1854,-1.4144
2023-12-30 16:45:00+00:00,-0.7554,-1.1503,-0.6651,-0.0374,0.9040,0.6479,647.8817,-1.4303
2023-12-30 17:00:00+00:00,-0.1043,-0.1847,-0.1685,0.0057,1.0407,0.7459,745.8558,0.1130
2023-12-30 17:15:00+00:00,-0.3597,-0.3192,-0.3851,0.0240,1.0931,0.7834,783.4109,0.7690
2023-12-30 17:30:00+00:00,0.1010,0.0581,0.1046,0.0060,1.0719,0.7682,768.2024,0.1269
2023-12-30 17:45:00+00:00,-0.6152,-0.6338,-0.6684,0.0228,1.1059,0.7926,792.5505,0.7280
2023-12-30 18:00:00+00:00,-0.3347,-0.4239,-0.3833,0.0242,1.1036,0.7910,790.9645,0.7785
2023-12-30 18:15:00+00:00,0.0159,0.1446,0.0138,0.0181,1.0604,0.7600,759.9767,0.5572
2023-12-30 18:30:00+00:00,-1.0910,-0.9623,-1.0307,-0.0389,0.8872,0.6359,635.8652,-1.4876
2023-12-30 18:45:00+00:00,-0.1844,0.2375,-0.2694,-0.0392,0.8848,0.6341,634.1488,-1.4958
2023-12-30 19:00:00+00:00,0.4166,0.8940,0.3636,-0.0394,0.8824,0.6324,632.4340,-1.5040
2023-12-30 19:15:00+00:00,-0.1494,-0.3071,-0.1140,-0.0396,0.8801,0.6307,630.7222,-1.5121
2023-12-30 19:30:00+00:00,-0.3998,-0.7021,-0.4243,-0.0398,0.8777,0.6290,629.0020,-1.5203
2023-12-30 19:45:00+00:00,0.2613,0.1304,0.1583,-0.0401,0.8754,0.6274,627.3569,-1.5280
2023-12-30 20:00:00+00:00,-0.0542,-0.1011,-0.0759,-0.0385,0.8815,0.6318,631.7618,-1.4733
2023-12-30 20:15:00+00:00,0.1311,0.1384,0.0817,-0.0385,0.8801,0.6307,630.7393,-1.4713
2023-12-30 20:30:00+00:00,1.0577,0.8122,0.9473,-0.0408,0.8681,0.6221,622.1357,-1.5531
2023-12-30 20:45:00+00:00,-0.2245,-0.3455,-0.1886,-0.0409,0.8659,0.6206,620.6069,-1.5587
2023-12-30 21:00:00+00:00,-0.8356,-0.7567,-0.8283,-0.0410,0.8638,0.6191,619.1043,-1.5628
2023-12-30 21:15:00+00:00,-0.0492,-0.0937,-0.0732,0.0173,1.0447,0.7487,748.6924,0.5279
2023-12-30 21:30:00+00:00,-0.0893,0.0152,-0.0588,0.0461,1.1223,0.8043,804.3054,1.5601
2023-12-30 21:45:00+00:00,0.0009,0.1313,0.0594,0.0514,1.1366,0.8146,814.5828,1.7524
2023-12-30 22:00:00+00:00,-0.4800,-0.3573,-0.5103,0.0473,1.1226,0.8045,804.5382,1.6056
2023-12-30 22:15:00+00:00,0.0409,0.1079,0.1000,0.0606,1.1656,0.8354,835.3794,2.0816
2023-12-30 22:30:00+00:00,0.0259,0.0393,0.0900,0.0469,1.1469,0.8219,821.9308,1.5920
2023-12-30 22:45:00+00:00,-0.4148,-0.4090,-0.4490,0.0485,1.1462,0.8214,821.4465,1.6478
2023-12-30 23:00:00+00:00,0.0259,0.2280,0.0549,0.0485,1.1462,0.8214,821.4465,1.6478
2023-12-30 23:15:00+00:00,-0.4249,-0.3534,-0.4219,0.0224,1.0781,0.7726,772.6228,0.7130
2023-12-30 23:30:00+00:00,-0.0342,0.2634,-0.0924,-0.0366,0.9242,0.6623,662.3448,-1.4014
2023-12-30 23:45:00+00:00,-0.0492,0.1753,-0.0643,-0.0367,0.9237,0.6620,661.9654,-1.4060
2023-12-31 00:00:00+00:00,-0.9658,-0.8979,-0.9161,-0.0373,0.9219,0.6607,660.7190,-1.4273
2023-12-31 00:15:00+00:00,-0.0943,-0.0940,-0.1358,-0.0142,1.1073,0.7936,793.6060,-0.5965
2023-12-31 00:30:00+00:00,0.0910,0.0861,0.0866,-0.0152,1.1309,0.8105,810.4818,-0.6302
2023-12-31 00:45:00+00:00,0.0960,0.1203,0.0942,-0.0151,1.1339,0.8126,812.6340,-0.6261
2023-12-31 01:00:00+00:00,-0.0943,-0.0777,-0.1211,-0.0146,1.1347,0.8132,813.2496,-0.6092
2023-12-31 01:15:00+00:00,0.0660,0.0950,0.0591,-0.0147,1.1346,0.8131,813.1347,-0.6122
2023-12-31 01:30:00+00:00,0.7321,0.8276,0.8163,-0.0147,1.1343,0.8129,812.9007,-0.6133
2023-12-31 01:45:00+00:00,-0.0192,0.0400,0.0462,0.0435,1.2010,0.8608,860.7539,1.4723
2023-12-31 02:00:00+00:00,-0.4299,-0.3627,-0.4477,0.0904,1.2542,0.8989,898.8707,3.1496
2023-12-31 02:15:00+00:00,0.1912,0.3759,0.3117,0.0910,1.2545,0.8991,899.0933,3.1732
2023-12-31 02:30:00+00:00,0.2513,0.5141,0.4218,0.0890,1.2491,0.8952,895.2331,3.1018
2023-12-31 02:45:00+00:00,-0.0692,0.0730,0.0243,0.0837,1.2351,0.8852,885.1663,2.9112
2023-12-31 03:00:00+00:00,-0.0041,0.0674,0.0599,0.0616,1.1776,0.8440,843.9697,2.1187
2023-12-31 03:15:00+00:00,-0.1995,-0.4472,-0.2170,-0.0370,0.9200,0.6593,659.3456,-1.4190
2023-12-31 03:30:00+00:00,-0.0242,-0.4613,-0.0909,-0.0370,0.9199,0.6593,659.2696,-1.4177
2023-12-31 03:45:00+00:00,0.0459,-0.3516,-0.0273,-0.0370,0.9198,0.6592,659.2320,-1.4158
2023-12-31 04:00:00+00:00,0.1812,0.0216,0.1050,-0.0368,0.9205,0.6597,659.6763,-1.4112
2023-12-31 04:15:00+00:00,0.1461,0.1789,0.1498,-0.0107,1.1017,0.7896,789.5971,-0.4705
2023-12-31 04:30:00+00:00,-0.1844,-0.2036,-0.2094,-0.0005,1.1412,0.8179,817.8640,-0.1036
2023-12-31 04:45:00+00:00,-0.1193,-0.0819,-0.1320,0.0119,1.1609,0.8320,832.0008,0.3386
2023-12-31 05:00:00+00:00,-0.0843,-0.0787,-0.0841,0.0176,1.1699,0.8384,838.4238,0.5454
2023-12-31 05:15:00+00:00,-0.1844,-0.1883,-0.1843,0.0403,1.1963,0.8573,857.3354,1.3562
