timestamp,delta_generation,delta_emissions,delta_estimated_emissions,intercept_scaled,mef_scaled,mef_t_MWh,mef_g_kWh,intercept
2023-12-30 15:00:00+00:00,1.3635,1.4430,1.4461,-0.0171,1.2077,0.6027,602.6738,-0.2412
2023-12-30 15:15:00+00:00,0.0087,-0.3370,-0.0869,-0.0173,1.2048,0.6012,601.1821,-0.2440
2023-12-30 15:30:00+00:00,0.0264,-0.3931,-0.3892,0.0035,1.4171,0.7071,707.1282,0.0482
2023-12-30 15:45:00+00:00,0.0087,-0.3687,-0.3850,0.0036,1.4168,0.7070,706.9983,0.0492
2023-12-30 16:00:00+00:00,0.4869,0.4504,0.4454,0.0027,1.4064,0.7018,701.8071,0.0362
2023-12-30 16:15:00+00:00,-0.0002,-0.0863,-0.0656,-0.0051,1.2615,0.6295,629.4847,-0.0728
2023-12-30 16:30:00+00:00,-0.0002,-0.0783,-0.0536,-0.0054,1.2645,0.6310,630.9996,-0.0767
2023-12-30 16:45:00+00:00,0.1061,0.0863,0.0989,-0.0081,1.2490,0.6233,623.2580,-0.1156
2023-12-30 17:00:00+00:00,0.0972,0.0319,0.1751,-0.0186,1.1838,0.5907,590.7463,-0.2636
2023-12-30 17:15:00+00:00,-0.0179,-0.0737,0.0191,-0.0123,1.2484,0.6230,622.9841,-0.1738
2023-12-30 17:30:00+00:00,-0.0179,-0.0974,-0.0752,-0.0070,1.3013,0.6494,649.3718,-0.0997
2023-12-30 17:45:00+00:00,0.0352,-0.0241,-0.0238,-0.0088,1.2799,0.6387,638.6807,-0.1245
2023-12-30 18:00:00+00:00,-0.0090,-0.1487,-0.0204,-0.0186,1.1801,0.5889,588.8839,-0.2636
2023-12-30 18:15:00+00:00,-0.0710,-0.0544,-0.1006,-0.0195,1.1695,0.5836,583.6124,-0.2760
2023-12-30 18:30:00+00:00,-0.0533,0.0512,-0.0761,-0.0198,1.1666,0.5821,582.1351,-0.2796
2023-12-30 18:45:00+00:00,-0.0356,0.0670,-0.0192,-0.0148,1.2167,0.6071,607.1208,-0.2096
2023-12-30 19:00:00+00:00,-0.2393,-0.3486,-0.2587,-0.0162,1.1970,0.5973,597.3108,-0.2298
2023-12-30 19:15:00+00:00,-0.0445,-0.1381,-0.0453,-0.0204,1.1574,0.5775,577.5419,-0.2877
2023-12-30 19:30:00+00:00,-0.0090,-0.1358,-0.0727,-0.0065,1.2991,0.6482,648.2433,-0.0928
2023-12-30 19:45:00+00:00,-0.0002,-0.1268,-0.0763,-0.0020,1.3447,0.6710,671.0275,-0.0290
2023-12-30 20:00:00+00:00,-0.4429,-0.7166,-0.7275,0.0002,1.3656,0.6814,681.4240,0.0010
2023-12-30 20:15:00+00:00,-0.0090,-0.0957,-0.0492,-0.0066,1.2228,0.6102,610.1737,-0.0934
2023-12-30 20:30:00+00:00,-0.0090,-0.0916,-0.0523,-0.0064,1.2242,0.6109,610.8609,-0.0907
2023-12-30 20:45:00+00:00,-0.0445,-0.1109,-0.0863,-0.0065,1.2215,0.6096,609.5510,-0.0925
2023-12-30 21:00:00+00:00,-0.4164,-0.5048,-0.5450,-0.0075,1.2118,0.6047,604.7172,-0.1071
2023-12-30 21:15:00+00:00,-0.0179,-0.0172,-0.0093,-0.0090,1.2021,0.5999,599.8529,-0.1278
2023-12-30 21:30:00+00:00,-0.0179,0.0223,0.0317,-0.0127,1.1922,0.5949,594.9123,-0.1796
2023-12-30 21:45:00+00:00,-0.0002,0.0761,0.1078,-0.0178,1.1695,0.5836,583.5924,-0.2512
2023-12-30 22:00:00+00:00,-0.3632,-0.3087,-0.3383,-0.0225,1.1254,0.5616,561.6011,-0.3179
2023-12-30 22:15:00+00:00,-0.0002,0.0862,0.0578,-0.0228,1.1211,0.5594,559.4293,-0.3225
2023-12-30 22:30:00+00:00,-0.0002,0.0915,0.0928,-0.0110,1.2413,0.6194,619.4227,-0.1565
2023-12-30 22:45:00+00:00,-0.0090,0.0939,0.0746,-0.0072,1.2800,0.6387,638.7286,-0.1021
2023-12-30 23:00:00+00:00,-0.0090,0.1821,0.0408,-0.0072,1.2800,0.6387,638.7286,-0.1021
2023-12-30 23:15:00+00:00,-0.0002,0.2392,0.1012,-0.0006,1.3014,0.6494,649.4090,-0.0103
2023-12-30 23:30:00+00:00,0.0087,0.3586,0.0984,-0.0063,1.2835,0.6405,640.4994,-0.0901
2023-12-30 23:45:00+00:00,-0.0090,0.3004,0.2253,0.0063,1.3246,0.6610,660.9800,0.0875
2023-12-31 00:00:00+00:00,-0.2835,-0.2659,-0.2791,-0.0041,1.2914,0.6444,644.3933,-0.0596
2023-12-31 00:15:00+00:00,-0.1596,-0.2608,-0.2991,-0.0174,1.2490,0.6233,623.2541,-0.2467
2023-12-31 00:30:00+00:00,-0.0533,-0.1565,-0.2304,-0.0131,1.2633,0.6304,630.4090,-0.1858
2023-12-31 00:45:00+00:00,-0.0002,-0.0863,-0.1202,0.0027,1.3146,0.6560,655.9920,0.0366
2023-12-31 01:00:00+00:00,-0.0356,-0.0986,-0.1188,0.0055,1.3240,0.6607,660.6634,0.0757
