timestamp,delta_generation,delta_emissions,delta_estimated_emissions,intercept_scaled,mef_scaled,mef_t_MWh,mef_g_kWh,intercept
2023-12-30 15:00:00+00:00,0.1995,0.0608,0.1826,-0.0027,0.9293,0.7551,755.1471,-0.0256
2023-12-30 15:15:00+00:00,0.1772,-0.0025,0.1619,-0.0027,0.9287,0.7547,754.6593,-0.0251
2023-12-30 15:30:00+00:00,-0.0013,-0.2473,-0.0040,-0.0026,0.9281,0.7542,754.1526,-0.0244
2023-12-30 15:45:00+00:00,0.0656,-0.1659,0.0582,-0.0025,0.9274,0.7536,753.6389,-0.0237
2023-12-30 16:00:00+00:00,0.0433,-0.0969,0.0382,-0.0017,0.9256,0.7522,752.1629,-0.0157
2023-12-30 16:15:00+00:00,0.0879,0.0150,0.0813,0.0003,0.9222,0.7494,749.3778,0.0022
2023-12-30 16:30:00+00:00,-0.0236,-0.0934,-0.0214,0.0009,0.9208,0.7483,748.2579,0.0075
2023-12-30 16:45:00+00:00,-0.0236,-0.0797,-0.0212,0.0011,0.9199,0.7476,747.5633,0.0096
2023-12-30 17:00:00+00:00,-0.0236,-0.0544,-0.0212,0.0012,0.9193,0.7470,747.0094,0.0106
2023-12-30 17:15:00+00:00,-0.0459,-0.0732,-0.0418,0.0013,0.9186,0.7465,746.4918,0.0113
2023-12-30 17:30:00+00:00,0.1102,0.0581,0.1025,0.0014,0.9180,0.7460,745.9805,0.0120
2023-12-30 17:45:00+00:00,-0.0459,-0.0961,-0.0418,0.0014,0.9174,0.7455,745.4701,0.0127
2023-12-30 18:00:00+00:00,-0.0682,-0.1082,-0.0624,0.0015,0.9167,0.7450,744.9589,0.0134
2023-12-30 18:15:00+00:00,-0.0459,-0.0391,-0.0418,0.0016,0.9161,0.7444,744.4474,0.0140
2023-12-30 18:30:00+00:00,-0.0682,-0.0158,-0.0624,0.0017,0.9155,0.7439,743.9374,0.0147
2023-12-30 18:45:00+00:00,-0.0905,-0.0407,-0.0831,0.0017,0.9149,0.7434,743.4267,0.0154
2023-12-30 19:00:00+00:00,-0.1352,-0.1346,-0.1243,0.0018,0.9142,0.7429,742.9158,0.0161
2023-12-30 19:15:00+00:00,-0.1798,-0.2335,-0.1655,0.0019,0.9136,0.7424,742.4083,0.0167
2023-12-30 19:30:00+00:00,-0.1129,-0.1874,-0.1037,0.0020,0.9130,0.7419,741.9009,0.0174
2023-12-30 19:45:00+00:00,0.0210,-0.0617,0.0200,0.0020,0.9123,0.7414,741.3902,0.0181
2023-12-30 20:00:00+00:00,0.1102,0.0338,0.1025,0.0021,0.9117,0.7409,740.8775,0.0188
2023-12-30 20:15:00+00:00,0.0879,0.0135,0.0819,0.0022,0.9111,0.7404,740.3664,0.0194
2023-12-30 20:30:00+00:00,-0.0682,-0.1412,-0.0624,0.0022,0.9105,0.7399,739.8564,0.0201
2023-12-30 20:45:00+00:00,-0.0236,-0.0868,-0.0212,0.0023,0.9098,0.7393,739.3438,0.0208
